b_336,c_4219
b_813,c_1956
b_297,c_13077
b_480,c_22173
b_1118,c_2259
b_520,c_20031
b_845,c_996
b_1451,c_20675
b_54,c_1534
b_986,c_1677
b_344,c_1719
b_183,c_3453
b_78,c_17229
b_142,c_2277
b_66,c_18365
b_19,c_19450
b_1559,c_29628
b_202,c_24619
b_44,c_14795
b_577,c_24884
b_624,c_16305
b_599,c_6479
b_1427,c_24198
b_713,c_7109
b_759,c_4254
b_547,c_24559
b_1477,c_4445
b_1541,c_28529
b_28,c_12811
b_392,c_10639
b_1085,c_1675
b_1084,c_899
b_572,c_24064
b_1460,c_1611
b_687,c_15570
b_1180,c_19072
b_602,c_15437
b_253,c_26746
b_1007,c_14558
b_541,c_1657
b_674,c_23915
b_115,c_996
b_1220,c_94
b_1008,c_3091
b_943,c_14585
b_1403,c_9915
b_241,c_27755
b_386,c_15365
b_142,c_17539
b_1017,c_9701
b_833,c_6898
b_704,c_22744
b_396,c_14363
b_176,c_17276
b_1526,c_30236
b_802,c_31076
b_544,c_8137
b_276,c_26276
b_1529,c_1181
b_1356,c_24128
b_692,c_14705
b_295,c_22821
b_713,c_25138
b_96,c_21048
b_52,c_20703
b_657,c_20676
b_1303,c_4301
b_1550,c_10586
b_1092,c_18853
b_1062,c_20921
b_167,c_20849
b_0,c_23199
b_1278,c_27358
b_1228,c_18160
b_1032,c_19312
b_785,c_16348
b_969,c_30427
b_695,c_25594
b_1385,c_27252
b_573,c_7518
b_1055,c_28534
b_1479,c_30451
b_411,c_27270
b_637,c_18058
b_1360,c_30618
b_823,c_6110
b_276,c_14990
b_541,c_71
b_908,c_9235
b_337,c_8317
b_1142,c_18870
b_1375,c_24311
b_971,c_5460
b_1210,c_12996
b_1441,c_26783
b_479,c_13288
b_1105,c_26644
b_384,c_9530
b_563,c_3690
b_1101,c_19827
b_547,c_1806
b_1409,c_2209
b_169,c_17745
b_656,c_7064
b_1038,c_26205
b_1505,c_12305
b_500,c_18791
b_1023,c_23948
b_626,c_17784
b_918,c_24585
b_1296,c_13990
b_1079,c_29976
b_1197,c_10698
b_521,c_24570
b_655,c_12431
b_1303,c_21029
b_1241,c_4988
b_675,c_22154
b_855,c_7232
b_1057,c_11954
b_1420,c_4112
b_860,c_23847
b_1046,c_14660
b_411,c_5742
b_1374,c_9622
b_69,c_25093
b_534,c_15190
b_1035,c_10370
b_115,c_30751
b_1503,c_5467
b_75,c_25410
b_1261,c_13745
b_943,c_21458
b_149,c_30375
b_645,c_1251
b_552,c_2924
b_1520,c_10713
b_660,c_20496
b_1234,c_17468
b_378,c_26588
b_1038,c_5585
b_1397,c_18032
b_1409,c_2608
b_1541,c_12513
b_917,c_15136
b_1253,c_13724
b_961,c_18680
b_1448,c_27786
b_1132,c_1030
b_1257,c_17714
b_1028,c_21131
b_694,c_10903
b_1383,c_22133
b_167,c_17426
b_636,c_8151
b_64,c_17922
b_1238,c_20784
b_530,c_30164
b_91,c_21296
b_125,c_27444
b_43,c_5820
b_1411,c_2614
b_199,c_24368
b_572,c_7410
b_156,c_19122
b_939,c_9480
b_598,c_15505
b_500,c_9949
b_1358,c_1051
b_463,c_19283
b_486,c_6953
b_1497,c_22803
b_1139,c_17856
b_1491,c_29999
b_1094,c_24120
b_809,c_21065
b_127,c_18920
b_464,c_761
b_603,c_11605
b_1141,c_18802
b_1126,c_6124
b_1077,c_16556
b_1556,c_11912
b_1471,c_17984
b_1223,c_6369
b_1222,c_23164
b_56,c_13174
b_755,c_30275
b_292,c_20981
b_50,c_16539
b_431,c_10760
b_683,c_17178
b_1055,c_6150
b_1366,c_22562
b_1138,c_13915
b_312,c_10537
b_921,c_11286
b_332,c_16878
b_152,c_16222
b_741,c_2624
b_81,c_4608
b_805,c_11748
b_1024,c_11019
b_798,c_13172
b_804,c_9645
b_36,c_23318
b_312,c_28722
b_479,c_442
b_42,c_11889
b_444,c_21607
b_774,c_25290
b_820,c_30169
b_229,c_16331
b_616,c_16645
b_694,c_23436
b_1065,c_21408
b_1397,c_7684
b_302,c_26212
b_205,c_20910
b_1379,c_14324
b_1178,c_3311
b_1355,c_31343
b_43,c_12590
b_106,c_26744
b_739,c_28236
b_297,c_8339
b_1365,c_23974
b_1449,c_5069
b_977,c_6451
b_1515,c_6185
b_483,c_23714
b_1147,c_18128
b_486,c_27702
b_609,c_19443
b_1209,c_7164
b_122,c_31373
b_967,c_18120
b_758,c_28769
b_813,c_20830
b_988,c_2066
b_1101,c_23219
b_147,c_13406
b_310,c_14371
b_1323,c_18834
b_416,c_14653
b_960,c_3175
b_43,c_30168
b_1462,c_22618
b_87,c_3570
b_1338,c_29362
b_1369,c_9327
b_1100,c_21287
b_603,c_18832
b_880,c_19100
b_902,c_14791
b_1557,c_6886
b_1174,c_14707
b_729,c_6583
b_1251,c_28528
b_434,c_9474
b_250,c_22519
b_1548,c_19541
b_1141,c_30550
b_845,c_21395
b_341,c_23170
b_61,c_3854
b_362,c_1683
b_509,c_15326
b_338,c_20459
b_444,c_1674
b_861,c_7160
b_243,c_20498
b_518,c_7672
b_1456,c_27061
b_392,c_29931
b_80,c_15683
b_747,c_6178
b_1284,c_7935
b_195,c_6258
b_790,c_28604
b_645,c_20388
b_960,c_3810
b_62,c_29086
b_914,c_8478
b_1240,c_23559
b_970,c_21497
b_166,c_17371
b_797,c_27992
b_1292,c_8359
b_159,c_221
b_1500,c_17779
b_1172,c_19123
b_459,c_26128
b_574,c_16019
b_807,c_22592
b_1281,c_6857
b_241,c_8218
b_1062,c_18951
b_1423,c_31460
b_257,c_27950
b_712,c_10170
b_503,c_1132
b_1216,c_20695
b_516,c_12516
b_823,c_17571
b_1077,c_1144
b_435,c_22998
b_864,c_20053
b_1387,c_26413
b_685,c_17812
b_457,c_29809
b_49,c_16783
b_1532,c_2477
b_119,c_20027
b_272,c_11607
b_1232,c_9526
b_1099,c_27149
b_753,c_30218
b_256,c_15989
b_772,c_23641
b_1050,c_11278
b_1348,c_21234
b_33,c_24217
b_356,c_20478
b_534,c_27350
b_1076,c_11340
b_890,c_25778
b_539,c_23266
b_1102,c_10882
b_1120,c_1724
b_781,c_29063
b_933,c_267
b_1032,c_2564
b_281,c_3048
b_238,c_14615
b_11,c_3305
b_1105,c_12953
b_110,c_19735
b_1311,c_14969
b_216,c_9020
b_40,c_9844
b_54,c_2262
b_1259,c_965
b_1090,c_776
b_1322,c_24039
b_752,c_16454
b_916,c_27822
b_898,c_23809
b_495,c_15067
b_484,c_5610
b_228,c_31357
b_1520,c_13543
b_1195,c_1285
b_465,c_24162
b_1415,c_29892
b_1404,c_12621
b_1228,c_20823
b_1455,c_21374
b_41,c_28750
b_762,c_17812
b_652,c_17459
b_726,c_6413
b_1498,c_26638
b_1256,c_4
b_672,c_15901
b_645,c_29001
b_285,c_21874
b_1450,c_27590
b_820,c_15088
b_391,c_15656
b_910,c_28573
b_672,c_30826
b_512,c_7682
b_266,c_27829
b_250,c_27294
b_1175,c_14363
b_303,c_24560
b_830,c_21897
b_877,c_18097
b_672,c_26414
b_306,c_22413
b_1519,c_11078
b_446,c_7436
b_208,c_17461
