d_7102,e_41803
d_25812,e_37063
d_20431,e_30173
d_14039,e_37920
d_16553,e_32177
d_4302,e_30434
d_3036,e_28483
d_22782,e_33682
d_11351,e_20533
d_15709,e_30089
d_5848,e_12058
d_19262,e_36239
d_893,e_30250
d_23109,e_43072
d_1659,e_21255
d_1989,e_23355
d_2129,e_39776
d_30283,e_42798
d_3769,e_5009
d_3529,e_4711
d_28470,e_33017
d_25152,e_13614
d_4033,e_9055
d_13385,e_20630
d_1128,e_36090
d_10533,e_11387
d_23539,e_34097
d_17752,e_38929
d_30991,e_6983
d_18329,e_10069
d_13347,e_29404
d_19489,e_40863
d_24399,e_39451
d_26954,e_14790
d_11030,e_40694
d_2209,e_8322
d_27031,e_1772
d_23657,e_441
d_17194,e_31554
d_11520,e_38579
d_6551,e_10274
d_9868,e_792
d_2666,e_44161
d_28101,e_29544
d_5623,e_53
d_2687,e_23144
d_27816,e_21846
d_24332,e_25078
d_28027,e_28788
d_22617,e_44698
d_11044,e_29764
d_30455,e_41454
d_8554,e_19413
d_1438,e_27871
d_30351,e_8437
d_8735,e_41742
d_28926,e_45306
d_23190,e_23272
d_15055,e_46921
d_28253,e_31246
d_26845,e_6562
d_7351,e_42228
d_16716,e_21136
d_24856,e_4514
d_4244,e_29372
d_27092,e_40277
d_23797,e_31537
d_18626,e_33431
d_22128,e_3025
d_1334,e_28473
d_18489,e_18901
d_30305,e_21955
d_27929,e_9822
d_14044,e_36612
d_29892,e_6348
d_1566,e_10118
d_14814,e_23714
d_12983,e_16183
d_5532,e_11180
d_21208,e_25691
d_3008,e_15216
d_15406,e_35252
d_16525,e_26773
d_13376,e_41087
d_30809,e_29838
d_2065,e_26058
d_22714,e_32748
d_9380,e_28709
d_3490,e_12104
d_29539,e_22088
d_12477,e_5920
d_26608,e_22335
d_14153,e_31360
d_26897,e_34596
d_16035,e_2782
d_28541,e_17225
d_24394,e_14938
d_24494,e_4837
d_29947,e_16914
d_7729,e_41539
d_16246,e_10452
d_7606,e_17286
d_14471,e_25052
d_16652,e_35528
d_14092,e_13972
d_7191,e_40228
d_26417,e_34006
d_9554,e_46053
d_19973,e_43357
d_28230,e_13043
d_28061,e_21115
d_2346,e_41202
d_15214,e_18239
d_20377,e_28601
d_26004,e_42052
d_23254,e_23961
d_11413,e_20447
d_21170,e_33864
d_23756,e_41479
d_9251,e_46997
d_4372,e_18734
d_10677,e_9950
d_29083,e_14157
d_1161,e_19604
d_11191,e_41671
d_4183,e_19109
d_30904,e_7142
d_27352,e_38451
d_23371,e_13309
d_19816,e_7958
d_24995,e_44799
d_15068,e_23191
d_17583,e_13471
d_19400,e_45923
d_21437,e_10584
d_15579,e_4154
d_6018,e_14660
d_22945,e_30279
d_13592,e_28678
d_1866,e_13024
d_19759,e_19916
d_26811,e_26824
d_16619,e_24818
d_6756,e_32554
d_22100,e_34479
