f_242260,d_11735
f_122386,d_54
f_142699,d_5640
f_534008,d_5865
f_58737,d_7932
f_465673,d_23584
f_422439,d_18556
f_303929,d_9947
f_389103,d_24556
f_74121,d_18028
f_436397,d_8326
f_265866,d_224
f_621077,d_12114
f_237946,d_29542
f_7878,d_21378
f_390534,d_22453
f_619911,d_3428
f_286881,d_2030
f_165656,d_16817
f_212741,d_3822
f_354691,d_972
f_511392,d_20242
f_599833,d_10776
f_413579,d_19809
f_562891,d_19912
f_132306,d_10525
f_62945,d_30002
f_360115,d_25538
f_643493,d_20953
f_314193,d_7263
f_66961,d_4750
f_259755,d_15052
f_544127,d_21521
f_513350,d_14950
f_467200,d_15658
f_362973,d_20900
f_539341,d_18115
f_262167,d_24321
f_356898,d_23923
f_354981,d_3904
f_40991,d_8606
f_186179,d_11684
f_475180,d_7605
f_643336,d_12830
f_183572,d_8885
f_143920,d_31208
f_609638,d_2605
f_99140,d_25215
f_226691,d_25158
f_164953,d_12314
f_494543,d_26321
f_120745,d_30843
f_366337,d_12721
f_435566,d_1920
f_635665,d_21563
f_563907,d_24641
f_156025,d_20962
f_602634,d_29602
f_523484,d_18546
f_131628,d_18455
f_46740,d_14709
f_179237,d_8156
f_563423,d_3595
f_405754,d_20555
f_159371,d_10602
f_118267,d_5030
f_263595,d_12021
f_115704,d_13602
f_77056,d_19177
f_220648,d_23526
f_236408,d_22102
f_644275,d_14471
f_601178,d_16845
f_76517,d_14201
f_536032,d_3121
f_75324,d_21651
f_366638,d_21884
f_24881,d_14852
f_156191,d_10179
f_171043,d_27012
f_134841,d_23594
f_404250,d_28266
f_139471,d_25643
f_601462,d_1965
f_430213,d_14686
f_228424,d_12323
f_536923,d_19818
f_129240,d_29244
f_602722,d_28799
f_89613,d_21034
f_26483,d_2791
f_539119,d_22641
f_38821,d_10427
f_211554,d_12184
f_421076,d_10959
f_493575,d_30975
f_121204,d_5997
f_182606,d_28904
f_322290,d_25924
f_400362,d_20838
f_565916,d_20628
f_598047,d_30397
f_452544,d_26890
f_183981,d_7286
f_362259,d_24023
f_602882,d_10470
f_625826,d_14677
f_626392,d_3281
f_416674,d_21863
f_149827,d_26721
f_455713,d_27429
f_563084,d_27252
f_511575,d_4123
f_479158,d_632
f_14947,d_6916
f_581293,d_7645
f_478400,d_4179
f_578324,d_13997
f_515159,d_16824
f_90329,d_14557
f_599398,d_29290
f_405035,d_6476
f_81948,d_12644
f_28021,d_8500
f_628789,d_6945
f_477967,d_12277
f_166091,d_24231
f_257034,d_5194
f_29416,d_28030
f_112342,d_11335
f_377989,d_21329
f_263297,d_1061
f_517248,d_29329
f_588561,d_11729
f_746,d_1071
