c_27889,d_5143
c_4720,d_15170
c_17351,d_18847
c_10185,d_7402
c_17924,d_8071
c_2695,d_3917
c_23556,d_9145
c_5240,d_5369
c_18388,d_29371
c_12651,d_30881
c_8691,d_18339
c_4456,d_28889
c_15413,d_24434
c_365,d_3505
c_15608,d_6387
c_5165,d_16971
c_288,d_433
c_28732,d_5047
c_20644,d_4983
c_22944,d_1743
c_6792,d_18459
c_6969,d_4075
c_2549,d_7664
c_9221,d_28570
c_24276,d_23011
c_17929,d_21453
c_1333,d_1485
c_18162,d_8797
c_7192,d_21607
c_25909,d_21523
c_5433,d_26515
c_24262,d_21326
c_3162,d_21789
c_24448,d_1225
c_5338,d_2012
c_7572,d_11635
c_3807,d_12450
c_4067,d_11756
c_1925,d_25477
c_10856,d_8714
c_1522,d_15127
c_23620,d_22014
c_20381,d_29111
c_23018,d_8577
c_12915,d_20100
c_9357,d_755
c_2139,d_5195
c_6590,d_4601
c_6485,d_17645
c_16258,d_11587
c_7729,d_25423
c_11981,d_15854
c_18924,d_20441
c_25626,d_14025
c_12160,d_19358
c_12508,d_1574
c_9340,d_3895
c_15538,d_19676
c_11654,d_28332
c_22133,d_20994
c_3487,d_25675
c_9181,d_9464
c_1191,d_18534
c_3626,d_12386
c_30425,d_24153
c_5527,d_13847
c_31045,d_2897
c_30997,d_1851
c_20060,d_25816
c_1337,d_6014
c_10379,d_28030
c_23210,d_8019
c_2759,d_27036
c_15536,d_10775
c_27867,d_18197
c_29185,d_848
c_6105,d_18899
c_30415,d_5498
c_30966,d_1018
c_12211,d_26115
c_21585,d_7844
c_20229,d_1192
c_26987,d_15454
c_7696,d_29680
c_5392,d_28344
c_6799,d_18119
c_29403,d_15649
c_2649,d_6767
c_20197,d_4699
c_6218,d_28017
c_15266,d_3085
c_23163,d_4131
c_24637,d_5829
c_7782,d_24260
c_20633,d_27413
c_27960,d_25140
c_11069,d_17401
c_10375,d_5442
c_6413,d_4720
c_27866,d_23693
c_21189,d_1939
c_282,d_2762
c_25977,d_28701
c_12995,d_7079
c_10302,d_28168
c_3552,d_23690
c_17976,d_20779
c_10695,d_6912
c_24146,d_8875
c_10072,d_10186
c_1026,d_11991
c_12272,d_4558
c_19139,d_31022
c_620,d_21756
c_28900,d_11756
c_12228,d_11769
c_7,d_11210
c_11166,d_26157
c_21967,d_27746
c_12128,d_30969
c_28182,d_15136
c_25759,d_26177
c_4596,d_27090
c_1235,d_27310
c_9100,d_18444
c_729,d_23332
c_4717,d_9899
c_2382,d_267
c_25311,d_21266
c_26515,d_7319
c_3714,d_2520
c_30034,d_18499
c_7243,d_4172
c_3754,d_16295
c_4648,d_24744
c_10918,d_3367
c_6494,d_1229
c_30423,d_20437
c_28108,d_29046
c_16957,d_4609
c_3470,d_8253
c_16887,d_10238
c_30886,d_3599
c_6251,d_12999
c_9679,d_3200
c_27339,d_28944
c_12703,d_22511
c_8851,d_24685
c_18357,d_27588
c_16587,d_773
c_24362,d_17613
c_31391,d_22600
c_30135,d_7053
c_20939,d_9348
c_23966,d_20370
c_29307,d_26878
c_11019,d_26275
c_21924,d_29268
c_11108,d_25178
c_26692,d_4521
c_19581,d_15785
c_6378,d_27249
c_9656,d_25964
c_10513,d_9050
c_10380,d_19088
c_19240,d_11078
c_3694,d_12309
c_1839,d_2937
c_7393,d_3863
c_29607,d_13933
c_16327,d_19580
c_9981,d_23793
c_12700,d_28649
c_1886,d_8373
c_2437,d_6524
c_22910,d_30178
c_4475,d_19586
c_9260,d_8948
c_1358,d_5646
c_5014,d_23441
c_22315,d_11837
c_6328,d_11983
c_518,d_7690
c_3048,d_23110
c_17677,d_25536
c_16562,d_12848
c_17645,d_21434
c_12548,d_289
c_5274,d_17299
c_6663,d_30232
c_26166,d_20223
c_14987,d_8171
c_23396,d_30829
c_27774,d_20198
c_6068,d_15930
c_849,d_7602
c_622,d_2453
c_11498,d_30735
c_13208,d_9683
c_29764,d_6741
c_1515,d_28730
c_27853,d_9372
c_18992,d_24938
c_16510,d_8095
c_13959,d_10756
c_30185,d_12440
c_18079,d_15919
c_3158,d_13442
c_29887,d_19550
c_10024,d_20537
c_10978,d_30789
c_31095,d_12330
c_18654,d_3588
c_10518,d_9858
c_3797,d_13153
c_19285,d_20640
c_31052,d_6600
c_29444,d_31221
c_15045,d_827
c_19877,d_14239
c_7793,d_24647
c_29746,d_26166
c_14206,d_16
c_21332,d_6224
c_8574,d_28891
c_515,d_10555
c_26713,d_1301
c_28171,d_25965
c_185,d_20324
c_9105,d_22394
c_18954,d_16641
c_9339,d_19947
c_18697,d_2208
c_25195,d_19632
c_9264,d_19506
c_9672,d_2056
c_30167,d_14523
c_26151,d_1948
c_18501,d_26316
c_22314,d_19526
c_6105,d_14874
c_9094,d_10084
c_23699,d_11065
c_6392,d_4427
c_5566,d_9804
c_10894,d_12657
c_29632,d_24917
c_22244,d_951
c_14008,d_22611
c_29125,d_9298
c_17330,d_4743
c_8552,d_16090
c_11784,d_2646
c_28563,d_7727
c_19910,d_9911
c_2801,d_18222
c_19650,d_17080
c_22603,d_18045
c_2670,d_27045
c_2157,d_7023
c_20214,d_17772
c_2176,d_11276
c_21068,d_4507
c_21102,d_13795
c_13953,d_18004
c_12716,d_27203
c_23402,d_21188
c_21776,d_20720
c_12260,d_2216
c_3380,d_18597
c_5707,d_20305
c_28003,d_30099
c_30399,d_22265
c_9460,d_28818
c_28835,d_7240
c_8293,d_7706
c_3464,d_17672
c_8293,d_3841
c_4672,d_27190
c_30080,d_11995
c_22601,d_21410
c_20708,d_7012
c_9736,d_8837
c_5812,d_11829
c_23120,d_18544
c_17733,d_25495
c_18930,d_14815
c_19579,d_25209
c_21900,d_11202
c_27892,d_28930
c_18434,d_5836
c_22965,d_2917
c_18716,d_28435
c_29828,d_24626
c_5375,d_13371
c_1715,d_11309
c_11763,d_12532
c_10442,d_3273
c_14434,d_15754
c_27655,d_8865
c_13040,d_11530
c_16828,d_7585
c_1625,d_30214
c_9982,d_22860
c_16868,d_24091
c_4430,d_19715
c_22269,d_12088
c_10674,d_24480
c_8837,d_10008
c_4682,d_13667
c_19288,d_7530
c_20966,d_25697
c_23936,d_20060
c_20693,d_9413
c_24166,d_25160
c_7097,d_981
c_3679,d_26286
c_27153,d_4306
c_861,d_18505
c_30330,d_14860
c_6458,d_27391
c_3153,d_29063
c_30693,d_17544
c_30078,d_26900
c_5205,d_15684
c_25945,d_28307
c_13823,d_647
c_7468,d_9197
c_21108,d_1652
c_5207,d_2997
c_23242,d_22321
c_30255,d_6218
c_345,d_27892
c_21036,d_13462
c_14068,d_25719
c_20105,d_19083
c_3219,d_12279
c_1616,d_27472
c_10846,d_14033
c_26362,d_23570
c_8783,d_20344
c_30005,d_31331
c_16498,d_26965
c_20222,d_20983
c_9290,d_4360
c_4071,d_10543
c_13571,d_5910
c_23357,d_4962
c_11587,d_12835
c_18734,d_30780
c_31041,d_12746
c_2299,d_17771
c_2654,d_16043
c_5473,d_14246
c_13087,d_9398
c_5935,d_25406
c_21319,d_3757
c_21753,d_21605
c_6314,d_30738
c_8683,d_27678
c_12845,d_30789
c_28177,d_8153
c_1366,d_1820
c_10847,d_16729
c_20454,d_7565
c_18589,d_31202
c_29586,d_12208
c_9709,d_18603
c_29215,d_17263
c_28382,d_22305
c_5899,d_7619
c_5569,d_27994
c_19828,d_7776
c_9965,d_21272
c_17468,d_8782
c_20388,d_24734
c_22035,d_563
c_13566,d_17512
c_30073,d_24470
c_19711,d_28
