c_16700,d_14497
c_17391,d_17236
c_13019,d_24678
c_26218,d_20580
c_27904,d_493
c_25538,d_926
c_28580,d_25416
c_10396,d_11479
c_2483,d_4327
c_2681,d_11079
c_10054,d_20568
c_27628,d_24269
c_8145,d_20184
c_9393,d_23574
c_14039,d_21311
c_6558,d_24050
c_24203,d_26560
c_27132,d_9030
c_21688,d_3350
c_4713,d_27631
c_2436,d_31120
c_19996,d_16938
c_9271,d_25414
c_20542,d_1953
c_18373,d_28658
c_6184,d_25629
c_17769,d_16414
c_13615,d_20640
c_26410,d_28611
c_15955,d_4872
c_19815,d_6662
c_24342,d_29891
c_23819,d_24937
c_29031,d_22446
c_15451,d_20613
c_14404,d_18450
c_9354,d_21722
c_25853,d_20466
c_311,d_28125
c_28586,d_5748
c_12771,d_25210
c_24260,d_8465
c_17370,d_11753
c_25931,d_27221
c_5398,d_11401
c_23984,d_4927
c_25114,d_10850
c_26615,d_3049
c_30172,d_12700
c_20453,d_12547
c_2824,d_26245
c_24751,d_9926
c_21286,d_13369
c_23918,d_11048
c_15515,d_9615
c_6993,d_23349
c_27511,d_10326
c_30362,d_30468
c_12386,d_9894
c_17450,d_8933
c_30529,d_851
c_8090,d_824
c_20566,d_17307
c_6867,d_24271
c_6040,d_10778
c_26085,d_25227
c_21305,d_15052
c_4047,d_26318
c_13664,d_19087
c_993,d_10332
c_22958,d_18934
c_12043,d_28903
c_1823,d_1480
c_13997,d_8977
c_1360,d_9985
c_14260,d_4952
c_4532,d_14888
c_3100,d_7861
c_11049,d_27622
c_25003,d_18202
c_221,d_692
c_11713,d_15456
c_26292,d_12177
c_17357,d_4333
c_31159,d_14673
c_22574,d_703
c_10551,d_28354
c_11011,d_25770
c_17062,d_30325
c_15621,d_10440
c_28115,d_5403
c_26303,d_26386
c_10514,d_25508
c_16614,d_7446
c_21810,d_28762
c_22531,d_19321
c_26241,d_9170
c_21055,d_2350
c_18003,d_29853
c_10368,d_1242
c_21234,d_13020
c_16131,d_15823
c_17568,d_27134
c_12657,d_3185
c_4533,d_4500
c_20924,d_26826
c_22645,d_6157
c_16311,d_12188
c_28281,d_18400
c_11596,d_3960
c_25856,d_4548
c_13389,d_16236
c_24209,d_25757
c_18355,d_22482
c_1585,d_15098
c_22910,d_21052
c_12437,d_26002
c_26018,d_6701
c_31404,d_2867
c_27443,d_21228
c_22701,d_25892
c_7966,d_12537
c_9839,d_1671
c_31030,d_16720
c_21594,d_24719
c_5312,d_207
c_21562,d_17216
c_7545,d_857
c_29757,d_11182
c_19894,d_27900
c_30563,d_27948
c_16023,d_26372
c_17014,d_5919
c_21793,d_17231
c_19625,d_25320
c_15288,d_6848
c_4723,d_22800
c_23770,d_1878
c_22250,d_28176
c_30358,d_6895
c_624,d_6958
c_10929,d_2214
c_23740,d_11000
c_20871,d_4585
c_10928,d_27615
c_27397,d_19600
c_17774,d_29016
c_17146,d_9684
c_28907,d_12701
c_10317,d_9770
c_19544,d_29395
c_20612,d_22124
c_737,d_13008
c_19417,d_6570
c_27150,d_11784
c_6308,d_2865
c_30998,d_518
c_58,d_2046
c_10654,d_22783
c_23704,d_9752
c_19761,d_25914
c_14890,d_28270
c_10752,d_18654
c_18572,d_16629
c_9576,d_19505
c_12677,d_26477
c_3898,d_23282
c_8303,d_29534
c_13102,d_18105
c_22589,d_10091
c_13898,d_13739
c_13443,d_14086
c_7729,d_7240
c_24631,d_6420
c_18830,d_17374
c_3376,d_7361
c_9817,d_16726
c_21862,d_16587
c_2455,d_18898
c_17538,d_22029
c_7117,d_15710
c_17993,d_12426
c_8648,d_30358
c_4471,d_3310
c_13253,d_759
c_20569,d_19155
