f_369121,d_29356
f_156680,d_7207
f_390607,d_15922
f_548632,d_358
f_305797,d_7984
f_208178,d_28399
f_52134,d_22583
f_353301,d_12202
f_48644,d_8178
f_299556,d_30893
f_383096,d_14849
f_571986,d_8912
f_166484,d_24578
f_362516,d_4748
f_213396,d_25396
f_208946,d_10345
f_242890,d_5015
f_142142,d_29631
f_127428,d_27917
f_553781,d_896
f_372011,d_4090
f_263196,d_31046
f_642073,d_18513
f_434117,d_27862
f_6021,d_23999
f_356735,d_17241
f_328667,d_5276
f_643828,d_15279
f_406775,d_15292
f_326946,d_4668
f_9325,d_4116
f_334723,d_13373
f_494997,d_5061
f_141344,d_27248
f_296530,d_12284
f_212166,d_25032
f_522649,d_7044
f_53682,d_12544
f_612780,d_13903
f_281572,d_18361
f_196202,d_12201
f_415724,d_5213
f_203824,d_16765
f_28862,d_22843
f_169652,d_3945
f_21016,d_30665
f_164984,d_21525
f_278570,d_18867
f_426921,d_10001
f_376779,d_20195
f_473265,d_782
f_555495,d_16284
f_363984,d_17827
f_321309,d_14301
f_275292,d_3815
f_606325,d_30891
f_527816,d_24062
f_132285,d_7401
f_24588,d_13981
f_180965,d_3219
f_423537,d_4823
f_331894,d_965
f_265605,d_17088
f_13707,d_25411
f_26698,d_25296
f_191,d_30472
f_533885,d_22203
f_131360,d_1864
f_22216,d_29373
f_525365,d_9075
f_287260,d_26031
f_393978,d_7751
f_255752,d_24050
f_549217,d_24354
f_76115,d_4633
f_554893,d_14303
f_28176,d_27161
f_286555,d_14
f_499100,d_12033
f_33378,d_20896
f_558196,d_12770
f_343937,d_24594
f_394594,d_25028
f_616088,d_2172
f_206664,d_28093
f_110869,d_23665
f_601659,d_21507
f_529823,d_679
f_345952,d_21114
f_552012,d_17313
f_584789,d_5491
f_516233,d_26795
f_462030,d_24189
f_391453,d_10327
f_638681,d_4102
f_42192,d_20231
f_156165,d_31127
f_473740,d_4092
f_36802,d_8873
f_203628,d_22602
f_498756,d_27390
f_553485,d_21683
f_352598,d_22047
f_158859,d_1253
f_232949,d_12947
f_621124,d_21618
f_452802,d_10990
f_261256,d_6992
f_228804,d_30025
f_209457,d_17701
f_618718,d_5920
f_570029,d_28131
f_418439,d_10712
f_246777,d_21930
f_253569,d_23779
f_147581,d_17925
f_586132,d_21160
f_28802,d_9861
f_506372,d_9295
f_266859,d_30695
f_202332,d_28294
f_578355,d_22770
f_91187,d_23602
f_63632,d_12454
f_631976,d_30315
f_272880,d_10841
f_202884,d_10546
f_170956,d_12381
f_173574,d_22829
f_62810,d_28135
f_210375,d_5400
f_509419,d_24289
f_632327,d_7706
f_226902,d_3308
f_307908,d_21969
f_364902,d_7047
f_553083,d_24926
f_86905,d_31010
f_162993,d_20619
f_338306,d_8597
f_127608,d_16380
f_156900,d_20739
f_55968,d_15809
f_54216,d_10018
f_424184,d_17589
f_433676,d_22419
f_114078,d_26925
f_639241,d_22514
f_320393,d_26767
f_632232,d_4315
f_507705,d_9834
f_292710,d_9906
f_548298,d_31104
f_517445,d_23150
f_283832,d_17424
f_133825,d_25592
f_494587,d_2716
f_594406,d_3286
f_110528,d_26943
f_378010,d_20348
f_117684,d_15534
f_445037,d_11202
f_598340,d_9541
f_84501,d_5216
f_441329,d_6199
f_71324,d_21038
f_576908,d_21387
f_495580,d_2267
f_72936,d_743
f_40100,d_175
f_206930,d_23715
f_473635,d_1483
f_308868,d_5346
f_46927,d_10213
f_234086,d_20178
f_279941,d_21067
f_160248,d_208
f_120203,d_22951
f_59935,d_24876
f_177290,d_2883
f_278486,d_13636
f_548353,d_5288
f_385986,d_10992
f_371372,d_30660
f_337343,d_26235
f_530577,d_24164
f_364622,d_17292
f_71234,d_15619
f_111923,d_13816
f_561360,d_21083
f_417738,d_20521
f_605264,d_23716
f_644446,d_7969
f_356755,d_117
f_337075,d_20427
f_479269,d_7758
f_552520,d_28353
f_306636,d_754
f_263505,d_30378
f_231252,d_29103
f_526260,d_9159
f_225645,d_21295
f_108999,d_20549
f_111653,d_27849
f_454880,d_14423
f_130645,d_28225
f_536844,d_5445
f_250265,d_27122
f_503502,d_18021
f_360355,d_20845
f_348932,d_5495
f_153543,d_21869
f_200374,d_21385
f_563765,d_4077
f_459167,d_5702
f_251916,d_30957
f_603737,d_1329
f_286951,d_17836
f_4238,d_9798
f_48505,d_15557
f_493637,d_3322
f_264574,d_12305
f_446628,d_20871
f_399623,d_19700
f_213342,d_6030
