c_12939,d_3134
c_12303,d_16755
c_26800,d_20274
c_17020,d_17523
c_9223,d_28638
c_19047,d_25166
c_20228,d_12963
c_10052,d_20091
c_12402,d_30224
c_14056,d_20164
c_6059,d_2522
c_21733,d_27813
c_2582,d_25399
c_27855,d_2557
c_25595,d_20926
c_14466,d_1171
c_30372,d_12298
c_27139,d_8117
c_29329,d_22622
c_23513,d_1550
c_2427,d_20631
c_27629,d_4172
c_27992,d_19986
c_26727,d_13821
c_14324,d_340
c_26547,d_17950
c_17780,d_30757
c_11072,d_3898
c_6875,d_30139
c_6926,d_29727
c_15885,d_7319
c_4489,d_17909
c_3,d_23887
c_24226,d_29626
c_275,d_13928
c_17065,d_8449
c_5770,d_23515
c_8766,d_16252
c_23127,d_12339
c_24907,d_14718
c_22412,d_27541
c_1440,d_25327
c_28080,d_18735
c_3264,d_28152
c_21847,d_2098
c_10417,d_17832
c_18659,d_15257
c_21517,d_24806
c_28130,d_19767
c_15449,d_18853
c_16698,d_19795
c_20685,d_6414
c_16437,d_29666
c_26109,d_25613
c_26941,d_13675
c_8864,d_26368
c_17676,d_7468
c_29405,d_6909
c_20903,d_21157
c_15613,d_27563
c_12226,d_6393
c_29660,d_5372
c_4203,d_17736
c_9055,d_22879
c_20551,d_27880
c_8739,d_11027
c_19115,d_23625
c_20767,d_10242
c_10740,d_3373
c_15103,d_20150
c_26750,d_22504
c_16491,d_14469
c_22833,d_29599
c_6785,d_13852
c_6189,d_8090
c_13325,d_25151
c_25424,d_26326
c_4050,d_3963
c_23944,d_30510
c_16177,d_16592
c_116,d_10603
c_29208,d_1741
c_24738,d_29559
c_12240,d_18624
c_2441,d_12226
c_5220,d_16456
c_19797,d_27200
c_3719,d_21828
c_10636,d_18585
c_16079,d_17808
c_13250,d_7213
c_16772,d_13282
c_25637,d_18579
c_23164,d_8830
c_26368,d_25317
c_24936,d_10204
c_16911,d_8103
c_30993,d_26560
c_21662,d_685
c_12134,d_17301
c_8849,d_24551
c_23228,d_1230
c_26652,d_23160
c_8107,d_20447
c_15370,d_28535
c_1509,d_21281
c_18789,d_20600
c_27923,d_8437
c_26655,d_7677
c_838,d_8540
c_12842,d_17797
c_30751,d_11163
c_10057,d_18000
c_30171,d_20637
c_18629,d_23960
c_1850,d_20427
