b_209,c_5839
b_1006,c_6384
b_210,c_15848
b_571,c_7476
b_823,c_28999
b_698,c_2007
b_1125,c_20558
b_1175,c_18178
b_1315,c_22556
b_1270,c_9669
b_1074,c_1665
b_1390,c_24440
b_672,c_19475
b_715,c_22754
b_1315,c_27790
b_1355,c_9385
b_1166,c_29797
b_1078,c_2365
b_17,c_28689
b_1516,c_9
b_1084,c_10885
b_1006,c_18664
b_661,c_16472
b_405,c_12906
b_595,c_16371
b_1411,c_8668
b_189,c_7713
b_1284,c_17655
b_523,c_31187
b_921,c_28860
b_1403,c_12030
b_464,c_16723
b_1181,c_8947
b_1297,c_30611
b_210,c_15060
b_1076,c_16727
b_998,c_15147
b_1304,c_10822
b_1179,c_629
b_358,c_24978
b_79,c_25083
b_1206,c_5169
b_1252,c_15930
b_1349,c_28720
b_151,c_25683
b_1430,c_4999
b_1210,c_19682
b_1249,c_310
b_1227,c_15805
b_913,c_15876
b_855,c_28548
b_822,c_24338
b_577,c_2830
b_962,c_1497
b_309,c_4407
b_1472,c_152
b_130,c_23946
b_859,c_14146
b_1414,c_28913
b_482,c_3872
b_364,c_17102
b_477,c_1925
b_1488,c_5703
b_940,c_18927
b_963,c_16193
b_1453,c_11436
b_228,c_31090
b_230,c_3972
b_729,c_17248
b_1397,c_25378
b_1539,c_246
b_1446,c_19981
b_165,c_11980
b_662,c_11600
b_527,c_2682
b_931,c_10682
b_1198,c_17177
b_359,c_27671
b_1359,c_30760
b_816,c_3198
b_637,c_13569
b_1064,c_28062
b_1377,c_7915
b_901,c_18089
b_638,c_23604
b_445,c_23329
b_45,c_6964
b_1018,c_17243
b_1116,c_19654
b_868,c_9485
b_1376,c_31467
b_1459,c_6934
b_33,c_13939
b_1379,c_30679
b_520,c_31349
b_822,c_13116
b_993,c_12761
b_157,c_23951
b_937,c_22563
b_1104,c_6523
b_1472,c_1136
b_866,c_10754
b_558,c_6740
b_806,c_29695
b_1225,c_29780
b_1094,c_21727
b_1113,c_760
b_1220,c_11757
b_463,c_625
b_239,c_30513
b_549,c_2287
b_473,c_21980
b_1131,c_683
b_1515,c_8531
b_1451,c_20230
b_750,c_16126
b_539,c_7445
b_1357,c_2416
b_266,c_3475
b_689,c_14472
b_1500,c_25620
b_1161,c_28419
b_1487,c_30483
b_1172,c_14708
b_1442,c_29872
b_1513,c_28729
b_59,c_14202
b_1490,c_17276
b_413,c_1354
b_1095,c_15727
b_1233,c_20991
b_364,c_26876
b_654,c_19535
b_77,c_6696
b_250,c_3439
b_1304,c_6710
b_193,c_4323
b_1180,c_29421
b_613,c_8139
b_540,c_14405
b_455,c_26027
b_732,c_23771
b_1017,c_4669
b_1461,c_19205
b_1194,c_7460
b_1148,c_31453
b_635,c_15159
b_1399,c_30020
b_743,c_17232
b_1151,c_8364
b_1407,c_21698
b_223,c_25477
b_223,c_10292
b_926,c_28777
b_1107,c_6890
b_631,c_5227
b_902,c_27544
b_1245,c_14316
b_1015,c_23327
b_26,c_20982
b_1211,c_8889
b_422,c_18341
b_112,c_24038
b_934,c_23746
b_1124,c_31468
b_1440,c_14644
b_1276,c_30605
b_655,c_27521
b_1092,c_9976
b_834,c_5237
b_306,c_3440
b_285,c_9029
b_1311,c_17888
b_13,c_13749
b_718,c_6512
b_939,c_28022
b_320,c_29566
b_162,c_27160
b_1418,c_19764
b_621,c_16021
b_779,c_29301
b_1050,c_25699
b_199,c_29355
b_1412,c_15732
b_598,c_22576
b_892,c_18295
b_959,c_19697
b_27,c_17351
b_422,c_29837
b_325,c_15779
b_368,c_26601
b_687,c_31098
b_282,c_12920
b_892,c_14023
b_1432,c_11019
b_42,c_6531
b_889,c_14896
b_270,c_11324
b_1366,c_16295
b_205,c_17441
b_1517,c_10981
b_1401,c_11237
b_1422,c_1324
b_594,c_18421
b_478,c_13125
b_711,c_2859
b_1265,c_30385
b_1355,c_3041
b_1479,c_11234
b_451,c_28839
b_1246,c_6793
b_696,c_17809
b_1209,c_8758
b_396,c_26389
b_436,c_23607
b_1363,c_3308
b_1079,c_21945
b_594,c_2687
b_643,c_29530
b_681,c_5729
b_1245,c_21302
b_830,c_24584
b_793,c_1866
b_1528,c_16278
b_729,c_4652
b_1280,c_23817
b_990,c_18958
b_1035,c_20254
b_1071,c_2376
b_677,c_15033
b_692,c_18647
b_7,c_12434
b_292,c_9615
b_805,c_6852
b_1486,c_23597
b_984,c_19679
b_1117,c_19350
b_790,c_26806
b_1241,c_6050
b_527,c_964
b_1209,c_10325
b_884,c_187
b_1358,c_18283
b_1237,c_6468
b_417,c_28848
b_307,c_28404
b_1273,c_24364
b_1281,c_24070
b_749,c_26396
b_590,c_30924
b_1100,c_14391
b_796,c_20017
b_1154,c_4688
b_439,c_30119
b_833,c_23177
b_434,c_23393
b_473,c_13034
b_173,c_1286
b_711,c_704
b_208,c_5260
b_393,c_9287
b_82,c_15872
b_543,c_22866
b_1341,c_22825
b_161,c_2561
b_1085,c_23904
b_76,c_12372
b_364,c_29555
b_1364,c_734
b_1416,c_12028
b_665,c_18635
b_596,c_1803
b_340,c_14601
b_626,c_6610
b_787,c_21792
b_1111,c_18167
b_712,c_6252
b_1205,c_19731
b_500,c_7119
b_1393,c_871
b_485,c_13993
b_187,c_17952
b_46,c_29194
b_1459,c_701
b_235,c_9063
b_570,c_266
b_1209,c_21141
b_714,c_1210
b_1348,c_27897
b_340,c_14799
b_486,c_20037
