d_1449,e_21755
d_18658,e_9381
d_22486,e_34801
d_28484,e_2925
d_18896,e_44691
d_8601,e_24921
d_21133,e_39986
d_15338,e_32658
d_17709,e_27457
d_30854,e_6216
d_19611,e_2286
d_15139,e_31295
d_17746,e_5472
d_21433,e_4681
d_3890,e_13916
d_10497,e_18056
d_21530,e_43789
d_15806,e_4453
d_13338,e_39530
d_3836,e_46633
d_29798,e_42080
d_6093,e_25706
d_4442,e_27594
d_9039,e_29621
d_31017,e_20606
d_7812,e_3173
d_13715,e_44840
d_18185,e_28555
d_11810,e_10585
d_16074,e_18667
d_13693,e_4372
d_29365,e_39405
d_5546,e_25578
d_26250,e_35344
d_13553,e_14200
d_6350,e_25034
d_21035,e_38460
d_4169,e_2580
d_11891,e_27604
d_9374,e_21759
d_7388,e_33688
d_17468,e_581
d_19182,e_37879
d_31350,e_30288
d_711,e_37422
d_11924,e_21548
d_19406,e_37967
d_24194,e_18570
d_8627,e_8583
d_10477,e_39370
d_19791,e_26467
d_28077,e_8637
d_23274,e_44115
d_18005,e_2010
d_11742,e_42113
d_24589,e_37682
d_28926,e_35912
d_7172,e_11392
d_13464,e_39229
d_12685,e_33722
d_18626,e_15441
d_5443,e_42317
d_4527,e_21809
d_6587,e_40004
d_3790,e_25134
d_21691,e_44772
d_17905,e_27388
d_19868,e_36658
d_11157,e_25215
d_30659,e_38637
d_28447,e_39485
d_13354,e_29866
d_7876,e_16547
d_29509,e_14448
d_22903,e_44629
d_11485,e_11832
d_27679,e_43948
d_29295,e_46850
d_8990,e_16834
d_2634,e_39275
d_22823,e_21902
d_28667,e_25030
d_26052,e_25892
d_15337,e_19154
d_16691,e_39695
d_15858,e_37641
d_268,e_3319
d_23083,e_884
d_19880,e_34903
d_2452,e_36323
d_12431,e_39355
d_27252,e_5875
d_10069,e_30938
d_19762,e_23387
d_2027,e_27431
d_24413,e_5947
d_30311,e_42354
d_7635,e_22689
d_16555,e_4025
d_5125,e_43378
d_15205,e_39326
d_3291,e_15562
d_4898,e_14357
d_5670,e_33404
d_20844,e_35187
d_30526,e_28030
d_21572,e_38513
d_15996,e_6047
d_10633,e_9335
d_15644,e_23279
d_1668,e_35196
d_1437,e_23842
d_15468,e_25055
d_24520,e_32151
d_650,e_6712
d_22723,e_26703
d_1295,e_24627
d_21026,e_41258
d_28353,e_29272
d_30913,e_27915
d_29604,e_31327
d_1256,e_26750
d_18093,e_19458
d_25006,e_5435
d_31057,e_8092
d_25315,e_37050
d_16936,e_35889
d_15927,e_23511
d_4696,e_29388
d_15336,e_7960
d_10566,e_35597
d_20957,e_10845
