f_42728,d_18112
f_481859,d_16029
f_425288,d_22794
f_632426,d_11731
f_477023,d_26429
f_107767,d_25332
f_481479,d_14580
f_477400,d_1053
f_144515,d_10848
f_141648,d_29786
f_404839,d_2981
f_529695,d_26962
f_611641,d_13928
f_198874,d_9442
f_643361,d_10658
f_567497,d_5518
f_578024,d_1499
f_429825,d_21629
f_621472,d_6085
f_196359,d_5951
f_389793,d_10523
f_602548,d_7188
f_126500,d_25182
f_419015,d_23938
f_609148,d_27395
f_619371,d_14512
f_267372,d_16900
f_460144,d_23340
f_343486,d_9071
f_627146,d_23186
f_18188,d_6688
f_250313,d_16583
f_618221,d_1545
f_279599,d_11527
f_9460,d_13542
f_138683,d_6353
f_436070,d_13008
f_411696,d_3180
f_280304,d_3713
f_637976,d_14378
f_12011,d_22302
f_57252,d_5790
f_129854,d_2052
f_30187,d_14799
f_224703,d_18995
f_469579,d_12947
f_298300,d_5591
f_587737,d_1741
f_39900,d_627
f_227750,d_9118
f_414768,d_21207
f_112541,d_7423
f_579099,d_19711
f_241794,d_22008
f_496263,d_18539
f_618732,d_9525
f_346435,d_31220
f_310909,d_13515
f_247062,d_14398
f_48571,d_22133
f_526423,d_6648
f_250146,d_8263
f_516276,d_25931
f_591071,d_11136
f_570756,d_28778
f_209096,d_18025
f_307029,d_6838
f_572855,d_24632
f_416354,d_4673
f_45774,d_10249
f_416289,d_17376
f_564937,d_27879
f_500221,d_9071
f_54234,d_9449
f_205469,d_4150
f_318169,d_30726
f_591189,d_14914
f_86410,d_15310
f_595005,d_16837
f_530053,d_16139
f_251868,d_16253
f_219227,d_31258
f_392704,d_9173
f_573224,d_15676
f_152718,d_1921
f_195182,d_9375
f_627342,d_4679
f_587921,d_7037
f_311424,d_3979
f_114444,d_8960
f_304309,d_8660
f_568142,d_8481
f_472767,d_14837
f_596935,d_30793
f_484951,d_19371
f_159485,d_13865
f_424796,d_5081
f_76748,d_17348
f_330814,d_4518
f_248863,d_5454
f_189777,d_15681
f_346510,d_12566
f_203952,d_7252
f_309086,d_10292
f_305578,d_8999
f_267324,d_19722
f_598266,d_18038
f_365296,d_9720
f_450883,d_4433
f_261789,d_9838
f_6032,d_24171
f_44859,d_2349
