b_761,c_25276
b_46,c_3640
b_702,c_18774
b_298,c_4619
b_299,c_28057
b_329,c_8386
b_1500,c_16379
b_1275,c_26900
b_928,c_21608
b_510,c_210
b_824,c_19996
b_122,c_9044
b_343,c_1036
b_920,c_8740
b_1323,c_22728
b_616,c_4270
b_1021,c_30591
b_459,c_9087
b_871,c_6071
b_1525,c_25909
b_1179,c_20679
b_223,c_26667
b_1342,c_4194
b_1106,c_23860
b_1431,c_29437
b_385,c_27301
b_290,c_19141
b_112,c_10195
b_444,c_15670
b_29,c_508
b_1511,c_9335
b_623,c_30363
b_598,c_6570
b_799,c_21467
b_51,c_2344
b_487,c_16385
b_132,c_9066
b_1425,c_3525
b_450,c_17048
b_162,c_3989
b_1505,c_2647
b_1344,c_4768
b_364,c_4245
b_1304,c_28131
b_33,c_30886
b_436,c_11671
b_444,c_14198
b_53,c_18301
b_1488,c_7031
b_806,c_19058
b_540,c_19538
b_984,c_6846
b_855,c_14305
b_163,c_21748
b_1548,c_9017
b_207,c_75
b_1060,c_5153
b_478,c_24292
b_253,c_8985
b_373,c_760
b_619,c_26468
b_998,c_10986
b_1438,c_9501
b_908,c_7209
b_265,c_17427
b_608,c_5619
b_767,c_553
b_1226,c_15166
b_1470,c_8723
b_315,c_1882
b_739,c_11635
b_181,c_27417
b_619,c_16619
b_376,c_11675
b_531,c_18952
b_1287,c_4926
b_1006,c_24256
b_916,c_17240
b_1465,c_28381
b_157,c_24145
b_543,c_24699
b_938,c_19161
b_854,c_9628
b_1126,c_18540
b_992,c_12038
b_1133,c_28948
b_816,c_15546
b_1033,c_7887
b_472,c_12552
b_72,c_29366
b_575,c_2337
b_496,c_330
b_271,c_25556
b_1534,c_12309
b_607,c_16184
b_212,c_20489
b_9,c_3267
b_316,c_18070
b_1365,c_18348
b_1427,c_13516
b_1192,c_27847
b_1007,c_29956
b_486,c_550
b_236,c_25232
b_346,c_123
b_296,c_6383
b_874,c_14782
b_1,c_30364
b_1204,c_31326
b_1386,c_21077
b_707,c_16653
b_1092,c_29664
b_198,c_26497
b_1410,c_13932
b_1236,c_24433
b_1507,c_29677
b_874,c_829
b_386,c_14719
b_1430,c_14810
b_1264,c_18024
b_970,c_19585
b_1094,c_542
b_258,c_26172
b_748,c_22480
b_1228,c_24695
b_1545,c_1070
b_408,c_23941
b_500,c_25587
b_527,c_14751
b_93,c_29448
b_838,c_1026
b_881,c_29371
b_186,c_15175
b_97,c_415
b_1424,c_31467
b_577,c_30052
b_361,c_7799
b_910,c_29276
b_1376,c_15279
b_775,c_20366
b_1404,c_15395
b_242,c_26414
b_1065,c_14939
b_855,c_14227
b_1465,c_22944
b_1413,c_12852
b_474,c_8004
b_83,c_3848
b_885,c_12349
b_456,c_7519
b_1192,c_13362
b_116,c_15190
b_622,c_22105
b_1424,c_13331
b_270,c_28070
b_1250,c_29793
b_595,c_2503
b_1280,c_957
b_269,c_22657
b_732,c_27915
b_1138,c_4119
b_537,c_8675
b_757,c_7116
b_1452,c_893
b_1309,c_22405
b_1553,c_20426
b_865,c_17473
b_4,c_3332
b_647,c_2822
b_1163,c_17596
b_1334,c_5108
b_64,c_12539
b_209,c_27178
b_1421,c_24353
b_101,c_18520
b_1500,c_15033
b_1077,c_26882
b_454,c_14125
b_1091,c_13199
b_1374,c_28696
b_877,c_25226
b_110,c_26394
b_854,c_15612
b_218,c_27578
b_945,c_10689
b_301,c_999
b_322,c_2496
b_608,c_10326
b_1529,c_18760
b_646,c_18001
b_393,c_24511
b_1156,c_6511
b_1038,c_8594
b_676,c_5869
b_697,c_23343
b_1203,c_7712
b_197,c_14014
b_540,c_3414
b_932,c_20749
b_364,c_22887
b_1474,c_10737
b_1425,c_6203
b_1005,c_4248
b_1547,c_28754
b_1125,c_5569
b_545,c_24168
b_612,c_9627
b_400,c_28514
b_1207,c_8663
b_198,c_2366
b_540,c_21117
b_1054,c_4342
b_811,c_16531
b_85,c_1535
b_347,c_11872
b_736,c_7526
b_825,c_26094
b_978,c_27345
b_1044,c_2502
b_1059,c_10217
b_1383,c_9960
b_750,c_8677
b_133,c_22735
b_1185,c_26769
b_329,c_22828
b_580,c_16483
b_648,c_21581
b_1031,c_31417
b_1415,c_22341
b_1413,c_5800
b_635,c_9373
b_582,c_27144
b_1034,c_16291
b_760,c_28120
b_840,c_8399
b_1266,c_4188
b_428,c_9570
b_199,c_19891
b_898,c_31440
b_376,c_18842
b_1352,c_11695
b_596,c_24166
b_317,c_17213
b_700,c_24592
b_1085,c_11998
b_1518,c_14826
b_204,c_15582
b_478,c_6995
b_238,c_10737
b_1516,c_11299
b_229,c_23566
b_1027,c_29653
b_335,c_28980
b_1446,c_26370
b_951,c_4456
b_1200,c_2007
b_817,c_28632
b_1398,c_27375
b_1436,c_4113
b_87,c_21519
b_1210,c_1353
b_1197,c_20969
b_482,c_190
b_172,c_19385
b_1490,c_11729
b_415,c_27228
b_1025,c_9799
b_800,c_563
b_288,c_493
b_496,c_29975
b_481,c_23496
b_45,c_22974
b_1545,c_2228
b_1265,c_6331
b_1490,c_21897
b_265,c_21565
b_567,c_10517
b_848,c_2650
b_1421,c_6839
b_1064,c_27906
b_140,c_28947
b_544,c_30439
b_438,c_16093
b_976,c_381
b_781,c_12344
b_1066,c_27787
b_1127,c_4961
b_348,c_8190
b_161,c_14786
b_1104,c_25976
b_870,c_30302
b_950,c_13505
b_1544,c_30048
b_1351,c_25070
b_1397,c_3692
b_983,c_7536
b_860,c_22057
b_1311,c_31005
b_1445,c_18307
b_125,c_28247
b_615,c_30110
b_1028,c_16345
b_1190,c_20295
b_495,c_30871
b_426,c_11380
b_95,c_24576
b_153,c_7629
b_228,c_926
b_754,c_1197
b_1068,c_6228
b_1309,c_13125
b_1467,c_9962
b_624,c_25425
b_796,c_18125
b_1121,c_17433
b_1171,c_20390
b_1233,c_1579
b_1452,c_26597
b_1133,c_7667
b_715,c_4716
b_1164,c_29896
b_1409,c_16365
b_422,c_13256
b_1559,c_20477
b_50,c_27700
b_889,c_22111
b_323,c_19611
b_1307,c_20616
b_1422,c_10917
b_1117,c_16384
b_104,c_22081
b_1287,c_2907
b_755,c_18435
b_664,c_10037
b_310,c_2964
b_157,c_3511
b_166,c_12034
b_1302,c_30027
b_80,c_20985
b_595,c_22292
b_298,c_3673
b_907,c_30344
b_1514,c_4520
b_1401,c_4206
b_671,c_24373
b_376,c_5757
b_926,c_2659
b_59,c_24021
b_710,c_22216
b_615,c_27377
b_1282,c_13383
b_237,c_17708
b_435,c_20339
b_266,c_13135
b_314,c_25103
b_1405,c_10758
b_686,c_5680
b_1276,c_21069
b_666,c_5436
b_525,c_9547
b_837,c_6341
b_693,c_3784
b_23,c_17872
b_240,c_22810
b_1466,c_14755
b_1449,c_50
b_1499,c_10400
b_324,c_28146
b_1264,c_7130
b_9,c_30101
b_1374,c_1058
b_1424,c_1506
b_1316,c_8158
b_752,c_11460
b_896,c_7547
b_1516,c_19755
b_1091,c_8416
b_1101,c_30425
b_148,c_9406
b_1380,c_10365
b_792,c_18183
b_1040,c_9635
b_232,c_24896
b_952,c_28595
b_900,c_29481
b_968,c_27104
b_1194,c_27188
b_894,c_18253
b_757,c_12421
b_267,c_19464
b_239,c_5300
b_1169,c_17460
b_899,c_2359
b_323,c_14791
b_548,c_30604
b_609,c_25071
b_695,c_15944
b_850,c_9660
b_589,c_3765
b_515,c_22921
b_1203,c_11893
b_19,c_25461
b_75,c_22879
b_1510,c_3575
b_334,c_10819
b_14,c_12719
b_142,c_26946
b_815,c_4449
b_550,c_4069
b_753,c_11181
b_873,c_22924
b_83,c_10306
b_1331,c_13087
b_822,c_31252
b_1286,c_15989
b_1180,c_16953
b_1226,c_7321
b_307,c_29743
b_15,c_16597
b_736,c_7014
b_1470,c_28768
b_1441,c_19166
b_1212,c_6879
b_1438,c_29915
b_474,c_13073
b_516,c_11037
b_32,c_21337
b_1051,c_9848
b_207,c_19883
b_109,c_6316
b_1191,c_2492
b_1330,c_15522
b_459,c_8163
b_1193,c_25879
b_1498,c_16869
b_1025,c_5379
b_1497,c_14239
b_1218,c_12848
b_227,c_26121
b_593,c_25921
b_903,c_26910
b_740,c_15598
b_340,c_28515
b_418,c_14352
b_771,c_24904
b_219,c_10576
b_441,c_29945
b_423,c_24933
b_548,c_28333
b_1250,c_14134
b_1457,c_11919
b_314,c_9714
b_25,c_18172
b_348,c_13083
b_867,c_3978
b_1360,c_23008
b_356,c_7502
b_385,c_28374
b_295,c_23493
b_496,c_10237
b_964,c_22656
b_529,c_24868
b_499,c_9664
b_1533,c_18275
b_496,c_26462
b_881,c_6374
b_289,c_13696
b_782,c_19570
b_381,c_31433
b_284,c_7518
b_1470,c_20920
b_1512,c_23615
b_1342,c_19033
b_493,c_21724
b_1099,c_22878
b_381,c_15314
b_103,c_17260
b_1006,c_31139
b_1483,c_21114
b_1240,c_26947
b_1315,c_20826
b_733,c_13394
b_7,c_12899
b_1332,c_8558
b_636,c_6090
b_1177,c_12570
b_1217,c_19348
b_103,c_7240
b_475,c_614
b_842,c_18559
b_1416,c_4436
b_494,c_15816
b_1056,c_18162
b_474,c_15745
b_831,c_19556
b_108,c_9600
b_1387,c_7018
b_721,c_29091
b_735,c_30136
b_282,c_27118
b_425,c_17101
b_1395,c_8403
b_32,c_23721
b_475,c_6466
b_254,c_17226
b_1492,c_28777
b_877,c_8130
b_1374,c_8899
b_707,c_14572
b_754,c_4019
b_600,c_8324
b_500,c_15426
b_219,c_10104
b_328,c_12006
b_624,c_20206
b_617,c_7664
b_905,c_18749
b_758,c_28018
b_439,c_14548
b_879,c_16021
b_1120,c_4699
b_507,c_5390
b_1299,c_759
b_1119,c_11585
b_389,c_18549
b_636,c_27667
b_832,c_23486
b_1372,c_30286
b_440,c_11833
b_1043,c_29453
b_435,c_3660
b_905,c_2103
b_64,c_26370
b_444,c_9305
b_1535,c_5513
b_612,c_9093
b_818,c_7801
b_1445,c_23853
b_1270,c_3680
b_124,c_16026
b_1356,c_23500
b_675,c_1296
b_1175,c_29269
b_1371,c_3141
b_351,c_25959
b_988,c_11420
b_721,c_20495
b_516,c_20317
b_1383,c_16636
b_1387,c_22216
b_1126,c_4821
b_456,c_28232
b_470,c_5730
b_120,c_31109
b_3,c_17135
b_852,c_28309
b_222,c_16413
b_1253,c_21496
b_1015,c_15976
b_614,c_21681
b_1390,c_1783
b_872,c_21131
b_1078,c_13304
b_1429,c_26764
b_125,c_22978
b_635,c_15315
b_297,c_6633
b_800,c_2444
b_429,c_11693
b_508,c_15975
b_532,c_16897
b_1449,c_19124
b_1033,c_9358
b_866,c_8232
b_1008,c_12597
b_599,c_17594
b_594,c_10609
b_1472,c_2476
b_148,c_6715
b_336,c_30186
b_602,c_8523
b_686,c_12683
b_480,c_21833
b_611,c_2146
b_1389,c_9630
b_672,c_21207
b_301,c_20147
b_1273,c_2703
b_262,c_21810
b_1033,c_24237
b_748,c_14819
b_701,c_13688
b_1470,c_14114
b_1375,c_1520
b_689,c_20179
b_1153,c_12383
b_893,c_20423
b_619,c_18194
b_1101,c_1236
b_1055,c_5651
b_84,c_26122
b_448,c_17770
b_120,c_8988
b_981,c_15861
b_251,c_5928
b_540,c_18300
b_507,c_21286
b_1061,c_984
b_324,c_25092
b_514,c_6401
b_1207,c_5150
b_1250,c_18552
b_1460,c_8927
b_575,c_1070
b_1280,c_17637
b_958,c_15124
b_687,c_4947
b_158,c_12105
b_1310,c_2451
b_1081,c_22966
b_1132,c_4367
b_1336,c_7750
b_1526,c_12622
b_799,c_5921
b_205,c_16472
b_462,c_13635
b_513,c_8774
b_1316,c_22739
b_1519,c_1602
b_871,c_26354
b_256,c_879
b_752,c_2540
b_110,c_23839
b_1553,c_24554
b_176,c_964
b_1428,c_11187
b_132,c_23389
b_1329,c_11177
b_652,c_5047
b_1471,c_3244
b_1350,c_5778
b_1434,c_30344
b_1091,c_8578
b_324,c_28142
b_1485,c_7068
b_1086,c_22064
b_1056,c_21319
b_1034,c_21587
b_1350,c_8335
b_571,c_17524
b_403,c_806
b_236,c_14761
b_424,c_5099
b_1037,c_23659
b_605,c_2592
b_460,c_15039
b_102,c_19049
b_924,c_4715
b_1459,c_30939
b_609,c_8957
b_269,c_12809
b_272,c_23377
b_284,c_21996
b_1293,c_15431
b_367,c_23887
b_1108,c_23094
b_85,c_16794
b_878,c_5449
b_318,c_4011
b_735,c_5194
b_660,c_2361
b_1103,c_13580
b_974,c_738
b_265,c_15830
b_1483,c_28887
b_184,c_17032
b_457,c_23721
b_1368,c_28674
b_426,c_17122
b_1002,c_2936
b_862,c_7600
b_259,c_12704
b_933,c_3650
b_1296,c_14508
b_626,c_13237
b_829,c_30194
b_386,c_19820
b_1372,c_12575
b_298,c_17786
b_1203,c_30577
b_1152,c_26124
b_1043,c_23046
b_27,c_16446
b_70,c_16085
b_276,c_5598
b_917,c_2381
b_1071,c_17049
b_92,c_20261
b_1271,c_14748
b_267,c_1944
b_92,c_18925
b_1410,c_7097
b_973,c_6205
b_1271,c_8307
b_1545,c_22872
b_236,c_13033
b_145,c_29939
b_583,c_21186
b_373,c_2422
b_1044,c_26032
b_712,c_16471
b_235,c_12063
b_1279,c_9122
b_104,c_28907
b_754,c_16216
b_894,c_12252
b_182,c_18326
b_34,c_17590
b_362,c_5819
b_1392,c_18818
b_527,c_8109
b_249,c_13285
b_1143,c_28225
b_1126,c_2911
b_693,c_27940
b_456,c_25871
b_857,c_11599
b_810,c_26907
b_983,c_16251
b_754,c_13831
b_848,c_10596
b_327,c_29239
b_1218,c_2924
b_179,c_3880
b_144,c_18301
b_1233,c_28887
b_487,c_3570
b_1375,c_21720
b_1531,c_21357
b_174,c_11064
