f_575946,d_29510
f_637311,d_29676
f_46706,d_5217
f_351388,d_25364
f_261247,d_16604
f_213034,d_13262
f_211071,d_12800
f_155730,d_16547
f_167811,d_13193
f_286826,d_112
f_26998,d_27800
f_476313,d_11074
f_484283,d_2835
f_454239,d_7957
f_351990,d_25386
f_238865,d_8659
f_154711,d_21866
f_50482,d_3026
f_166601,d_26512
f_8348,d_14658
f_610772,d_10287
f_346409,d_1965
f_27114,d_10465
f_175685,d_2354
f_628903,d_28574
f_152772,d_26462
f_361749,d_27719
f_153134,d_26185
f_224646,d_14450
f_135328,d_4396
f_488477,d_27746
f_632174,d_14997
f_401913,d_30339
f_61336,d_25640
f_324712,d_11724
f_54000,d_16381
f_136201,d_3586
f_138656,d_28564
f_567463,d_7882
f_44732,d_17570
f_355501,d_5009
f_138895,d_18448
f_275684,d_27121
f_123893,d_23195
f_66325,d_25404
f_571202,d_1450
f_215754,d_19684
f_446117,d_7153
f_125191,d_2013
f_434526,d_30689
f_30250,d_18932
f_304346,d_7385
f_362848,d_15074
f_472432,d_12980
f_461545,d_855
f_102844,d_27678
f_607997,d_5367
f_89698,d_13450
f_19198,d_19327
f_609364,d_18223
f_416428,d_19299
f_438530,d_442
f_471695,d_31340
f_209597,d_23513
f_219699,d_21177
f_192796,d_3175
f_574686,d_9976
f_310313,d_18450
f_341586,d_11386
f_608457,d_7625
f_361869,d_26036
f_304725,d_22265
f_429676,d_29959
f_189334,d_21587
f_8893,d_27424
f_198562,d_260
f_437608,d_14590
f_349284,d_5274
f_170059,d_29526
f_256207,d_14910
f_542096,d_23751
f_268318,d_6880
f_644169,d_2594
f_561533,d_370
f_532417,d_5845
f_527266,d_30205
f_401308,d_18574
f_16581,d_2558
f_266628,d_27259
f_70555,d_18007
f_250861,d_27164
f_395849,d_8833
f_544021,d_1209
f_233136,d_19394
f_509366,d_27850
f_233338,d_27759
f_187333,d_1110
f_262516,d_15629
f_640623,d_2842
f_145762,d_18934
f_147941,d_2783
f_149480,d_14356
f_98330,d_11868
f_601896,d_9020
f_548714,d_13950
f_432652,d_7178
f_371895,d_10719
f_141134,d_14638
f_570401,d_12077
f_411505,d_14385
f_470365,d_10535
f_210638,d_22905
f_371112,d_27145
f_427944,d_24475
f_448183,d_29069
f_528535,d_26956
f_570632,d_18025
f_97487,d_21170
f_15497,d_2444
f_526541,d_6894
f_413876,d_27571
f_412401,d_1021
f_555401,d_26564
f_41495,d_30268
f_54567,d_25565
f_133394,d_176
f_268918,d_17931
f_491328,d_17574
f_241322,d_5967
f_207341,d_508
f_381166,d_26749
f_503905,d_193
f_332626,d_23749
f_335099,d_10423
f_236692,d_18791
f_450336,d_12370
f_635409,d_1696
f_36727,d_25492
f_608897,d_22222
f_607886,d_14169
f_543668,d_26572
f_263072,d_24895
f_163262,d_21428
f_408595,d_25828
f_287227,d_7711
f_465883,d_16471
f_406499,d_11884
f_496445,d_17723
f_308194,d_14007
