f_569138,d_27586
f_397452,d_22734
f_607762,d_12724
f_460660,d_8818
f_400680,d_13585
f_202013,d_14734
f_602878,d_23334
f_145461,d_10550
f_289111,d_8523
f_502526,d_8513
f_309502,d_6616
f_467552,d_422
f_384650,d_22759
f_300674,d_11240
f_569705,d_27897
f_373937,d_2083
f_292650,d_28368
f_368814,d_10944
f_317056,d_8434
f_531874,d_9419
f_487570,d_6422
f_272094,d_21876
f_430789,d_23451
f_282596,d_18562
f_209012,d_6237
f_429354,d_25346
f_289978,d_28820
f_325717,d_19650
f_78222,d_5217
f_327548,d_20374
f_77159,d_10562
f_468638,d_28802
f_455737,d_17756
f_221615,d_14953
f_423064,d_12998
f_414727,d_14827
f_393692,d_13628
f_34490,d_17575
f_208151,d_5550
f_546931,d_15220
f_480674,d_21462
f_162664,d_29647
f_485212,d_20490
f_190679,d_15741
f_320263,d_10825
f_335190,d_22868
f_196432,d_27866
f_218281,d_27220
f_44220,d_10963
f_575321,d_24118
f_82666,d_20438
f_486578,d_8834
f_622105,d_20212
f_81221,d_11613
f_224894,d_16089
f_635761,d_23244
f_250272,d_1870
f_391893,d_2329
f_127690,d_27721
f_421616,d_8261
f_526069,d_11493
f_188250,d_28057
f_157453,d_21170
f_532623,d_1832
f_609697,d_17972
f_470648,d_27309
f_412498,d_30357
f_466340,d_2237
f_442217,d_21209
f_10279,d_26035
f_553916,d_3760
f_433645,d_20811
f_227216,d_27939
f_596852,d_18466
f_637678,d_20688
f_379599,d_12626
f_413726,d_23154
f_3470,d_24891
f_586173,d_1171
f_416179,d_1448
f_150391,d_16603
f_260257,d_8288
f_36317,d_12747
f_98766,d_10125
f_624664,d_30351
f_169510,d_15373
f_88707,d_30912
f_446923,d_8727
f_283627,d_28244
f_555589,d_6338
f_284677,d_5729
f_377227,d_27493
f_17347,d_30332
f_326174,d_10600
f_360759,d_17545
f_417329,d_15535
f_163951,d_19722
f_579108,d_6256
f_185876,d_13262
f_413813,d_25455
f_402388,d_4502
f_175412,d_6636
f_121636,d_4897
f_290313,d_27896
f_25347,d_10487
f_442776,d_20368
f_511186,d_2855
f_367106,d_15551
f_202704,d_23220
f_250227,d_26395
f_438882,d_20515
f_520488,d_19248
f_17336,d_13738
f_189452,d_30513
f_196627,d_27875
f_304344,d_25775
f_622653,d_8224
f_494272,d_24464
f_595933,d_1648
f_393341,d_19951
f_627883,d_1201
f_300335,d_18351
f_82381,d_14645
f_402146,d_14206
f_332400,d_30439
f_626442,d_28270
f_252253,d_30850
f_190044,d_25279
f_233984,d_4132
f_353753,d_18155
f_547387,d_16409
f_292582,d_8304
f_382961,d_1119
f_365597,d_18022
f_399632,d_455
f_110701,d_3811
f_128250,d_16017
f_33561,d_17006
f_500838,d_7620
f_608927,d_9815
f_239588,d_11788
f_595056,d_26806
f_132800,d_28684
f_336837,d_25133
f_323902,d_7823
f_588505,d_16487
f_460140,d_24442
f_332220,d_20795
f_285465,d_31242
f_246695,d_20004
f_73910,d_10774
f_261245,d_23770
f_328195,d_30046
f_187253,d_23131
f_25907,d_28534
f_252877,d_3265
f_171604,d_23706
f_343200,d_17970
f_154060,d_2289
f_367785,d_18560
f_127424,d_29807
f_29266,d_14023
f_102749,d_29263
f_328701,d_14673
f_297705,d_12582
f_214079,d_12907
f_29575,d_18991
f_574068,d_14558
f_339257,d_4037
f_409814,d_17752
f_304150,d_26457
f_566475,d_6144
f_448440,d_3729
f_408825,d_30641
f_229794,d_16312
f_213735,d_28818
f_343145,d_22945
f_558188,d_14818
f_525319,d_3526
f_65124,d_9270
f_69066,d_7239
f_435753,d_27950
f_331149,d_20469
f_185224,d_3143
f_347081,d_11166
f_268333,d_24301
f_233125,d_28062
f_309731,d_15312
f_86589,d_19091
f_283964,d_18895
f_249354,d_19419
f_93598,d_3855
f_494799,d_27311
f_611443,d_5730
f_523002,d_24415
f_259698,d_28572
f_262803,d_1102
f_70748,d_1871
f_368851,d_20377
f_76871,d_944
f_138874,d_30781
f_363447,d_17237
f_22326,d_14548
f_447266,d_23651
f_389836,d_17579
f_145390,d_21701
f_431654,d_9689
f_217512,d_12893
f_437098,d_7286
f_340979,d_17363
f_461420,d_28948
f_123782,d_5349
f_243964,d_14182
f_386171,d_16098
f_245805,d_31309
f_620505,d_29148
f_11135,d_25069
f_207232,d_28664
f_486325,d_24996
f_340389,d_31207
f_109904,d_15774
f_556106,d_3320
f_187806,d_5501
f_87862,d_10315
f_457799,d_18810
f_63847,d_11270
f_236655,d_25486
f_354268,d_13719
f_490825,d_18737
f_116896,d_12124
f_452822,d_6838
f_385480,d_6421
f_46163,d_22349
f_102966,d_23823
f_55848,d_7082
f_177905,d_21440
f_37981,d_28381
f_641521,d_14516
f_247925,d_12430
f_301201,d_26394
f_568520,d_24627
f_78213,d_10811
f_184345,d_30500
f_167430,d_17274
f_119132,d_1535
f_180699,d_10749
f_211597,d_1078
f_201290,d_8349
f_296173,d_22315
f_310089,d_2631
f_550590,d_24554
f_271769,d_417
f_336797,d_22399
f_32276,d_18592
f_145968,d_4607
f_57588,d_15525
f_630135,d_23099
f_463771,d_9258
f_237045,d_18970
f_269004,d_23491
f_109238,d_25961
f_537425,d_21282
f_83969,d_19020
f_408913,d_7668
f_530848,d_29871
f_609590,d_535
f_339234,d_3115
f_259667,d_15218
f_340719,d_13040
f_2456,d_2626
f_531173,d_29517
f_346255,d_12216
f_125268,d_10907
f_31782,d_26787
f_96333,d_3287
f_128216,d_4428
f_182588,d_10967
f_389228,d_19305
f_63614,d_28347
f_521523,d_18103
f_35495,d_21973
f_557041,d_23450
f_171427,d_4200
f_405717,d_2363
f_38425,d_23837
f_475672,d_16782
f_143596,d_26113
f_594271,d_24943
f_341460,d_5416
f_580792,d_26401
f_296962,d_2167
f_281066,d_24142
f_77167,d_12038
f_212989,d_5540
f_287341,d_20685
f_616205,d_332
f_562845,d_14812
f_503476,d_25555
f_165789,d_6421
f_310521,d_6963
f_406050,d_9963
f_392143,d_12353
f_101425,d_29055
f_218968,d_23555
f_592394,d_10201
f_241735,d_16721
f_429123,d_24120
f_293919,d_30590
f_207652,d_19109
f_468753,d_29618
f_37349,d_29342
f_622907,d_17263
f_44574,d_25516
f_461408,d_28830
f_624282,d_4435
f_91240,d_12459
f_262599,d_3918
f_227922,d_21778
f_297721,d_327
f_412617,d_3332
f_559004,d_15939
f_594060,d_28372
f_503172,d_20927
f_502672,d_20637
f_254953,d_17274
f_642756,d_17065
f_333152,d_6555
f_40092,d_19003
f_14490,d_29639
f_549494,d_24917
f_350217,d_12075
f_628703,d_5141
f_514128,d_18886
f_479533,d_4701
f_596596,d_4041
f_344711,d_9410
f_119183,d_14551
f_496841,d_13578
f_560485,d_11449
f_636356,d_29027
f_105924,d_511
f_113085,d_22908
f_133675,d_25197
f_195758,d_10411
f_422948,d_31165
f_162083,d_23831
f_189591,d_25651
f_512031,d_13636
f_352462,d_2621
f_581750,d_29017
f_544068,d_20268
f_8404,d_20442
f_401385,d_9052
f_28585,d_13802
f_200298,d_26744
f_8718,d_24286
f_82802,d_12819
f_329503,d_11219
f_395968,d_20520
f_350002,d_10917
f_190579,d_15428
f_294616,d_29430
f_553781,d_16473
f_67290,d_13505
f_598593,d_16185
f_280568,d_7783
f_208833,d_12018
f_82689,d_24376
f_121027,d_6696
f_596450,d_25134
f_473941,d_30321
f_302374,d_4476
f_633503,d_25864
f_481385,d_214
f_568835,d_11494
f_169238,d_10562
f_305937,d_22808
f_251329,d_9456
f_49238,d_17865
f_358779,d_20240
f_187331,d_29064
f_53143,d_14782
f_475215,d_24145
f_91238,d_25196
f_631954,d_5238
f_599888,d_17566
f_102718,d_20790
f_61494,d_15461
f_396473,d_7250
f_190058,d_14531
f_393429,d_11056
f_203740,d_21006
f_398921,d_29001
f_473819,d_25503
f_214054,d_31167
f_42082,d_18075
f_74762,d_3460
f_271179,d_4593
f_142513,d_22191
f_452759,d_28057
f_560203,d_758
f_246717,d_12915
f_67735,d_13632
f_566216,d_21140
f_595751,d_19088
f_258354,d_11300
f_622545,d_22195
f_311890,d_1022
f_418316,d_11529
f_75371,d_5647
f_165124,d_26552
f_256712,d_19432
f_76826,d_1033
f_339732,d_20108
f_385418,d_18253
f_395863,d_3506
f_484505,d_19975
f_388225,d_2244
f_517751,d_14146
f_54247,d_9099
f_481063,d_8112
f_458531,d_3072
f_611687,d_641
f_542989,d_25209
f_107010,d_12958
f_342658,d_17018
f_124601,d_8565
f_560039,d_2786
f_256317,d_7557
f_505547,d_22916
f_569274,d_29715
f_443354,d_832
f_450838,d_7937
f_146157,d_17326
f_94911,d_13167
f_339058,d_5262
f_21157,d_6369
f_642617,d_4706
f_443730,d_6692
