c_8086,d_19631
c_2861,d_2845
c_23710,d_31073
c_7657,d_12688
c_13073,d_12844
c_28162,d_29910
c_12306,d_20521
c_26407,d_21354
c_18621,d_4994
c_4491,d_23150
c_10001,d_21127
c_5531,d_19594
c_2692,d_18350
c_22298,d_1449
c_29585,d_9714
c_7406,d_24258
c_20522,d_12103
c_27041,d_6418
c_30115,d_22686
c_17623,d_30313
c_11023,d_7386
c_23273,d_18185
c_20043,d_30362
c_8962,d_4632
c_8054,d_27666
c_16900,d_22180
c_22019,d_17658
c_17852,d_17700
c_19309,d_23581
c_1564,d_1809
c_22166,d_4378
c_972,d_20065
c_11461,d_11512
c_8947,d_9824
c_18307,d_21615
c_12884,d_11983
c_7317,d_8781
c_1317,d_23635
c_8270,d_6541
c_9678,d_24096
c_30631,d_14282
c_17923,d_19282
c_16722,d_19014
c_7026,d_10024
c_17746,d_4422
c_16793,d_12481
c_24156,d_27338
c_30582,d_8863
c_15451,d_11725
c_8459,d_24990
c_12819,d_30146
c_20193,d_24968
c_17100,d_26751
c_29245,d_4651
c_711,d_3840
c_2566,d_8136
c_3110,d_12056
c_26277,d_2079
c_17820,d_13370
c_4278,d_30748
c_30944,d_900
c_24745,d_7088
c_30004,d_29619
c_28538,d_2266
c_3755,d_439
c_1385,d_9997
c_12847,d_25468
c_3253,d_1430
c_12881,d_22943
c_8639,d_9946
c_10355,d_25161
c_6870,d_17872
c_6698,d_9800
c_3721,d_25968
c_19726,d_23597
c_8370,d_20911
c_28275,d_16842
c_9843,d_16077
c_7593,d_19981
c_30143,d_21939
c_17291,d_24420
c_30702,d_16423
c_18711,d_8299
c_3219,d_27149
c_23821,d_27805
c_13249,d_30648
c_1480,d_12029
c_31423,d_3993
c_12997,d_30777
c_6990,d_24232
c_5128,d_17202
c_30132,d_14532
c_27703,d_11506
c_17806,d_23335
c_3742,d_4072
c_22887,d_15423
c_4556,d_15086
c_30200,d_5825
c_18355,d_1218
c_30876,d_575
c_24795,d_13191
c_25010,d_17646
c_24742,d_11045
c_5287,d_25547
c_5061,d_3315
c_26157,d_11388
c_15349,d_21856
c_22178,d_26493
c_20516,d_28559
c_15065,d_17952
c_23551,d_11698
c_17638,d_26129
c_28263,d_11185
c_28092,d_19524
c_9358,d_17531
c_3694,d_16201
c_221,d_5279
c_20761,d_5624
c_18276,d_28518
c_11783,d_13783
c_30864,d_22377
c_3278,d_26165
c_16546,d_15466
c_23298,d_24656
c_2805,d_31325
c_15226,d_17273
c_13187,d_29400
c_15181,d_9935
c_30798,d_13802
c_5287,d_11566
c_6069,d_2293
c_1109,d_15982
c_77,d_15810
c_23513,d_8271
c_27389,d_24045
c_12944,d_4808
c_6864,d_15494
c_30505,d_17885
c_14154,d_5594
c_6770,d_20023
c_21740,d_27938
c_9185,d_17742
c_29678,d_23655
c_8258,d_18164
c_20879,d_29191
c_4608,d_3850
c_13831,d_27580
c_13450,d_18231
c_25860,d_21136
c_6845,d_21491
c_18102,d_19686
c_5779,d_12431
c_29532,d_15326
c_24520,d_20866
c_555,d_13106
c_16769,d_11048
c_10669,d_8717
c_29418,d_18299
c_27139,d_22808
c_19921,d_4646
c_17241,d_9075
c_6714,d_1668
c_31210,d_24431
c_16994,d_22367
c_28531,d_27544
c_29255,d_24915
c_6134,d_22307
c_19344,d_1724
c_23790,d_1560
c_7936,d_1361
c_14775,d_25239
c_23611,d_25456
c_19197,d_7905
c_16827,d_22595
c_8644,d_528
c_20803,d_14326
c_20603,d_5909
c_18396,d_26838
c_7806,d_25349
c_6886,d_6132
c_28132,d_3829
c_1367,d_9218
c_7876,d_7444
c_29091,d_151
c_13666,d_5525
c_18353,d_20716
c_17326,d_24114
c_9861,d_28916
c_12139,d_20155
c_30568,d_15509
c_7851,d_29903
c_2693,d_2558
c_30659,d_13243
c_19993,d_26152
c_21360,d_19337
c_7531,d_12711
c_2737,d_3863
c_21090,d_3522
c_27972,d_16573
c_9798,d_19136
c_23159,d_14056
c_17072,d_23019
c_5924,d_21493
c_4012,d_4394
c_27202,d_13405
c_4288,d_4630
c_21248,d_11954
c_21563,d_21913
c_4388,d_871
c_19582,d_28685
c_22843,d_24872
c_2918,d_25284
c_20918,d_7314
c_129,d_28407
c_25028,d_4553
c_19965,d_15791
c_18058,d_28881
c_937,d_4546
c_9639,d_4553
c_18981,d_31131
c_24349,d_855
c_27306,d_15768
c_4064,d_2388
c_21573,d_20916
c_25887,d_13832
c_21262,d_19392
c_25855,d_18748
c_20881,d_1068
c_20062,d_8076
c_14156,d_13591
c_10072,d_25143
c_17959,d_12756
c_4156,d_7419
c_14614,d_21672
c_1798,d_18811
c_14512,d_17876
c_1515,d_3719
c_26691,d_3763
c_21823,d_863
c_18593,d_17646
c_23322,d_15993
c_24558,d_24247
c_23933,d_18001
c_31430,d_16586
c_13922,d_5036
c_21925,d_17502
c_25537,d_4087
c_30635,d_9566
c_28672,d_2359
c_7242,d_10220
c_27043,d_14050
c_13624,d_2530
c_25746,d_30679
c_9570,d_1708
c_6225,d_20615
c_20339,d_7590
c_17418,d_26013
c_6371,d_11779
c_1827,d_29189
c_14380,d_27645
c_11187,d_12199
c_25626,d_6308
c_30073,d_31231
c_6820,d_15757
c_19805,d_18493
c_11822,d_25289
c_2257,d_5594
c_24614,d_12779
c_21996,d_21941
c_30663,d_26296
c_24103,d_29729
c_27928,d_19854
c_2216,d_26817
c_17422,d_14257
c_5493,d_20537
c_16410,d_11402
c_15326,d_29904
c_27256,d_22076
c_6945,d_18670
c_15521,d_22998
c_4079,d_11055
c_1057,d_2119
c_18314,d_19951
c_11530,d_20851
c_12692,d_26656
c_27981,d_10033
c_8488,d_17563
c_8929,d_9784
c_5056,d_4686
c_2944,d_19372
c_21396,d_18206
c_27654,d_25778
c_15418,d_21536
c_17136,d_13460
c_19262,d_5479
c_14081,d_28541
c_6820,d_5160
c_30872,d_12928
c_25316,d_23522
c_4799,d_20908
c_14827,d_3240
c_6672,d_18682
c_27772,d_5335
c_27946,d_26821
c_26775,d_15823
c_7964,d_5120
c_27099,d_16935
c_9629,d_3560
c_23668,d_21753
c_29498,d_24567
c_7692,d_14143
c_2053,d_30751
c_10721,d_39
c_5793,d_8806
c_17828,d_30655
c_24007,d_20194
c_6859,d_6550
c_25944,d_11674
c_3325,d_11216
c_26264,d_799
c_21196,d_26086
c_15708,d_15248
c_9243,d_18960
c_8684,d_1297
c_26794,d_2326
c_18758,d_11611
c_1838,d_22771
c_27870,d_18426
c_19437,d_21723
c_15923,d_11703
c_26824,d_11903
c_28597,d_29095
c_30556,d_22660
c_29150,d_30575
c_27767,d_15321
c_27900,d_1740
c_29687,d_3675
c_22862,d_11475
c_17718,d_11290
c_24388,d_22896
c_15887,d_30338
c_1434,d_23638
c_24088,d_28900
c_4233,d_13402
c_5055,d_14078
c_5368,d_28148
c_21959,d_5254
c_1906,d_6513
c_29188,d_316
c_24045,d_2164
c_11965,d_24680
c_4561,d_9124
c_10079,d_10108
c_9990,d_488
c_23017,d_19973
c_29068,d_15106
c_1168,d_15198
