f_94449,d_18441
f_452163,d_24546
f_353773,d_11597
f_319526,d_28423
f_120030,d_1270
f_36346,d_13434
f_619356,d_2945
f_334022,d_20654
f_572080,d_2368
f_429019,d_11437
f_310514,d_15286
f_445266,d_29719
f_202048,d_2173
f_472409,d_8477
f_617013,d_8593
f_441755,d_29964
f_400283,d_29669
f_577628,d_23708
f_554345,d_11903
f_301790,d_9416
f_171787,d_18285
f_416969,d_22424
f_366887,d_4965
f_522301,d_17084
f_555927,d_4238
f_329797,d_17615
f_576113,d_16351
f_354353,d_25206
f_301543,d_15106
f_355373,d_31112
f_509813,d_25331
f_32550,d_9421
f_23836,d_27427
f_266844,d_25103
f_201657,d_22793
f_550883,d_29270
f_509965,d_9576
f_456649,d_16562
f_34339,d_8691
f_125399,d_19378
f_490182,d_18334
f_427408,d_7896
f_342571,d_30832
f_536430,d_8703
f_448771,d_10577
f_267918,d_24182
f_8174,d_13569
f_190661,d_12552
f_121367,d_970
f_265853,d_13098
f_642416,d_31000
f_585003,d_27470
f_229212,d_4944
f_409156,d_5330
f_423362,d_22810
f_242690,d_23358
f_451476,d_16379
f_292199,d_31101
f_474406,d_5786
f_131598,d_3719
f_491697,d_22796
f_354204,d_21406
f_227630,d_4952
f_33526,d_25270
f_200994,d_21719
f_11920,d_27988
f_14989,d_6963
f_209273,d_13982
f_516821,d_16860
f_366101,d_15235
f_509424,d_3947
f_75232,d_12835
f_84765,d_21811
f_553969,d_11500
f_364800,d_3472
f_206793,d_9325
f_592361,d_11338
f_26142,d_11916
f_443521,d_20192
f_322030,d_18949
f_55640,d_20927
f_291173,d_13356
f_525694,d_5568
f_179650,d_11010
f_541774,d_7385
f_77089,d_2297
f_203708,d_29339
f_257194,d_18082
f_508136,d_31199
f_268052,d_10413
f_402984,d_10922
f_19109,d_11195
f_142128,d_11167
f_108432,d_26010
f_426375,d_4803
f_207359,d_19301
f_478795,d_18802
f_340837,d_9829
f_68309,d_22264
f_455511,d_8683
f_389619,d_16433
f_535168,d_17976
f_163544,d_29176
f_298467,d_24076
f_73104,d_14696
f_436859,d_18099
f_520892,d_19321
f_92663,d_12573
f_388219,d_19850
f_312387,d_22335
f_108194,d_18431
f_584870,d_18813
f_278866,d_7418
f_230422,d_11269
f_247968,d_19947
f_568837,d_20198
f_11070,d_29420
f_171795,d_28894
f_68082,d_4935
f_271972,d_6579
f_86825,d_1492
f_569738,d_18092
f_551094,d_11854
f_41336,d_19080
f_429586,d_4620
f_454859,d_22446
f_470084,d_29344
f_473703,d_2258
f_513131,d_18022
f_125839,d_26228
f_358754,d_18177
f_469027,d_24115
f_574639,d_26304
f_197566,d_3336
f_270302,d_2873
f_269180,d_9492
f_523093,d_12940
f_479065,d_22228
f_536909,d_25890
f_234288,d_16361
f_160975,d_19997
f_400397,d_22752
f_325583,d_13321
f_419078,d_20989
f_111371,d_22662
f_396628,d_27215
f_5747,d_4534
f_584664,d_2653
f_550468,d_391
f_353548,d_25911
f_366642,d_2748
f_459117,d_2604
f_167637,d_15379
f_435410,d_18808
f_585246,d_14621
f_188218,d_10907
f_184602,d_29864
f_60244,d_23262
f_208153,d_14101
f_234938,d_16987
f_247009,d_17415
f_475168,d_7804
f_414232,d_27155
f_523082,d_5164
f_53408,d_3832
f_237683,d_20700
f_173484,d_8348
f_125542,d_20154
f_601637,d_12119
f_212539,d_22509
f_393820,d_11874
f_427703,d_20469
f_74601,d_20489
f_623248,d_10151
f_268370,d_12258
f_205448,d_2128
f_331176,d_3264
f_240936,d_16961
f_556104,d_6521
f_227547,d_28857
f_621995,d_27885
f_73831,d_30029
f_329702,d_15180
f_414364,d_10797
f_62955,d_2814
f_309351,d_20255
f_618891,d_20288
f_324517,d_885
f_310464,d_7343
f_354279,d_7541
f_5470,d_24801
f_205088,d_28307
f_513691,d_23083
f_343786,d_20075
f_433244,d_25541
f_169984,d_11708
f_26348,d_1692
f_454271,d_9002
f_137029,d_28456
f_570479,d_25361
f_339590,d_4915
f_441595,d_16588
f_262113,d_5277
f_63962,d_25960
f_575083,d_10834
f_570394,d_9456
f_254854,d_10536
f_148268,d_14779
f_344921,d_22711
f_66176,d_7344
f_630380,d_31142
f_155377,d_25216
f_580730,d_21339
f_628772,d_21578
f_137551,d_11107
f_347838,d_29115
f_154916,d_15470
f_110226,d_22802
f_523105,d_13198
f_485706,d_27838
f_301016,d_19961
f_145434,d_99
f_200250,d_19586
f_319217,d_30083
f_54034,d_11452
f_254978,d_25829
f_622642,d_23904
f_398222,d_28277
f_234083,d_26516
f_241031,d_29055
f_628525,d_28811
f_458794,d_12029
f_588401,d_12934
f_632247,d_30107
f_97691,d_5962
f_401220,d_27800
f_242542,d_23861
f_62784,d_11596
f_566121,d_15178
f_284413,d_27301
f_550668,d_12759
f_350572,d_10220
f_303471,d_22656
f_567899,d_2593
f_441829,d_18429
f_88179,d_1780
f_317508,d_7120
f_545902,d_2748
f_101200,d_22385
f_375625,d_11105
f_384956,d_25444
f_30515,d_14724
f_627670,d_24970
f_547916,d_12443
f_381328,d_1936
f_573123,d_13256
f_486241,d_3749
f_445820,d_4485
f_25930,d_22723
f_73208,d_6097
f_622845,d_31190
f_306681,d_7958
f_545969,d_4313
f_37911,d_13972
f_628042,d_9702
f_51074,d_6378
f_235701,d_21649
f_364002,d_31346
f_441140,d_10807
f_311200,d_13138
f_606677,d_18334
f_320602,d_24317
f_4394,d_11310
f_438723,d_21730
f_600731,d_9374
f_250694,d_31343
f_392026,d_17909
f_373574,d_1006
f_493596,d_24908
f_31041,d_22245
f_353452,d_25747
f_69370,d_19474
f_402136,d_25123
f_145818,d_9342
f_481325,d_24960
f_424188,d_12075
f_607241,d_13531
f_387294,d_24132
f_501509,d_16069
f_85268,d_16005
f_8585,d_28463
f_71779,d_20157
f_592491,d_15839
f_131807,d_12515
f_303512,d_7661
f_463812,d_25999
f_148081,d_22117
f_505979,d_27922
f_489092,d_6468
f_18759,d_11773
f_163251,d_26923
f_577550,d_1486
f_584233,d_2878
f_151982,d_8243
f_150928,d_14655
f_386347,d_30806
f_362266,d_16511
f_246087,d_18862
f_642909,d_4494
f_279789,d_21225
f_279568,d_26944
f_289444,d_2765
f_385430,d_21241
f_587421,d_29292
f_626063,d_19769
f_509691,d_11303
f_578176,d_21118
f_596903,d_20077
f_268271,d_26481
f_52582,d_10752
f_632053,d_17487
f_471113,d_23646
f_642818,d_4412
f_384772,d_29968
f_469396,d_24114
f_630339,d_8625
f_282608,d_6769
f_167056,d_24133
f_360476,d_8289
f_169743,d_23378
f_491950,d_10057
f_397362,d_22712
f_540065,d_5454
f_427872,d_17872
f_171984,d_12957
f_51453,d_29224
f_469752,d_25423
f_46432,d_27576
f_152054,d_1092
f_99304,d_10931
f_156220,d_27040
f_401147,d_29644
f_323274,d_3876
f_504029,d_14820
f_451564,d_30517
f_148072,d_3865
f_424103,d_25229
f_138194,d_4558
f_253734,d_378
f_435179,d_8900
f_313184,d_7245
f_570049,d_5620
f_237173,d_19836
f_398801,d_28253
f_53801,d_29778
f_315659,d_28737
f_555916,d_22354
f_354316,d_23045
f_238663,d_21134
f_489352,d_21745
f_634996,d_31108
f_92427,d_5482
f_200425,d_6193
f_504878,d_6326
f_467996,d_15911
f_254121,d_25899
f_399005,d_23566
f_410522,d_27246
f_285329,d_17440
f_495423,d_4502
f_499235,d_26585
f_95826,d_18916
f_508579,d_29096
f_505246,d_21105
f_480062,d_22935
f_85711,d_17230
f_305052,d_28533
f_112676,d_19633
f_231937,d_22000
f_307861,d_25951
f_316253,d_6719
f_407892,d_14392
f_495482,d_29463
f_587438,d_16615
f_24947,d_20569
f_271008,d_8575
f_453835,d_15063
f_346168,d_6675
f_223604,d_17762
f_377091,d_22160
f_293188,d_11456
f_261039,d_8908
f_636674,d_743
f_161443,d_13811
f_506270,d_13279
f_16116,d_17681
f_163033,d_30906
f_60920,d_28116
f_206637,d_28797
f_75740,d_5220
f_533956,d_25251
f_417043,d_24127
f_394898,d_16781
f_513633,d_24157
f_168478,d_13120
f_256767,d_8247
f_164379,d_17641
f_114274,d_31243
f_338999,d_24174
f_494717,d_14471
f_240385,d_3415
f_98544,d_7603
f_423729,d_13020
f_461344,d_20243
f_440893,d_2867
f_554662,d_21891
f_399009,d_19454
f_181562,d_21920
f_308975,d_21258
f_22784,d_24677
f_514517,d_14728
f_131173,d_21032
f_74750,d_23542
f_313680,d_22340
f_75170,d_25810
f_600732,d_946
f_208170,d_28998
f_61334,d_14
f_34717,d_1484
f_465482,d_26796
f_9946,d_12551
f_69799,d_24460
f_259663,d_8013
f_644713,d_16180
f_108904,d_13575
f_428525,d_2103
f_451180,d_12297
f_224026,d_23609
f_565397,d_20899
f_385180,d_6738
f_431194,d_3021
f_425000,d_10579
f_490978,d_17765
f_180821,d_22343
f_158652,d_10086
f_285681,d_10851
f_20695,d_12363
f_454519,d_653
f_2293,d_31045
f_268643,d_1938
f_119421,d_1225
f_491689,d_20245
f_619059,d_11788
f_533924,d_31246
f_230357,d_31306
f_296561,d_19127
f_86193,d_14832
f_212360,d_19141
f_147122,d_3183
f_1021,d_21853
f_327971,d_13331
f_201063,d_12956
f_83070,d_28239
f_261071,d_27720
f_229891,d_24748
f_551507,d_16189
f_45432,d_24155
f_547065,d_926
f_529676,d_29663
f_581277,d_22830
f_427016,d_4528
f_209920,d_8835
f_527582,d_17598
f_2675,d_11533
f_181389,d_1634
f_299821,d_30160
f_91362,d_30970
f_420215,d_20398
f_530429,d_10906
f_267685,d_23324
f_78488,d_29789
f_226850,d_22144
f_254941,d_8020
f_308228,d_2253
f_268645,d_4955
f_24982,d_24072
f_356438,d_31066
f_351887,d_12709
f_340823,d_4619
f_542773,d_19562
f_49335,d_1030
f_187120,d_3240
f_499928,d_4461
f_209294,d_14743
f_340590,d_24328
f_233929,d_17357
f_417391,d_28273
f_70571,d_22628
f_189911,d_29955
f_317932,d_3732
f_125383,d_30705
f_143057,d_11081
f_537301,d_195
f_201200,d_4640
f_400880,d_29476
f_78729,d_29498
f_180178,d_1486
f_236644,d_2792
f_394740,d_17717
f_500790,d_2416
f_414134,d_18638
f_549159,d_7851
f_259493,d_30620
f_455741,d_27605
f_225941,d_5271
f_508490,d_27878
f_143756,d_2276
f_334434,d_30288
f_481402,d_8831
f_512657,d_15228
f_235561,d_12706
f_49705,d_477
f_29228,d_24760
f_123129,d_30525
f_63050,d_28210
f_341941,d_20710
f_266533,d_6039
f_534494,d_14456
f_21503,d_3406
f_145633,d_30732
f_487096,d_19239
f_94279,d_12410
f_260140,d_22907
f_236996,d_1811
f_216367,d_22527
