b_921,c_11167
b_1278,c_28123
b_838,c_26272
b_953,c_30559
b_141,c_27468
b_1032,c_21706
b_607,c_273
b_754,c_1925
b_1401,c_7985
b_152,c_8232
b_452,c_4289
b_1435,c_6007
b_412,c_1869
b_1499,c_27621
b_93,c_29429
b_1198,c_22340
b_1342,c_11934
b_869,c_1179
b_1168,c_3833
b_220,c_20991
b_115,c_7461
b_207,c_14959
b_886,c_9395
b_440,c_14160
b_221,c_9824
b_1298,c_14004
b_65,c_20589
b_476,c_12662
b_1346,c_15235
b_1030,c_27409
b_1058,c_27130
b_878,c_16696
b_601,c_3863
b_1540,c_24059
b_281,c_2264
b_489,c_3316
b_809,c_8329
b_210,c_29764
b_1241,c_22830
b_318,c_10624
b_730,c_27523
b_1179,c_17566
b_1013,c_3089
b_117,c_2082
b_760,c_18878
b_1192,c_17245
b_242,c_15024
b_753,c_9442
b_1340,c_20044
b_1371,c_12620
b_891,c_6720
b_1054,c_1521
b_1134,c_14356
b_864,c_1012
b_1053,c_5506
b_1265,c_11881
b_351,c_27565
b_783,c_27679
b_1143,c_28631
b_1524,c_10613
b_398,c_15729
b_1053,c_30332
b_471,c_18415
b_284,c_10860
b_1546,c_28875
b_1156,c_8336
b_1032,c_3601
b_1151,c_18954
b_1420,c_27831
b_1426,c_30871
b_1453,c_29897
b_510,c_8198
b_289,c_19907
b_1445,c_15930
b_930,c_20939
b_86,c_13546
b_458,c_26111
b_1134,c_14482
b_1517,c_7418
b_274,c_18452
b_41,c_8686
b_1178,c_9296
b_172,c_18121
b_348,c_22242
b_1137,c_25467
b_328,c_16785
b_1524,c_14840
b_1327,c_3322
b_957,c_3537
b_304,c_24996
b_723,c_11696
b_569,c_8362
b_1049,c_14091
b_814,c_30985
b_1461,c_8441
b_849,c_17424
b_950,c_8303
b_908,c_15883
b_467,c_24439
b_16,c_11016
b_1058,c_27500
b_297,c_3896
b_858,c_19810
b_1070,c_14882
b_686,c_14821
b_241,c_21305
b_1238,c_27930
b_686,c_6400
b_1041,c_14713
b_395,c_25547
b_236,c_27147
b_116,c_29362
b_149,c_19327
b_1314,c_7237
b_1021,c_22386
b_663,c_25807
b_511,c_20392
b_522,c_24114
b_1412,c_15266
b_610,c_7525
b_190,c_737
b_1453,c_27853
b_85,c_27543
b_986,c_7628
b_235,c_10387
b_254,c_8930
b_812,c_25189
b_1295,c_19523
b_1109,c_11035
b_592,c_19812
b_760,c_19792
b_1089,c_13903
b_358,c_5919
b_891,c_21108
b_1556,c_12865
b_155,c_1375
b_1430,c_979
b_357,c_3144
b_58,c_24204
b_1159,c_23682
b_926,c_14514
b_568,c_26564
b_657,c_29937
b_1258,c_3286
b_943,c_25268
b_641,c_24472
b_993,c_18428
b_166,c_6108
b_598,c_24050
b_656,c_24767
b_566,c_2840
b_1180,c_7875
b_1063,c_12028
b_778,c_11645
b_581,c_3543
b_117,c_1829
b_1003,c_15615
b_1318,c_7987
b_56,c_20768
b_1051,c_9061
b_558,c_5343
b_836,c_21605
b_752,c_7233
b_1157,c_27262
b_895,c_29959
b_231,c_6973
b_448,c_22566
b_1144,c_16868
b_1089,c_10524
b_456,c_1194
b_825,c_29654
b_1479,c_17368
b_778,c_10199
b_891,c_29413
b_527,c_8150
b_909,c_17740
b_121,c_26612
b_945,c_6254
b_32,c_29687
b_459,c_24387
b_818,c_18234
b_1123,c_6746
b_658,c_16732
b_953,c_2428
b_832,c_30513
b_107,c_18039
b_822,c_27201
b_1355,c_5919
b_1530,c_9206
b_738,c_8958
b_747,c_31099
b_1272,c_18185
b_1225,c_26389
b_1424,c_24244
b_1392,c_24406
b_1526,c_14360
b_1051,c_14820
b_738,c_3877
b_1493,c_11020
b_202,c_18437
b_371,c_7914
b_342,c_18483
b_459,c_12749
b_575,c_7952
b_501,c_10089
b_655,c_28654
b_927,c_11611
b_753,c_5602
b_1393,c_11825
b_1483,c_13044
b_1375,c_17448
b_681,c_8062
b_1002,c_1284
b_312,c_14595
b_707,c_15884
b_1321,c_21298
b_183,c_30473
b_891,c_28269
b_1037,c_27595
b_258,c_1929
b_1141,c_9822
b_1018,c_26882
b_682,c_30732
b_935,c_25601
b_392,c_23603
b_517,c_24242
b_1541,c_29600
b_754,c_13831
b_1374,c_26834
b_52,c_20861
b_161,c_10897
b_9,c_9214
b_155,c_22090
b_1038,c_10427
b_578,c_8599
b_350,c_3180
b_5,c_21085
b_361,c_21950
b_1104,c_10241
b_1255,c_30485
b_245,c_14368
b_858,c_17007
b_274,c_14803
b_1063,c_4527
b_556,c_28965
b_1114,c_22783
b_871,c_12987
b_1301,c_4773
b_417,c_27196
b_631,c_78
b_1436,c_5937
b_871,c_30209
b_663,c_13145
b_578,c_11228
b_428,c_17423
b_916,c_3618
b_927,c_12619
b_537,c_20259
b_14,c_25285
b_1438,c_8752
b_831,c_11052
b_429,c_15181
b_1559,c_5046
b_776,c_19496
b_239,c_22907
b_836,c_14565
b_325,c_5835
b_754,c_18588
b_1059,c_19582
b_1411,c_4097
b_217,c_18892
b_1052,c_378
b_1495,c_4298
b_545,c_1701
b_56,c_11209
b_1116,c_8
b_1451,c_27752
b_626,c_18209
b_1382,c_8970
b_1018,c_1296
b_172,c_19796
b_419,c_1451
b_719,c_23796
b_491,c_25864
b_71,c_3846
b_735,c_12078
b_1360,c_2418
b_306,c_30993
b_504,c_26463
b_1229,c_21342
b_544,c_19098
b_447,c_10290
b_902,c_10430
b_473,c_27735
b_1428,c_15218
b_809,c_21330
b_1130,c_5779
b_531,c_4716
b_175,c_13366
b_1477,c_26929
b_682,c_23175
b_474,c_19838
b_149,c_3825
b_1350,c_2991
b_366,c_30858
b_1174,c_22704
b_313,c_3010
b_1174,c_3756
b_758,c_1126
b_1361,c_29942
b_669,c_9536
b_468,c_24752
b_415,c_31406
b_985,c_18650
b_124,c_31115
b_1299,c_9342
b_999,c_15926
b_429,c_19165
b_570,c_1468
b_240,c_6793
b_356,c_2308
b_662,c_25222
b_1084,c_25507
b_828,c_26301
b_1068,c_27414
b_257,c_652
b_1326,c_15180
b_1214,c_9704
b_759,c_20748
b_576,c_21412
b_558,c_8905
b_354,c_28058
b_970,c_24081
b_557,c_3395
b_244,c_6866
b_1424,c_21111
b_693,c_18295
b_98,c_28095
b_1238,c_7048
b_431,c_3172
b_896,c_19555
b_1225,c_1945
b_110,c_7120
b_1556,c_20420
