d_23961,e_37334
d_24130,e_41615
d_4972,e_23465
d_9459,e_28078
d_15504,e_5297
d_16304,e_45623
d_22738,e_14174
d_30969,e_25719
d_21848,e_2182
d_24190,e_17406
d_30811,e_19709
d_17305,e_45284
d_13046,e_24172
d_2081,e_7469
d_21618,e_33727
d_13688,e_19685
d_11726,e_9297
d_28283,e_7345
d_12212,e_29182
d_24151,e_28193
d_17583,e_36677
d_17069,e_39766
d_8364,e_24704
d_26468,e_1068
d_1135,e_18138
d_5728,e_15354
d_26172,e_875
d_8380,e_23022
d_17709,e_36010
d_18299,e_23177
d_4291,e_36377
d_25631,e_39358
d_846,e_44864
d_1995,e_19317
d_11601,e_25501
d_9632,e_33450
d_8028,e_10325
d_9424,e_25819
d_30217,e_9309
d_9768,e_23076
d_10495,e_40698
d_26164,e_21903
d_21278,e_28423
d_17381,e_60
d_468,e_35426
d_27496,e_34617
d_3851,e_38518
d_6335,e_41101
d_15798,e_7102
d_19313,e_15403
d_16552,e_33894
d_20239,e_13239
d_18928,e_41829
d_3750,e_16057
d_23043,e_10595
d_24863,e_4513
d_236,e_27570
d_10776,e_40984
d_14710,e_23839
d_10631,e_30626
d_25531,e_38973
d_26435,e_28381
d_18992,e_36178
d_8839,e_7752
d_29587,e_44568
d_12068,e_28565
d_21592,e_43539
d_29294,e_36095
d_1491,e_16180
d_14526,e_4186
d_19952,e_9863
d_11129,e_9601
d_19777,e_10353
d_26182,e_26610
d_29319,e_39189
d_17597,e_41166
d_2494,e_3154
d_2314,e_24232
d_14635,e_30005
d_28432,e_10860
d_303,e_1346
d_5842,e_29036
d_99,e_14506
d_20601,e_14202
d_20265,e_33014
d_8349,e_5547
d_4023,e_18974
d_26583,e_36156
d_11449,e_43036
d_20285,e_23337
d_19730,e_8531
d_15198,e_16880
d_8673,e_29037
d_30719,e_20729
d_726,e_2007
d_6647,e_42584
d_21763,e_15385
d_27588,e_5161
d_29922,e_26953
d_2595,e_32674
d_4737,e_14067
d_11696,e_36234
d_7771,e_33520
d_19658,e_27390
d_9968,e_29529
d_8274,e_27133
d_4301,e_7229
d_427,e_15092
d_31221,e_36516
d_14884,e_37088
d_30080,e_28162
d_9933,e_26396
d_19364,e_27579
d_5792,e_34443
d_14106,e_9335
d_2391,e_38280
d_29937,e_36354
d_1539,e_36666
d_2578,e_30192
d_27466,e_35785
d_14808,e_12357
d_31154,e_44562
d_22975,e_7383
d_10241,e_11279
d_14111,e_18816
d_4636,e_8607
d_16640,e_22827
d_6401,e_14426
d_15574,e_37880
d_2234,e_22531
d_29460,e_26867
d_16532,e_30255
d_18333,e_41934
d_1094,e_24511
d_27032,e_14082
d_4476,e_18929
d_15357,e_4323
d_11746,e_36112
d_5910,e_11279
d_21729,e_16473
d_9502,e_19382
d_16245,e_8765
d_15538,e_44034
d_2531,e_25275
d_28114,e_14331
d_13124,e_24747
d_22745,e_43444
d_539,e_16388
d_19064,e_32525
d_11855,e_8828
d_3498,e_33313
d_25633,e_25785
d_30428,e_23432
d_9355,e_2390
d_21821,e_4593
d_21221,e_12553
d_12051,e_21391
d_7354,e_32677
d_21256,e_19458
d_25680,e_38030
d_750,e_45866
d_19037,e_39802
