c_28827,d_2911
c_8125,d_5803
c_11248,d_23017
c_23721,d_5219
c_17173,d_3662
c_17255,d_29292
c_11411,d_9244
c_9110,d_29262
c_27341,d_29434
c_2821,d_13174
c_26503,d_15772
c_20191,d_31187
c_29110,d_9130
c_24573,d_13299
c_15983,d_29172
c_13826,d_4716
c_1631,d_10545
c_22063,d_10993
c_3244,d_742
c_13531,d_23954
c_14370,d_22662
c_20176,d_2839
c_23890,d_16566
c_26917,d_2523
c_29714,d_11756
c_16720,d_17272
c_8313,d_2106
c_4866,d_15185
c_21492,d_1953
c_13585,d_1183
c_11785,d_1007
c_23686,d_21816
c_11656,d_28602
c_10673,d_16285
c_4433,d_23297
c_6707,d_2962
c_14335,d_30666
c_24007,d_1776
c_2158,d_5346
c_21407,d_4343
c_13458,d_1941
c_28908,d_20446
c_23844,d_23271
c_17904,d_3848
c_7390,d_171
c_7760,d_25009
c_19191,d_17043
c_2031,d_20970
c_10658,d_22886
c_23670,d_5612
c_18984,d_10481
c_24976,d_3396
c_18523,d_20118
c_18531,d_24718
c_4275,d_824
c_12195,d_25245
c_28203,d_19736
c_19915,d_27265
c_19256,d_25401
c_3669,d_962
c_11050,d_4243
c_19991,d_9441
c_29759,d_27764
c_1766,d_269
c_2482,d_12462
c_19154,d_13582
c_17921,d_10121
c_967,d_21318
c_21737,d_30686
c_8387,d_25676
c_217,d_15578
c_23601,d_24236
c_8943,d_25874
c_1487,d_668
c_2754,d_2893
c_3719,d_6187
c_15584,d_14387
c_8647,d_5122
c_14250,d_25537
c_4515,d_17895
c_20027,d_11325
c_9710,d_25651
c_8301,d_30628
c_13070,d_1289
c_18170,d_28448
c_6488,d_18739
c_23986,d_6656
c_4382,d_5535
c_3850,d_12810
c_8763,d_13827
c_3390,d_18755
c_20333,d_11439
c_20026,d_13078
c_14763,d_21868
c_12212,d_3288
c_7347,d_18608
c_20493,d_24016
c_7909,d_26134
c_2739,d_19205
c_23705,d_18649
c_22032,d_8223
c_8262,d_10383
c_918,d_7548
c_4681,d_6892
c_23525,d_30287
c_1907,d_31285
c_13698,d_30669
c_3025,d_1322
c_26265,d_5278
c_19253,d_7544
c_1976,d_27070
c_17974,d_18771
c_5829,d_25410
c_17677,d_6245
c_22709,d_9396
c_21235,d_2822
c_30961,d_25536
c_20581,d_21983
c_14937,d_7890
c_13732,d_18407
c_28882,d_12761
c_222,d_5777
c_1708,d_23930
c_19577,d_19746
c_4625,d_18044
c_7523,d_13587
c_18268,d_31273
c_11893,d_8826
c_14990,d_15864
c_30735,d_29253
c_7358,d_29110
c_16022,d_17335
c_17910,d_22800
c_4183,d_6012
c_14309,d_17122
c_11297,d_25428
c_26638,d_12339
c_25959,d_10092
c_14979,d_19787
c_2924,d_29085
c_22145,d_14382
c_20119,d_20815
c_22819,d_17382
c_31178,d_15893
c_26812,d_6906
c_3715,d_7781
c_11792,d_4460
c_11369,d_6272
c_23589,d_18505
c_11835,d_23970
c_8662,d_8482
c_4440,d_19037
c_10964,d_30167
c_28521,d_13186
c_17439,d_31033
c_30432,d_10071
c_28385,d_27043
c_12160,d_25460
c_4028,d_11468
c_11725,d_14522
c_8083,d_27663
c_424,d_8473
c_14028,d_26650
c_3301,d_11330
c_6391,d_21513
c_29164,d_15789
c_20365,d_28732
c_9240,d_27867
c_14006,d_31339
c_28475,d_2204
c_21762,d_22778
c_580,d_26868
c_24098,d_17838
c_8133,d_11947
c_9113,d_8783
c_10186,d_4699
c_1096,d_13736
c_16861,d_5489
c_5960,d_27087
c_5183,d_20408
c_98,d_11377
c_21963,d_8761
c_28586,d_5345
c_4003,d_27535
c_28462,d_29035
c_18952,d_25437
c_30989,d_10425
c_6467,d_8166
c_26545,d_27416
c_15814,d_2272
c_13462,d_8773
c_10370,d_29112
c_16026,d_14924
c_18316,d_4636
