a_6198,b_587
a_3649,b_1088
a_9383,b_1154
a_3261,b_846
a_11104,b_833
a_8711,b_1085
a_4123,b_833
a_8706,b_1192
a_11681,b_81
a_234,b_357
a_3265,b_319
a_1707,b_192
a_4981,b_838
a_6592,b_250
a_4775,b_773
a_1350,b_994
a_5059,b_1230
a_8559,b_1067
a_4951,b_212
a_964,b_962
a_4733,b_1523
a_8118,b_551
a_10577,b_1374
a_7977,b_1061
a_12143,b_204
a_6767,b_1131
a_2285,b_68
a_1993,b_980
a_6041,b_0
a_2969,b_1385
a_90,b_1293
a_11811,b_860
a_11959,b_408
a_4466,b_261
a_7202,b_1086
a_4786,b_29
a_11146,b_633
a_5427,b_79
a_711,b_1542
a_5303,b_100
a_9580,b_657
a_5563,b_782
a_3442,b_1398
a_9988,b_1214
a_348,b_678
a_7789,b_130
a_8296,b_78
a_2049,b_1229
a_9588,b_1240
a_5084,b_754
a_10964,b_976
a_4246,b_1226
a_7635,b_1558
a_602,b_1038
a_12027,b_147
a_8075,b_717
a_6946,b_130
a_6030,b_479
a_4865,b_1273
a_1248,b_1263
a_3648,b_1543
a_9731,b_474
a_5534,b_1233
a_5629,b_756
a_3305,b_376
a_8310,b_418
a_5760,b_1407
a_8197,b_774
a_1788,b_576
a_9957,b_1195
a_6916,b_1472
a_6080,b_807
a_12171,b_1260
a_7061,b_1064
a_1619,b_163
a_2958,b_1428
a_2149,b_1305
a_8075,b_860
a_7773,b_1330
a_11057,b_771
a_9613,b_472
a_2564,b_209
a_2009,b_604
a_1850,b_1434
a_1377,b_1354
a_140,b_1067
a_1586,b_630
a_6567,b_949
a_2524,b_452
a_5699,b_69
a_10022,b_1140
a_1892,b_1031
a_3227,b_611
a_5676,b_1244
a_6717,b_1130
a_2151,b_1470
a_3676,b_814
a_6116,b_592
a_2635,b_968
a_2942,b_1463
a_10829,b_106
a_8292,b_270
a_2615,b_1541
a_10217,b_1174
a_10436,b_1075
a_1156,b_759
a_12045,b_1210
a_5838,b_494
a_7156,b_703
a_11505,b_1025
a_473,b_817
a_250,b_30
a_4722,b_1178
a_4932,b_896
a_2941,b_1113
a_3809,b_296
a_2919,b_259
a_6771,b_264
a_6778,b_767
a_12126,b_286
a_1658,b_1507
a_2799,b_1427
a_8405,b_628
a_7354,b_241
a_970,b_889
a_5707,b_995
a_5720,b_626
a_6281,b_1134
a_2516,b_712
a_1001,b_953
a_1228,b_161
a_6117,b_175
a_3655,b_166
a_8833,b_1364
a_5224,b_452
a_5936,b_199
a_867,b_259
a_10052,b_946
a_4678,b_212
a_11532,b_828
a_4588,b_1230
a_9901,b_261
a_3820,b_1090
a_9636,b_780
a_8878,b_438
a_7979,b_696
a_8318,b_1255
a_11299,b_1528
a_3359,b_876
a_3835,b_1424
a_9791,b_1222
a_5738,b_642
a_2482,b_648
a_10759,b_1043
a_8812,b_232
a_7362,b_947
a_10456,b_96
a_8753,b_159
a_5934,b_1518
a_7115,b_474
a_5663,b_1474
a_7891,b_712
a_2414,b_746
a_7695,b_409
a_10462,b_476
a_11099,b_1154
a_7848,b_1483
a_8779,b_809
a_5900,b_530
a_3025,b_1312
a_412,b_811
a_9982,b_928
a_890,b_1262
a_2869,b_1508
a_11829,b_728
a_8080,b_1364
a_3683,b_1292
a_3197,b_101
a_7191,b_849
a_9302,b_825
a_3173,b_1179
a_10180,b_589
a_4861,b_708
a_9743,b_814
a_4579,b_1319
a_11651,b_497
a_1798,b_478
a_8551,b_1414
a_626,b_606
a_12069,b_1240
a_481,b_126
a_8562,b_504
a_5406,b_1346
a_5574,b_19
a_6560,b_481
a_6770,b_1212
a_8269,b_1510
a_2569,b_772
a_2780,b_797
a_3580,b_1363
a_10104,b_1071
a_6698,b_905
a_2225,b_629
a_4283,b_1053
a_1190,b_428
a_10784,b_1465
a_7960,b_534
a_1580,b_736
a_8230,b_1146
a_11059,b_192
a_4076,b_1142
a_1052,b_836
a_2506,b_1522
a_2793,b_1498
a_5064,b_32
a_11015,b_492
a_8035,b_835
a_11748,b_160
a_8095,b_671
a_2596,b_1124
a_9671,b_1543
a_3113,b_276
a_2189,b_412
a_8521,b_1096
a_1397,b_278
a_1420,b_686
a_8778,b_383
a_7814,b_615
a_2034,b_1016
a_4555,b_34
a_8718,b_481
a_4763,b_1236
a_7756,b_1298
a_8450,b_1296
a_10848,b_358
a_2690,b_1233
a_9819,b_134
a_5534,b_1264
a_11043,b_1201
a_9888,b_283
a_6718,b_548
a_5649,b_1119
a_4928,b_1391
a_12111,b_1101
a_9969,b_1096
a_11206,b_635
a_3589,b_559
a_7157,b_15
a_171,b_1077
a_9521,b_609
a_310,b_802
a_8263,b_1145
a_7404,b_1409
a_1322,b_18
a_3213,b_956
a_12008,b_252
a_7440,b_30
a_1593,b_545
a_908,b_554
a_5349,b_1559
a_2444,b_691
a_9975,b_5
a_11595,b_1005
a_8556,b_325
a_3155,b_310
a_1014,b_1450
a_10660,b_321
a_11948,b_1325
a_934,b_53
a_9954,b_1343
a_8636,b_712
a_5928,b_1092
a_4970,b_501
a_4329,b_812
a_1565,b_509
a_11124,b_1115
a_2074,b_1229
a_3273,b_848
a_329,b_1289
a_482,b_979
a_4335,b_1130
a_6319,b_370
a_10044,b_183
a_8886,b_388
a_9665,b_824
a_3213,b_1459
a_3037,b_1523
a_132,b_767
a_4842,b_1217
a_1274,b_1035
a_6751,b_406
a_92,b_373
a_10713,b_720
a_4855,b_701
a_10704,b_1510
a_5829,b_124
a_1988,b_1017
a_567,b_321
a_8617,b_234
a_3813,b_169
a_2311,b_430
a_3101,b_515
a_2288,b_1265
a_6926,b_406
a_1759,b_623
a_1798,b_335
a_6093,b_1232
a_10719,b_621
a_7391,b_1270
a_3326,b_1235
a_1421,b_170
a_5148,b_669
a_4009,b_900
a_6197,b_1432
a_1999,b_553
a_10323,b_718
a_10551,b_578
a_7811,b_897
a_6026,b_944
a_1551,b_488
a_2361,b_1377
a_7747,b_1422
a_5598,b_1469
a_5859,b_843
a_7400,b_836
a_7102,b_408
a_798,b_271
a_11378,b_334
a_4524,b_316
a_4786,b_85
a_1558,b_382
a_5749,b_709
a_503,b_807
a_6303,b_34
a_10205,b_588
a_3102,b_904
a_9761,b_864
a_4744,b_500
a_217,b_1208
a_9079,b_155
a_9244,b_446
a_5526,b_1225
a_3931,b_1055
a_10749,b_242
a_9141,b_618
a_4221,b_1394
a_11402,b_889
a_10443,b_865
a_2764,b_319
a_10095,b_768
a_4491,b_1107
a_630,b_1391
a_1611,b_74
a_6029,b_1057
a_8511,b_602
a_25,b_158
a_1507,b_388
a_10640,b_1380
a_5535,b_506
a_2401,b_1102
a_11619,b_978
a_403,b_1372
a_1411,b_351
a_7560,b_468
a_9033,b_877
a_11080,b_1488
a_7023,b_1019
a_9901,b_724
a_10585,b_1422
a_10196,b_920
a_11643,b_338
a_10539,b_1212
a_4048,b_393
a_5330,b_273
a_1684,b_297
a_8307,b_459
a_4521,b_1236
a_9316,b_506
a_6900,b_1256
a_8457,b_1245
a_766,b_1059
a_4101,b_723
a_8242,b_600
a_472,b_583
a_2366,b_1182
a_4117,b_781
a_7984,b_301
a_171,b_685
a_4572,b_721
a_4452,b_1392
a_6123,b_871
