f_344494,d_23707
f_142429,d_18784
f_85229,d_29752
f_625392,d_19203
f_643160,d_21580
f_359247,d_7582
f_428342,d_20967
f_219196,d_14466
f_411100,d_5905
f_492201,d_30172
f_12493,d_147
f_267366,d_30411
f_6636,d_20491
f_479684,d_24681
f_416043,d_27229
f_93812,d_2840
f_303134,d_10454
f_288173,d_19447
f_412215,d_18520
f_577906,d_8129
f_169095,d_9156
f_213526,d_20405
f_641099,d_10222
f_554101,d_30535
f_253984,d_22175
f_162274,d_16039
f_109669,d_5998
f_535022,d_9952
f_598231,d_19880
f_627900,d_28393
f_385576,d_25071
f_547664,d_1678
f_143190,d_15307
f_161856,d_7950
f_629170,d_16736
f_415149,d_14871
f_331545,d_27250
f_138149,d_9434
f_324122,d_13900
f_104831,d_22356
f_643017,d_30048
f_35104,d_23497
f_633239,d_15008
f_631160,d_28125
f_508017,d_30193
f_603736,d_31027
f_249251,d_1769
f_92223,d_7491
f_374926,d_13898
f_488024,d_10514
f_580980,d_13097
f_330875,d_28735
f_205519,d_25164
f_296515,d_1022
f_116727,d_2023
f_134766,d_20285
f_382311,d_13437
f_369272,d_5758
f_164897,d_29486
f_614502,d_14935
f_61669,d_9381
f_156749,d_13941
f_534949,d_19618
f_615723,d_13980
f_635245,d_16801
f_28199,d_15051
f_62640,d_11949
f_553511,d_29591
f_287025,d_20434
f_519463,d_9473
f_618963,d_19716
f_31600,d_18277
f_565983,d_31143
f_503382,d_18584
f_584177,d_17744
f_145201,d_28627
f_626763,d_19912
f_559434,d_11737
f_631503,d_6479
f_622625,d_18928
f_136172,d_16611
f_161727,d_7997
f_217317,d_27944
f_520993,d_29139
f_393645,d_6790
f_242104,d_31139
f_139073,d_594
f_572912,d_9784
f_200931,d_21674
f_195324,d_21595
f_345903,d_24668
f_621251,d_26000
f_589682,d_25527
f_230474,d_17619
f_404853,d_2517
f_419111,d_11596
f_451067,d_29694
f_289165,d_4042
f_385042,d_11289
f_590926,d_27026
f_364946,d_20834
f_539006,d_17024
f_413076,d_1140
f_545315,d_12167
f_538867,d_18481
f_307902,d_7012
f_297288,d_18979
f_324038,d_18232
f_462525,d_14045
f_161902,d_24755
f_34167,d_22478
f_158780,d_30275
f_516076,d_23826
f_255670,d_15393
f_195504,d_6959
f_508787,d_24005
f_494183,d_12752
f_209570,d_12402
f_22758,d_11363
f_394818,d_18179
f_364967,d_29486
f_246291,d_22994
f_335253,d_18702
f_5537,d_27880
f_134642,d_18585
f_498593,d_7590
f_271723,d_23931
f_284039,d_26948
f_372887,d_21524
f_507289,d_13225
f_570796,d_9428
f_536131,d_20976
f_231611,d_13703
f_197596,d_30488
f_340814,d_16884
f_330124,d_26927
f_313810,d_21891
f_86590,d_18310
f_520195,d_9144
