b_1104,c_9235
b_1036,c_9673
b_1079,c_2620
b_7,c_29449
b_482,c_2932
b_496,c_26192
b_569,c_1662
b_619,c_24758
b_324,c_17509
b_1382,c_4775
b_217,c_10144
b_636,c_21512
b_1283,c_29865
b_815,c_16498
b_1280,c_4560
b_290,c_26706
b_339,c_5372
b_261,c_24225
b_1126,c_13094
b_521,c_11120
b_1514,c_1671
b_1468,c_27177
b_624,c_12295
b_1349,c_2189
b_848,c_7362
b_235,c_23447
b_957,c_16453
b_490,c_3720
b_626,c_3718
b_377,c_20027
b_1209,c_6282
b_1453,c_22178
b_334,c_17891
b_702,c_191
b_983,c_16174
b_1468,c_20337
b_54,c_5675
b_723,c_13841
b_241,c_20480
b_391,c_25909
b_1539,c_11234
b_1345,c_21592
b_948,c_25174
b_333,c_17242
b_202,c_1333
b_336,c_7798
b_759,c_9427
b_465,c_18436
b_387,c_27539
b_983,c_10725
b_290,c_13637
b_734,c_31290
b_731,c_23495
b_69,c_20816
b_152,c_6568
b_123,c_24852
b_493,c_17211
b_381,c_22025
b_399,c_30470
b_327,c_29350
b_1088,c_9236
b_377,c_12399
b_1535,c_18759
b_138,c_28022
b_1295,c_7776
b_1354,c_25861
b_1296,c_987
b_693,c_9551
b_369,c_27944
b_1018,c_4165
b_114,c_14137
b_953,c_19319
b_1254,c_19165
b_169,c_125
b_142,c_20708
b_1445,c_16333
b_1439,c_30392
b_340,c_15823
b_1492,c_27178
b_1142,c_18705
b_491,c_1152
b_1016,c_23277
b_1209,c_30449
b_1279,c_17370
b_113,c_20206
b_1116,c_15257
b_1098,c_6892
b_1334,c_16644
b_990,c_17487
b_1236,c_4965
b_1451,c_15046
b_1048,c_13881
b_1450,c_25043
b_1468,c_5941
b_691,c_14511
b_453,c_10506
b_795,c_8525
b_203,c_28435
b_92,c_14585
b_285,c_29851
b_1071,c_30408
b_1308,c_12378
b_1000,c_10100
b_1069,c_10883
b_540,c_17769
b_412,c_1690
b_732,c_731
b_740,c_22519
b_1027,c_2928
b_654,c_13757
b_860,c_2648
b_612,c_25112
b_678,c_13475
b_671,c_19167
b_810,c_22282
b_380,c_5096
b_167,c_26960
b_915,c_11141
b_1082,c_22226
b_1129,c_15633
b_815,c_18110
b_1162,c_5734
b_823,c_12549
b_686,c_26923
b_625,c_15510
b_767,c_1976
b_1549,c_14241
b_1294,c_19699
b_810,c_10986
b_290,c_16646
b_1125,c_7608
b_893,c_10805
b_1022,c_18116
b_383,c_8552
b_1156,c_24391
b_312,c_9652
b_1271,c_6694
b_817,c_13198
b_408,c_3584
b_714,c_22204
b_129,c_25326
b_245,c_27518
b_282,c_30539
b_379,c_29989
b_493,c_22286
b_652,c_27267
b_242,c_9011
b_579,c_6970
b_453,c_27999
b_273,c_17510
b_844,c_16761
b_1449,c_6628
b_1191,c_18518
b_977,c_29604
b_1267,c_1385
b_229,c_15917
b_840,c_21858
b_478,c_16898
b_1063,c_10990
b_1352,c_15631
b_1031,c_14342
b_709,c_16509
b_520,c_8246
b_1487,c_2406
b_1101,c_5457
b_1084,c_12044
b_667,c_29968
b_122,c_20533
b_698,c_17973
b_325,c_29081
b_1120,c_12141
b_739,c_21064
b_1219,c_4741
b_901,c_14806
b_1417,c_25918
b_1520,c_29431
b_161,c_24750
b_229,c_10473
b_1006,c_27876
b_11,c_9960
b_1413,c_19094
b_1248,c_2221
b_23,c_1522
b_1218,c_3259
b_524,c_19675
b_695,c_25859
b_928,c_7446
b_537,c_16659
b_628,c_16304
b_1313,c_15122
b_1,c_27086
b_865,c_16349
b_1373,c_2162
b_1201,c_16462
b_558,c_16676
b_23,c_12302
b_1242,c_26961
b_1071,c_10664
b_1266,c_25747
b_856,c_5914
b_1302,c_23077
b_1042,c_28615
b_248,c_14641
b_615,c_5809
b_292,c_19134
b_801,c_22300
b_1274,c_31343
b_1232,c_16285
b_1242,c_26725
b_1407,c_23878
b_874,c_12440
b_255,c_30045
b_1396,c_27217
b_219,c_17657
b_519,c_14392
b_471,c_16279
b_626,c_28236
b_1133,c_5421
b_332,c_16934
b_781,c_1200
b_996,c_22092
b_269,c_17658
b_1265,c_22486
b_444,c_8405
b_211,c_10282
b_1072,c_23171
b_1124,c_19523
b_1259,c_27233
b_252,c_916
b_308,c_28412
b_1320,c_3387
b_1138,c_327
b_1239,c_20991
b_638,c_18115
b_931,c_14604
b_714,c_24384
b_1358,c_6980
b_915,c_28346
b_1382,c_9527
b_818,c_6801
b_1148,c_30295
b_1070,c_12123
b_428,c_8275
b_1333,c_10995
b_1477,c_17607
b_275,c_13306
b_932,c_20479
b_1155,c_18691
b_828,c_5962
b_537,c_3175
b_1154,c_25841
b_324,c_2644
b_517,c_19892
b_763,c_2465
b_671,c_27958
b_651,c_30820
b_1038,c_9267
b_208,c_11294
b_1551,c_28942
b_1358,c_24445
b_1254,c_20023
b_1382,c_93
b_1536,c_30588
b_1371,c_28690
b_1064,c_14764
b_275,c_14771
b_166,c_2175
b_638,c_3769
b_391,c_3852
b_761,c_14733
b_572,c_1899
b_12,c_12295
b_1553,c_5803
b_1148,c_21931
b_689,c_19600
b_487,c_16725
b_143,c_29882
b_750,c_10356
b_1215,c_3345
b_142,c_27734
b_327,c_17214
b_526,c_31353
b_1056,c_5962
b_293,c_12376
b_1178,c_26541
b_369,c_21164
b_549,c_26664
b_1491,c_30826
b_835,c_21332
b_1027,c_5076
b_102,c_12347
b_629,c_25562
b_733,c_25814
b_814,c_8000
b_1147,c_2406
b_381,c_7852
b_948,c_17857
b_102,c_19032
b_726,c_1008
b_1119,c_16333
b_256,c_21689
b_1092,c_28699
b_1145,c_29312
b_951,c_5805
b_778,c_18614
b_1493,c_30614
b_462,c_12670
b_1405,c_7310
b_767,c_8446
b_589,c_9946
b_177,c_27011
b_1384,c_28975
b_1478,c_14990
b_591,c_12561
b_1079,c_17894
b_278,c_25273
b_104,c_23325
b_22,c_15144
b_1369,c_6759
b_1242,c_19544
b_314,c_16300
b_413,c_28595
b_582,c_28768
b_1404,c_7243
b_425,c_10197
b_887,c_26221
b_1423,c_7926
b_624,c_5128
b_1252,c_22842
b_200,c_30932
b_1089,c_13005
b_1295,c_16922
b_713,c_2594
b_444,c_27071
b_1460,c_19824
b_183,c_29978
b_229,c_18443
b_805,c_14996
b_481,c_28056
b_524,c_12444
b_29,c_14796
b_1386,c_29361
b_382,c_1623
b_1130,c_8396
b_41,c_24826
b_1109,c_29542
b_679,c_24203
b_1474,c_26278
b_188,c_13206
b_801,c_8417
b_500,c_19415
b_1177,c_5918
b_1378,c_28313
b_1207,c_28483
b_635,c_11932
b_700,c_15426
b_302,c_22232
b_130,c_18614
b_409,c_22511
b_895,c_10869
b_174,c_19089
b_713,c_5921
b_287,c_3229
b_1250,c_7010
b_425,c_9002
b_639,c_5426
b_1463,c_27262
b_551,c_18305
b_1347,c_16932
b_446,c_17767
b_335,c_18064
b_620,c_572
b_825,c_31058
b_904,c_18161
b_488,c_18169
b_1003,c_15275
b_941,c_899
b_987,c_7157
b_652,c_1477
b_951,c_3813
b_309,c_25978
b_1460,c_18869
b_1459,c_20046
b_1539,c_24167
b_1181,c_6022
b_173,c_20812
b_375,c_21390
b_17,c_5226
b_883,c_8956
b_287,c_13955
b_382,c_12443
b_260,c_29695
b_1155,c_12004
b_1444,c_29122
b_163,c_31201
b_934,c_5139
b_550,c_18249
b_1538,c_7279
b_406,c_2018
b_916,c_4756
b_521,c_6805
b_750,c_5647
b_474,c_7820
b_301,c_28662
b_1421,c_21635
b_1136,c_18427
b_643,c_22041
b_231,c_11187
b_1231,c_26888
b_1550,c_9442
b_247,c_25086
b_1306,c_13935
b_507,c_19147
b_18,c_20161
b_1010,c_25068
b_1073,c_25857
b_1222,c_3887
b_836,c_12683
b_1282,c_4060
b_1477,c_10898
b_299,c_8378
b_1327,c_8825
b_1410,c_21609
b_1429,c_11968
b_17,c_25986
b_1040,c_10312
b_690,c_11792
b_364,c_20813
b_1252,c_8296
b_1333,c_26726
b_463,c_30996
b_998,c_13218
b_432,c_29749
b_36,c_8129
b_346,c_10600
b_1158,c_21497
b_282,c_8391
b_911,c_27568
b_1443,c_25324
b_127,c_1498
b_1300,c_27398
b_681,c_12425
b_911,c_26971
b_89,c_7467
b_1122,c_30582
b_82,c_15642
b_905,c_25257
b_1293,c_21215
b_640,c_7617
b_851,c_17772
b_937,c_16265
b_1328,c_683
b_1153,c_26964
b_1222,c_17394
b_1139,c_11409
b_531,c_5868
b_1253,c_8025
