a_231,b_356
a_9550,b_351
a_5253,b_1258
a_5362,b_560
a_12106,b_13
a_5402,b_560
a_4757,b_1457
a_10214,b_1113
a_10699,b_1119
a_6554,b_262
a_4570,b_1083
a_11212,b_1343
a_7320,b_577
a_1400,b_1115
a_2961,b_745
a_5156,b_417
a_7977,b_1038
a_2031,b_1366
a_12064,b_1144
a_5971,b_347
a_4662,b_215
a_5597,b_309
a_9461,b_30
a_1163,b_146
a_2607,b_121
a_6623,b_33
a_8166,b_1498
a_11211,b_199
a_2231,b_514
a_10726,b_1243
a_7355,b_1548
a_8617,b_1368
a_6446,b_16
a_7235,b_512
a_9039,b_1211
a_10677,b_699
a_1874,b_318
a_9867,b_397
a_8641,b_889
a_6514,b_221
a_2650,b_1010
a_935,b_861
a_10559,b_300
a_9166,b_655
a_6572,b_1163
a_11688,b_1373
a_319,b_456
a_3093,b_967
a_1458,b_907
a_3281,b_1463
a_9775,b_1138
a_11478,b_725
a_5972,b_675
a_3835,b_753
a_3283,b_869
a_9059,b_39
a_342,b_415
a_5076,b_772
a_7945,b_1401
a_7546,b_594
a_2231,b_782
a_9268,b_1421
a_262,b_379
a_2742,b_1134
a_4214,b_856
a_7103,b_358
a_7912,b_177
a_5203,b_1292
a_4966,b_1466
a_1647,b_612
a_8394,b_270
a_11818,b_172
a_7726,b_1252
a_2718,b_1432
a_2678,b_372
a_3134,b_222
a_7460,b_1165
a_11762,b_1422
a_6592,b_1123
a_11076,b_304
a_7907,b_147
a_9483,b_965
a_10117,b_2
a_9075,b_786
a_3800,b_1013
a_9238,b_731
a_6888,b_1536
a_682,b_19
a_2098,b_675
a_3175,b_236
a_2348,b_1098
a_1168,b_377
a_471,b_1052
a_1653,b_1356
a_88,b_1102
a_2118,b_84
a_10500,b_1127
a_1394,b_318
a_11245,b_720
a_1666,b_620
a_10348,b_298
a_10056,b_1026
a_5586,b_633
a_11034,b_288
a_1592,b_502
a_8307,b_292
a_2094,b_1031
a_9389,b_939
a_11847,b_423
a_11581,b_161
a_1085,b_1242
a_6591,b_671
a_3486,b_305
a_9314,b_486
a_5148,b_1023
a_1353,b_837
a_10472,b_932
a_5182,b_1552
a_9505,b_987
a_9064,b_1027
a_10848,b_0
a_8451,b_610
a_7851,b_1335
a_7705,b_1072
a_2590,b_1295
a_9263,b_1068
a_11028,b_226
a_9807,b_1196
a_2122,b_716
a_8684,b_942
a_9252,b_578
a_3157,b_448
a_5654,b_1494
a_9885,b_576
a_5685,b_998
a_10634,b_811
a_6963,b_851
a_312,b_119
a_12001,b_35
a_3192,b_1153
a_6361,b_402
a_10312,b_154
a_4566,b_219
a_5720,b_869
a_5761,b_496
a_9107,b_1006
a_330,b_178
a_4003,b_1320
a_5274,b_1409
a_9042,b_795
a_3136,b_797
a_631,b_1444
a_1634,b_706
a_8149,b_887
a_10286,b_344
a_10012,b_400
a_8154,b_337
a_2352,b_872
a_6414,b_219
a_1260,b_707
a_6204,b_1126
a_7501,b_191
a_8102,b_343
a_10332,b_1156
a_6302,b_501
a_3567,b_1042
a_4166,b_271
a_114,b_1038
a_6134,b_902
a_5194,b_960
a_11248,b_467
a_8225,b_713
a_11961,b_1397
a_5482,b_464
a_8560,b_292
a_12095,b_1034
a_11200,b_301
a_39,b_1512
a_6121,b_781
a_11846,b_1275
a_5664,b_679
a_8978,b_610
a_211,b_212
a_10544,b_915
a_5464,b_9
a_5722,b_1465
a_9056,b_278
a_3855,b_458
a_8477,b_1072
a_676,b_9
a_296,b_275
a_4992,b_800
a_7768,b_815
a_10071,b_1245
a_2888,b_1053
a_3744,b_1187
a_6918,b_1458
a_4550,b_324
a_4172,b_856
a_7409,b_1004
a_9448,b_1506
a_5786,b_1162
a_3676,b_475
a_7744,b_720
a_817,b_137
a_1852,b_224
a_4865,b_1152
a_10121,b_182
a_10428,b_354
a_8093,b_1363
a_11057,b_645
a_8104,b_982
a_1220,b_1212
a_1411,b_931
a_3289,b_1427
a_8327,b_967
a_5143,b_554
a_6291,b_524
a_4210,b_135
a_3401,b_1269
a_10453,b_1010
a_11539,b_1285
a_2866,b_839
a_704,b_1512
a_7408,b_1173
a_7798,b_308
a_4778,b_822
a_9201,b_211
a_7386,b_1220
a_7773,b_450
a_2631,b_306
a_12004,b_1115
a_1613,b_571
a_2937,b_669
a_6382,b_1260
a_4523,b_501
a_201,b_801
a_3190,b_511
a_6134,b_534
a_11160,b_1286
a_9998,b_114
a_11339,b_1345
a_7061,b_860
a_2218,b_77
a_6387,b_599
a_6072,b_412
a_9628,b_1153
a_4099,b_1409
a_9820,b_866
a_2199,b_1065
a_4231,b_688
a_10440,b_774
a_4558,b_1545
a_8788,b_909
a_11752,b_110
a_9814,b_611
a_391,b_1482
a_1693,b_130
a_11934,b_580
a_8687,b_1382
a_3321,b_734
a_3614,b_739
a_6990,b_1515
a_8765,b_137
a_10196,b_1164
a_2167,b_324
a_4917,b_181
a_6966,b_479
a_8735,b_53
a_8876,b_451
a_4848,b_72
a_8148,b_1397
a_6769,b_87
a_7716,b_1329
a_3951,b_228
a_4517,b_747
a_2467,b_1511
a_12156,b_336
a_11898,b_26
a_2267,b_640
a_2183,b_149
a_2797,b_408
a_875,b_1368
a_6033,b_493
a_6808,b_464
a_1773,b_536
a_3128,b_1458
a_11138,b_126
a_6183,b_811
a_8977,b_649
a_10466,b_279
a_7682,b_1328
a_2892,b_651
a_10381,b_36
a_5467,b_592
a_8490,b_1132
a_77,b_253
a_6744,b_817
a_1504,b_757
a_1983,b_334
a_6651,b_289
a_229,b_1193
a_4639,b_212
a_1670,b_1353
a_143,b_846
a_1083,b_1242
a_10968,b_416
a_3505,b_373
a_6900,b_924
a_11791,b_343
a_6235,b_918
a_11350,b_1231
a_2622,b_657
a_7626,b_432
a_5356,b_1418
a_6455,b_1559
a_5483,b_1144
a_8729,b_1423
a_9894,b_857
