a_8047,b_770
a_11632,b_228
a_4576,b_1357
a_10449,b_1209
a_3645,b_1555
a_10027,b_753
a_2306,b_1422
a_9625,b_253
a_3853,b_1226
a_4108,b_1157
a_12062,b_1134
a_7733,b_331
a_2053,b_932
a_9891,b_1119
a_2380,b_1220
a_10477,b_50
a_3505,b_974
a_8343,b_336
a_8486,b_600
a_5142,b_950
a_11121,b_411
a_11144,b_1115
a_8019,b_1535
a_4238,b_680
a_2099,b_747
a_2381,b_411
a_4772,b_630
a_3600,b_699
a_2706,b_586
a_5319,b_950
a_2476,b_762
a_10701,b_1342
a_4403,b_689
a_4771,b_1073
a_9932,b_651
a_6927,b_209
a_10030,b_489
a_5048,b_883
a_3061,b_318
a_11587,b_1061
a_11186,b_29
a_591,b_638
a_9119,b_48
a_9523,b_1420
a_2339,b_800
a_1078,b_185
a_2512,b_295
a_1929,b_1363
a_4839,b_687
a_7501,b_212
a_1074,b_1087
a_3845,b_1026
a_1142,b_364
a_10604,b_341
a_7338,b_536
a_5252,b_346
a_10201,b_1442
a_9818,b_1402
a_1201,b_1422
a_6626,b_705
a_10546,b_1548
a_241,b_867
a_423,b_1248
a_6903,b_188
a_1378,b_1281
a_3572,b_1519
a_6905,b_205
a_1731,b_1108
a_9855,b_1256
a_462,b_129
a_7970,b_1151
a_10372,b_43
a_11146,b_735
a_11160,b_581
a_8306,b_1231
a_1813,b_450
a_4492,b_923
a_8537,b_122
a_2869,b_408
a_11964,b_1196
a_11904,b_1112
a_6238,b_398
a_6911,b_471
a_10438,b_578
a_3759,b_159
a_8749,b_573
a_9137,b_557
a_3351,b_986
a_6313,b_661
a_9861,b_546
a_8706,b_87
a_3025,b_1261
a_6243,b_635
a_9834,b_1232
a_9622,b_1077
a_7749,b_1198
a_5855,b_362
a_969,b_1036
a_1160,b_646
a_6232,b_205
a_5845,b_439
a_1784,b_932
a_615,b_444
a_1464,b_795
a_9879,b_933
a_6855,b_479
a_10086,b_734
a_142,b_1445
a_2721,b_1138
a_5627,b_866
a_7716,b_1053
a_6446,b_274
a_11289,b_692
a_11554,b_1485
a_9633,b_1176
a_11754,b_620
a_5288,b_1134
a_2660,b_662
a_9375,b_66
a_6404,b_409
a_6180,b_243
a_6869,b_124
a_2134,b_1355
a_8395,b_870
a_9449,b_1008
a_11046,b_688
a_3273,b_1101
a_9719,b_1280
a_7539,b_1400
a_7637,b_1558
a_7876,b_17
a_10480,b_1281
a_6607,b_1507
a_10033,b_600
a_691,b_1226
a_4231,b_658
a_9826,b_552
a_3346,b_850
a_1469,b_424
a_10477,b_1345
a_7749,b_207
a_9600,b_410
a_735,b_674
a_8647,b_1018
a_7346,b_220
a_6413,b_311
a_3494,b_279
a_7951,b_934
a_11526,b_1004
a_3433,b_754
a_7730,b_1235
a_11467,b_1166
a_7497,b_82
