c_11171,d_10493
c_2145,d_14257
c_28020,d_10896
c_8012,d_26933
c_29533,d_11540
c_13618,d_16811
c_21324,d_6516
c_5567,d_25049
c_30647,d_11610
c_14036,d_10480
c_29827,d_28468
c_17880,d_21633
c_2415,d_30145
c_12435,d_22996
c_23432,d_1662
c_13876,d_2176
c_10997,d_22023
c_16889,d_10465
c_5096,d_6756
c_13166,d_25233
c_6866,d_12372
c_20045,d_13150
c_9034,d_2623
c_21761,d_15235
c_16578,d_21786
c_4994,d_6947
c_24212,d_11659
c_1743,d_27573
c_14929,d_17487
c_18429,d_12400
c_94,d_12366
c_5833,d_6923
c_31146,d_28670
c_6053,d_8153
c_19490,d_7118
c_19113,d_17898
c_9711,d_8083
c_3136,d_12934
c_11163,d_5092
c_9981,d_27315
c_9765,d_2977
c_30960,d_10573
c_22280,d_19659
c_28575,d_25326
c_3836,d_19947
c_13860,d_31020
c_8116,d_2668
c_26524,d_4444
c_2004,d_2882
c_19900,d_24260
c_5808,d_23914
c_5792,d_7691
c_18112,d_4108
c_30889,d_26094
c_20280,d_7962
c_25630,d_27747
c_3577,d_26566
c_14133,d_15700
c_11473,d_6982
c_25706,d_26212
c_13551,d_19515
c_10612,d_24540
c_15694,d_23581
c_17642,d_20455
c_31000,d_20929
c_6239,d_16535
c_24542,d_10321
c_20679,d_21876
c_27772,d_13006
c_30727,d_3194
c_20578,d_7789
c_9731,d_13327
c_3402,d_6207
c_13096,d_8139
c_6515,d_28368
c_13912,d_3582
c_28313,d_12838
c_8648,d_19720
c_29372,d_2431
c_28900,d_14160
c_10327,d_26843
c_18702,d_30367
c_4643,d_16919
c_1796,d_19239
c_9259,d_25212
c_4163,d_9865
c_4385,d_10410
c_28413,d_12143
c_18208,d_10871
c_29702,d_26808
c_19804,d_25423
c_12223,d_15580
c_22249,d_28103
c_4159,d_5481
c_14593,d_18419
c_2797,d_14607
c_30829,d_20348
c_13173,d_30732
c_11758,d_1279
c_28056,d_14556
c_18835,d_30392
c_28237,d_11707
c_16088,d_9445
c_950,d_10644
c_25870,d_7700
c_1972,d_26437
c_15084,d_11626
c_18390,d_23826
c_14040,d_29516
c_6468,d_17967
c_28302,d_2314
c_28254,d_543
c_3444,d_14823
c_243,d_28447
c_1508,d_25689
c_7007,d_2797
c_7871,d_6818
c_10718,d_29370
c_10364,d_7424
c_3454,d_23500
c_20716,d_14265
c_16828,d_8452
c_23631,d_26734
c_26426,d_11009
c_30746,d_28832
c_21188,d_10051
c_2293,d_29474
c_22997,d_19809
c_6187,d_14783
c_24137,d_15956
c_18383,d_8457
c_7971,d_13392
c_8646,d_5178
c_25398,d_19832
c_10586,d_15228
c_22089,d_6134
c_1009,d_7375
c_15703,d_18911
c_12706,d_5717
c_28311,d_9580
c_13924,d_6705
c_15655,d_15493
c_5372,d_4657
c_23172,d_21896
c_29642,d_10428
c_23491,d_18119
c_8101,d_18813
c_10740,d_1473
c_14630,d_900
c_13786,d_2713
c_14698,d_22784
c_26408,d_16481
c_582,d_9005
c_19894,d_3818
c_16690,d_21672
c_5251,d_1223
c_20565,d_12815
c_26330,d_27379
c_7028,d_5476
c_21431,d_21197
c_25851,d_15217
c_20121,d_7186
c_14771,d_26360
c_13493,d_26102
c_28980,d_26676
c_5723,d_363
c_5163,d_1969
c_5812,d_14331
c_24599,d_18985
c_23886,d_4369
c_21990,d_18079
c_4065,d_1436
c_6188,d_17946
c_14374,d_10359
c_8426,d_29868
c_5370,d_832
c_6688,d_15938
c_6786,d_5241
c_11993,d_16605
c_16153,d_15172
c_12441,d_16072
c_629,d_30168
c_3175,d_16352
c_16709,d_19357
c_6867,d_24731
c_11355,d_16515
c_3099,d_18950
c_10614,d_12278
c_14110,d_26241
c_28860,d_28203
c_8680,d_26404
c_27073,d_4037
c_12551,d_993
c_30217,d_30070
c_17325,d_5244
c_27507,d_4585
c_2171,d_22315
c_23622,d_7936
c_27177,d_9854
c_21593,d_27031
c_11990,d_15325
c_17765,d_26293
c_16704,d_9667
c_25779,d_786
c_13066,d_13814
c_15622,d_19761
c_11376,d_4334
c_27051,d_27974
c_30273,d_19155
c_9290,d_1911
c_3089,d_29179
c_16189,d_30674
c_8726,d_6629
c_17828,d_21680
c_28088,d_9704
c_21653,d_2065
c_8859,d_30050
c_25529,d_17676
c_14031,d_11297
c_20058,d_3704
c_21877,d_26331
c_3231,d_16604
c_16193,d_21707
c_16988,d_29328
c_27810,d_901
c_12856,d_18621
c_20277,d_20473
c_690,d_18752
c_28355,d_11927
c_17026,d_5111
c_2684,d_29179
c_5719,d_24432
c_5754,d_25395
c_3430,d_19235
c_19955,d_9394
c_2097,d_9932
c_30479,d_10805
c_24696,d_21179
c_26902,d_374
c_23532,d_11256
c_4022,d_24873
c_3474,d_23788
c_5867,d_10989
c_26947,d_3414
c_29332,d_3603
c_19496,d_1553
c_27880,d_11710
c_10948,d_6144
c_13886,d_15496
c_21824,d_19878
c_10,d_8252
c_2073,d_15453
c_31437,d_24295
c_7868,d_14190
c_968,d_7626
c_24211,d_24032
c_16578,d_8649
c_26114,d_25452
c_10067,d_29047
c_6594,d_5523
c_11343,d_16781
c_27570,d_29069
c_28735,d_21950
c_17102,d_7290
c_5061,d_6408
c_4914,d_23423
c_29432,d_8540
c_102,d_21673
c_18652,d_18335
c_12726,d_28161
c_14205,d_17204
c_9667,d_66
c_8800,d_22691
c_25030,d_3909
c_23057,d_15566
c_14157,d_4845
c_9612,d_12206
c_12626,d_947
c_539,d_6110
c_24803,d_30219
c_7905,d_2015
c_7013,d_20164
c_16985,d_26634
c_773,d_22371
c_4395,d_29658
c_31239,d_30738
c_18597,d_21020
c_25467,d_22481
c_26576,d_12611
c_26068,d_28609
c_11693,d_3823
c_16851,d_23319
c_7625,d_16617
c_7301,d_5426
c_23638,d_29314
c_15334,d_14661
c_26146,d_17645
c_19135,d_9089
c_10316,d_9825
c_27420,d_22437
c_8945,d_18128
c_7461,d_8694
c_5414,d_16695
c_18630,d_5218
c_11098,d_26381
c_24817,d_13408
c_26726,d_229
c_13355,d_15058
c_28375,d_21343
c_23138,d_9541
c_22971,d_21748
c_21887,d_6442
c_24506,d_409
c_24845,d_25792
c_12190,d_26527
c_19019,d_14531
c_24756,d_31283
c_22508,d_18100
c_6198,d_6575
c_8915,d_28433
c_31356,d_8670
c_27524,d_4576
c_15786,d_21763
c_30796,d_12663
c_20837,d_25973
c_9759,d_10507
c_30430,d_29199
c_10407,d_1495
c_3374,d_24195
c_26774,d_23596
c_23860,d_20798
c_15252,d_14198
c_17861,d_29585
c_14581,d_1949
c_13738,d_28203
c_21856,d_19763
c_9062,d_8940
c_19216,d_19994
c_15648,d_3191
c_5374,d_30799
c_7124,d_19116
c_6000,d_1954
c_11490,d_9891
c_12423,d_24131
c_16246,d_5178
c_7937,d_27614
c_30974,d_5911
c_8192,d_9803
c_8560,d_7801
c_20552,d_30331
c_21274,d_1433
c_16123,d_1411
c_11622,d_17795
c_18934,d_11770
c_4654,d_786
c_30496,d_18212
c_12042,d_16600
c_24175,d_22531
c_21421,d_11756
c_1483,d_29046
c_21970,d_30274
c_17716,d_12506
c_29761,d_13480
c_504,d_3414
c_27851,d_25596
c_22047,d_2929
c_18600,d_21245
c_17894,d_26208
c_9787,d_27962
c_22349,d_2199
c_10715,d_22413
c_29833,d_19016
c_22155,d_14169
c_16850,d_31187
c_26343,d_22173
c_28305,d_24690
c_24779,d_19304
c_16591,d_18661
c_22441,d_10618
c_1476,d_11078
c_18045,d_6976
c_29138,d_15570
c_9630,d_5346
c_12324,d_23409
c_17170,d_13527
c_4174,d_1219
c_17619,d_22766
c_31259,d_7484
c_18622,d_23047
c_20912,d_18744
c_22339,d_30586
c_1460,d_30560
c_12539,d_7159
c_31139,d_16135
c_1039,d_7883
c_17245,d_568
c_817,d_19863
c_4033,d_21967
c_12161,d_21726
c_6803,d_16058
c_4573,d_23531
c_3411,d_29104
c_1108,d_28184
c_10090,d_6412
c_30053,d_9824
c_4234,d_11727
c_15550,d_28786
c_15627,d_23197
c_3223,d_30776
c_29054,d_27704
c_15828,d_21811
c_16856,d_9411
c_29518,d_28341
c_7198,d_20493
c_1198,d_9019
c_4635,d_24517
c_11480,d_1107
c_2713,d_1341
c_30207,d_30759
c_11948,d_8199
c_24509,d_15881
c_16039,d_22614
c_29826,d_25046
c_8354,d_12793
c_7526,d_12971
c_5695,d_30560
c_27915,d_14839
c_15829,d_7242
c_20224,d_6192
c_12204,d_26051
c_26209,d_22045
c_7270,d_5097
c_23131,d_4983
c_1024,d_2329
c_20564,d_7541
c_14113,d_894
c_17396,d_29110
c_29400,d_6331
c_16504,d_31131
c_28724,d_325
c_19,d_2665
c_935,d_30666
c_17704,d_24504
c_4086,d_6426
c_4920,d_8122
c_15895,d_6426
c_2063,d_21280
c_21491,d_5784
c_2515,d_6720
c_2674,d_30677
c_25570,d_7113
c_18878,d_27849
c_18254,d_30913
c_17938,d_8992
c_8527,d_9749
c_18993,d_16139
c_22943,d_22296
c_10284,d_24563
c_13031,d_20704
c_12198,d_23129
c_23482,d_12774
c_11414,d_29560
c_27970,d_4391
c_21528,d_25115
c_31315,d_5650
c_31237,d_5958
c_7067,d_15556
c_1204,d_27537
c_17911,d_22400
c_5361,d_19735
c_29980,d_23118
c_14079,d_28826
c_24350,d_11349
c_15734,d_29317
c_24363,d_25420
c_25380,d_26093
c_16530,d_3961
c_11439,d_9480
c_4020,d_1325
c_30954,d_18549
c_13215,d_11108
c_19504,d_24155
c_16940,d_16291
c_7212,d_4045
c_20237,d_23015
c_5315,d_17239
c_1196,d_12554
c_13102,d_11272
c_4065,d_29428
c_24345,d_20305
c_8682,d_7803
c_21915,d_17693
c_30443,d_19157
c_6845,d_10789
c_26457,d_15222
c_28315,d_23891
c_28090,d_29890
c_9429,d_13136
c_5978,d_30063
c_14268,d_24872
c_228,d_17412
c_30535,d_30755
c_7618,d_22699
c_11851,d_17774
c_24744,d_14721
c_25735,d_26577
c_12480,d_6003
c_10440,d_2924
c_16872,d_25121
c_25604,d_9391
c_25062,d_9291
c_8993,d_28003
c_2018,d_674
c_11680,d_12746
c_1934,d_30884
c_2299,d_7903
c_4519,d_13305
c_520,d_23539
c_22571,d_5971
c_21334,d_31197
c_31226,d_12957
c_24472,d_10922
c_10234,d_3788
c_3172,d_26457
c_22982,d_25954
c_4061,d_9178
c_17716,d_1759
c_22196,d_23813
c_7959,d_18932
c_11946,d_17084
c_30007,d_12110
c_12308,d_14856
c_6587,d_2595
c_1068,d_9907
c_24741,d_8203
c_11381,d_23448
c_21785,d_15133
