c_15542,d_30536
c_17056,d_29648
c_11107,d_19938
c_23112,d_30290
c_8608,d_6594
c_20676,d_20269
c_17809,d_30686
c_29407,d_10407
c_18377,d_21457
c_22360,d_23523
c_192,d_22846
c_3250,d_25207
c_7895,d_24014
c_4639,d_29119
c_9151,d_28269
c_12949,d_15455
c_29912,d_25019
c_3170,d_8597
c_2806,d_1827
c_1999,d_6072
c_8309,d_19295
c_12943,d_2747
c_16917,d_2340
c_18445,d_174
c_7007,d_2986
c_9996,d_1196
c_14388,d_15175
c_1149,d_11548
c_27455,d_15378
c_7849,d_16414
c_24300,d_3428
c_20911,d_31197
c_25078,d_9868
c_3058,d_27508
c_26327,d_7556
c_18589,d_2753
c_18518,d_2960
c_24681,d_11820
c_20313,d_22655
c_441,d_17730
c_19433,d_24980
c_546,d_26564
c_12414,d_24751
c_13473,d_12678
c_24076,d_24782
c_1626,d_1786
c_3534,d_19288
c_26334,d_16166
c_18704,d_5251
c_14921,d_15262
c_23614,d_2172
c_30095,d_16563
c_18515,d_29697
c_3371,d_8239
c_29518,d_25195
c_3849,d_14556
c_15921,d_16272
c_8800,d_3043
c_11593,d_25868
c_12335,d_10753
c_2966,d_4307
c_22767,d_20108
c_13453,d_19969
c_27743,d_29870
c_10177,d_30656
c_27667,d_7761
c_23615,d_29888
c_18783,d_14959
c_25337,d_20177
c_8452,d_19498
c_594,d_4922
c_3898,d_7825
c_3472,d_12990
c_6386,d_6744
c_11997,d_7579
c_22362,d_879
c_8810,d_9167
c_16687,d_11952
c_1640,d_20863
c_14997,d_5679
c_17607,d_30559
c_17238,d_3590
c_31103,d_5249
c_2848,d_7035
c_23474,d_21473
c_16340,d_13296
c_9256,d_13181
c_27689,d_8352
c_4906,d_12785
c_10393,d_26456
c_28077,d_22689
c_30434,d_25918
c_2299,d_30472
c_9912,d_24074
c_12122,d_24597
c_9261,d_16586
c_19338,d_17663
c_24038,d_14411
c_5499,d_17212
c_4528,d_21368
c_13078,d_9551
c_26578,d_1323
c_17092,d_4398
c_15009,d_25920
c_28944,d_28910
c_18545,d_5732
c_5191,d_19137
c_18244,d_25360
c_15334,d_7862
c_16374,d_19183
c_30535,d_3904
c_1465,d_30224
c_18470,d_24353
c_12546,d_31179
c_15470,d_7772
c_8631,d_13352
c_27990,d_6416
c_17607,d_18495
c_29179,d_2407
c_4782,d_8956
c_25515,d_15559
c_29092,d_31020
c_29643,d_13801
c_5899,d_22472
c_29929,d_12844
c_14073,d_16217
c_4528,d_7503
c_6479,d_29778
c_28773,d_25019
c_21237,d_16004
c_9387,d_18428
c_8358,d_9640
c_11798,d_27913
c_11393,d_30187
c_28234,d_29401
c_30327,d_17403
c_3527,d_28459
c_22547,d_30022
c_24556,d_21099
c_15738,d_24067
c_5434,d_4171
c_5615,d_13965
c_3425,d_16368
c_1105,d_22840
c_9121,d_18414
c_14762,d_5650
c_16640,d_26335
c_20107,d_10053
c_25372,d_27355
c_15570,d_30268
c_24571,d_12972
c_2,d_20276
c_25006,d_22686
c_9206,d_20604
c_3538,d_19069
c_8261,d_24183
c_16622,d_30715
c_18607,d_14267
c_31462,d_30344
c_4528,d_25781
c_17866,d_2233
c_18281,d_26020
c_30101,d_23864
c_10450,d_13252
c_25375,d_13685
c_10475,d_12724
c_2824,d_10009
c_25832,d_23209
c_22095,d_29802
c_18962,d_25279
c_27763,d_28679
c_30340,d_20643
c_26065,d_25495
c_12179,d_13250
c_6145,d_3004
c_2335,d_5773
c_16995,d_23458
c_16383,d_21328
c_18684,d_19258
c_27070,d_26775
c_7488,d_13984
c_5744,d_9861
c_9194,d_25179
c_24181,d_17686
c_8611,d_29222
c_5800,d_251
c_4027,d_16334
c_26609,d_22846
c_19467,d_16551
c_28262,d_840
c_10338,d_26997
c_2010,d_18003
c_14411,d_17347
c_20461,d_18937
c_11158,d_17129
c_22231,d_6692
c_16230,d_1936
c_24861,d_18292
c_21059,d_30616
c_2462,d_15166
c_21518,d_21970
c_25485,d_30304
c_13435,d_12676
c_29994,d_3185
c_19746,d_7538
c_23410,d_1588
c_31147,d_19475
c_3467,d_24071
c_23702,d_21502
c_25133,d_12544
c_1749,d_16261
c_21922,d_2400
c_11333,d_21537
c_9322,d_27779
c_27054,d_18593
c_7842,d_12917
c_30381,d_164
c_5894,d_6894
c_25353,d_28716
c_6264,d_950
c_24234,d_7478
c_19115,d_10061
c_17174,d_30289
c_15076,d_23327
c_2925,d_24582
c_10765,d_14535
c_18885,d_24064
c_21453,d_8150
c_6646,d_24724
c_8753,d_2488
c_23345,d_15522
c_29565,d_10006
c_4509,d_10606
c_2972,d_23861
c_22075,d_942
c_3953,d_26401
c_5028,d_25689
c_9370,d_1530
c_15120,d_26110
c_17631,d_841
c_10600,d_15462
c_8672,d_3061
c_19583,d_3265
c_11159,d_15740
c_3430,d_11033
c_7181,d_2419
c_4273,d_10064
c_8308,d_9256
c_25463,d_12266
c_13159,d_11206
c_3612,d_30663
c_22543,d_14513
c_21640,d_3553
c_25081,d_9164
c_6135,d_4350
c_18110,d_5604
c_24343,d_16678
c_20598,d_18701
c_31246,d_8022
c_16293,d_6089
c_24987,d_2970
c_7578,d_11644
c_10547,d_111
c_13639,d_16777
c_8470,d_13297
c_20130,d_5773
c_15930,d_13494
c_3473,d_17486
c_12701,d_7176
c_595,d_20909
c_6697,d_28097
c_23339,d_1107
c_5755,d_24835
c_28689,d_19220
c_13311,d_8186
c_20309,d_25168
c_769,d_2061
c_30997,d_9022
c_11880,d_22512
c_14674,d_31392
c_11672,d_21560
c_2337,d_23604
c_28420,d_18688
c_2520,d_5235
c_24771,d_3181
c_3880,d_25759
c_28857,d_7325
c_8933,d_827
c_14549,d_24161
c_2047,d_27541
c_3448,d_13474
c_25359,d_29837
c_26136,d_26250
c_21988,d_29768
c_21798,d_29906
c_8817,d_13824
c_1421,d_28428
c_12054,d_23292
c_14930,d_19028
c_16555,d_21169
c_14462,d_5197
c_13297,d_17424
c_8207,d_22577
c_18456,d_14930
c_1206,d_19015
c_13606,d_18198
c_29913,d_22055
c_18465,d_20352
c_391,d_20184
c_1986,d_23215
c_10457,d_29270
c_7720,d_26319
c_3541,d_18083
c_29824,d_21066
c_18045,d_22653
c_22594,d_542
c_3342,d_2071
c_5297,d_598
c_29757,d_21544
c_1900,d_1508
c_7046,d_21014
c_7902,d_23336
c_24522,d_23110
c_14963,d_13656
c_13245,d_16152
c_25889,d_26868
c_19264,d_9789
c_4420,d_5342
c_6343,d_15229
c_7528,d_15520
c_7877,d_2311
c_27771,d_9402
c_16067,d_28383
c_29311,d_816
c_27371,d_12002
c_1312,d_23507
c_24112,d_5517
c_23797,d_27026
c_2072,d_17504
c_18829,d_20439
c_3152,d_4635
c_11292,d_10180
c_30085,d_9762
c_10704,d_29200
c_23007,d_18715
c_18432,d_8009
c_25725,d_23950
c_20126,d_8689
c_15900,d_11489
c_6587,d_17259
c_19293,d_24996
c_15728,d_14719
c_23880,d_15832
c_9735,d_17284
c_4991,d_24561
c_29093,d_25726
c_5950,d_826
c_7835,d_2579
c_22836,d_20740
c_4274,d_26729
c_26518,d_10990
c_10739,d_7454
c_6113,d_26400
c_1633,d_17096
c_3091,d_21969
c_11377,d_599
c_16012,d_12022
c_31416,d_4984
c_25896,d_13114
c_30163,d_29634
c_5428,d_7962
c_19424,d_18332
c_28093,d_20558
c_17971,d_16416
c_15640,d_30145
c_781,d_29703
c_11862,d_15347
c_14922,d_27853
c_7478,d_15453
c_2707,d_30362
c_23244,d_9020
c_26806,d_27126
c_2718,d_19236
c_8664,d_17420
c_2902,d_21796
c_5470,d_2385
c_5624,d_10046
c_8620,d_14666
c_10592,d_25038
c_20653,d_25144
c_17508,d_15201
c_30410,d_17513
c_21199,d_20829
c_19547,d_7235
c_9838,d_10585
c_12634,d_10146
c_28801,d_23256
c_5422,d_27611
c_13590,d_19982
c_4457,d_16452
c_22386,d_25255
c_2970,d_13636
c_11638,d_23285
c_3416,d_14179
c_24855,d_26164
c_8899,d_12409
c_1661,d_17419
c_26075,d_3220
c_30738,d_3215
c_16674,d_22294
c_12111,d_897
c_4663,d_23281
c_13909,d_10832
c_31465,d_29060
c_8298,d_886
c_2381,d_26364
c_21668,d_17001
c_7338,d_9811
c_27822,d_27968
c_27070,d_30172
c_23967,d_8772
c_25168,d_16044
c_31190,d_21678
c_1173,d_1931
c_11831,d_20209
c_19656,d_20474
c_2491,d_9002
c_18106,d_31170
c_4218,d_21441
c_31323,d_17454
c_11107,d_17762
c_3358,d_12382
c_10055,d_21225
c_24188,d_22348
c_9647,d_28500
c_19711,d_19395
c_15225,d_13069
c_17384,d_14639
c_28423,d_29053
c_25597,d_9994
c_25763,d_8142
c_1517,d_14962
c_18897,d_22898
c_15965,d_10554
c_3254,d_18070
c_10510,d_27987
c_4913,d_7065
c_8239,d_17306
c_19758,d_17185
c_13085,d_3548
c_7817,d_14318
c_15139,d_11930
c_19371,d_16479
c_8615,d_6974
c_21940,d_5805
c_11544,d_23961
c_9517,d_13580
c_15389,d_31375
c_17576,d_3569
c_28071,d_678
c_17113,d_1351
c_3900,d_22673
c_23787,d_9475
c_14630,d_20412
c_19740,d_5164
c_25187,d_16331
c_6046,d_27798
c_2619,d_5454
c_17166,d_3465
c_27276,d_24254
c_23610,d_21211
c_8262,d_28523
c_3800,d_11993
c_5537,d_23683
c_16997,d_16860
c_11813,d_27848
c_31290,d_1141
c_14620,d_5168
c_17007,d_13517
c_17292,d_9129
c_11958,d_4629
c_16305,d_3512
c_27370,d_16881
c_25547,d_20017
c_16103,d_2237
c_27738,d_30871
c_17979,d_16292
c_11103,d_26735
c_23582,d_6318
c_28184,d_28692
c_26379,d_15484
c_8679,d_2470
c_4969,d_20757
c_22878,d_27027
c_5493,d_19880
c_3725,d_14997
c_3447,d_13640
c_14662,d_17036
c_24568,d_28492
c_9989,d_12894
c_10106,d_11312
c_2835,d_2784
c_7236,d_14747
c_24788,d_14741
c_29731,d_7294
c_16363,d_2907
c_22275,d_9047
c_4235,d_9085
