d_12404,e_16144
d_13926,e_34867
d_25471,e_663
d_9715,e_39431
d_25120,e_45550
d_8457,e_21325
d_2925,e_2927
d_25511,e_21820
d_2524,e_43920
d_14197,e_18287
d_17713,e_1338
d_24206,e_18584
d_1020,e_43374
d_25157,e_10740
d_12628,e_14627
d_18481,e_34868
d_7574,e_29959
d_22549,e_29458
d_27902,e_25773
d_524,e_39813
d_6780,e_6547
d_27510,e_22916
d_11159,e_2065
d_30993,e_4777
d_15336,e_31246
d_3051,e_19534
d_21867,e_19302
d_23163,e_40774
d_23724,e_21362
d_30641,e_23643
d_16012,e_21018
d_18780,e_20169
d_26818,e_43283
d_17632,e_26170
d_18850,e_18769
d_29387,e_33137
d_29410,e_44466
d_17446,e_37928
d_1865,e_31492
d_945,e_34785
d_27797,e_21475
d_11220,e_19185
d_8610,e_13851
d_17731,e_27397
d_10145,e_4002
d_3623,e_9366
d_9048,e_487
d_29128,e_11060
d_28833,e_38780
d_20764,e_29201
d_15948,e_5960
d_17952,e_11317
d_25264,e_22450
d_22669,e_46173
d_8977,e_30192
d_7640,e_9118
d_25731,e_3650
d_19142,e_3623
d_5690,e_514
d_13265,e_42523
d_12253,e_24611
d_4274,e_35223
d_677,e_952
d_668,e_25261
d_1352,e_601
d_24988,e_15438
d_28897,e_4768
d_9467,e_10705
d_22022,e_20369
d_14752,e_43913
d_16327,e_5724
d_722,e_37141
d_30411,e_25536
d_29075,e_5501
d_18494,e_14203
d_20455,e_26893
d_12997,e_39704
d_9752,e_7471
d_25905,e_19206
d_17462,e_37914
d_17761,e_22172
d_370,e_36381
d_1297,e_33430
d_22030,e_42804
d_16032,e_15781
d_7352,e_10164
d_26733,e_1395
d_23724,e_44155
d_21218,e_43157
d_23948,e_43874
d_10457,e_46317
d_15716,e_1425
d_19577,e_38223
d_19385,e_38264
d_10418,e_4347
d_16755,e_984
d_21496,e_15720
d_16797,e_24500
d_5177,e_3356
d_18017,e_34155
d_5181,e_7395
d_24803,e_13616
d_13483,e_44495
d_12098,e_7593
d_24922,e_11930
d_27879,e_31273
d_19588,e_138
d_18387,e_21830
d_424,e_27342
d_3270,e_36906
d_13769,e_24246
d_26825,e_16957
d_15847,e_45658
d_25695,e_7200
d_1684,e_14319
d_21307,e_33747
d_7061,e_22083
d_25267,e_30617
d_6153,e_14826
d_22178,e_26427
d_7248,e_23500
d_15143,e_6540
d_8701,e_8334
d_15251,e_11292
d_22995,e_37786
d_8814,e_18848
d_31297,e_26185
d_11629,e_16921
d_18093,e_20736
d_7465,e_30905
d_9083,e_43034
d_31186,e_26558
d_15252,e_10945
d_15225,e_13657
d_26883,e_43556
d_26827,e_24463
d_832,e_34888
d_21120,e_13572
d_26447,e_23046
d_19866,e_23198
d_1685,e_6497
d_14064,e_6640
d_122,e_30683
d_7979,e_46585
d_19168,e_8295
d_24198,e_38437
d_29651,e_21057
d_17854,e_32520
d_15357,e_37266
d_23058,e_9332
d_28045,e_39119
d_20374,e_39126
d_351,e_46702
d_28289,e_36653
d_10183,e_33972
d_17605,e_32402
d_14978,e_6831
d_31401,e_15244
d_21918,e_28273
d_11701,e_39226
d_11071,e_16602
d_3797,e_23424
d_14745,e_24529
d_15402,e_35016
d_15076,e_8685
d_25646,e_37378
d_15605,e_3363
d_12447,e_44994
d_29651,e_1543
d_20766,e_17065
d_20257,e_36299
d_29029,e_20426
d_3725,e_26929
d_31010,e_30288
d_15682,e_17390
d_14110,e_2849
d_23266,e_31047
d_23974,e_22241
d_17917,e_40238
d_26356,e_24591
d_22626,e_14981
d_21741,e_39860
d_22841,e_16615
d_8159,e_34506
d_17041,e_21045
d_30983,e_28477
d_21714,e_39770
d_22788,e_30114
d_2267,e_32726
d_25454,e_1041
d_19167,e_45012
d_10588,e_15968
d_29617,e_4959
d_4767,e_27300
d_8391,e_15606
d_8387,e_12518
d_1929,e_28667
d_20382,e_6590
d_28871,e_27016
d_12155,e_36685
d_23326,e_40325
d_12481,e_24311
d_7741,e_37054
d_27699,e_7156
d_20144,e_6142
d_9163,e_12960
d_14522,e_2506
d_18019,e_38554
d_13651,e_22872
d_4951,e_1464
d_26159,e_32844
d_19850,e_9087
d_18006,e_8006
d_28531,e_44708
d_17010,e_28096
d_11358,e_22805
d_26131,e_40349
d_11089,e_1270
d_28245,e_13041
d_8600,e_7611
d_16620,e_44690
d_27091,e_46267
d_15530,e_46935
d_23110,e_3730
d_16123,e_20631
d_30667,e_45120
d_6402,e_44643
d_124,e_35359
d_3303,e_931
d_13631,e_20781
d_23700,e_3550
d_4481,e_28001
d_17996,e_9835
d_5287,e_25591
d_6914,e_10389
d_13157,e_33750
d_5695,e_31228
d_6502,e_42405
d_24579,e_17329
d_10910,e_31190
d_27902,e_33984
d_31044,e_35004
d_14705,e_31839
d_25058,e_26216
d_6364,e_46135
d_15320,e_8078
d_15672,e_10019
d_4594,e_4216
d_3354,e_31936
d_23145,e_31505
d_12910,e_33661
d_4868,e_35793
d_24857,e_8266
d_8367,e_11816
d_28701,e_10879
d_21744,e_27414
d_11400,e_15060
d_30828,e_36625
d_23820,e_373
d_8788,e_11165
d_4537,e_41608
d_19489,e_41217
d_17925,e_23599
d_2806,e_37913
d_19983,e_40413
d_922,e_12957
d_11224,e_2081
d_16996,e_9124
d_6097,e_4433
d_11193,e_44190
d_22003,e_29241
d_24659,e_33922
d_27610,e_10123
d_16800,e_12749
d_30537,e_33868
d_29971,e_38852
d_23498,e_40037
d_722,e_2995
d_12182,e_37066
d_5478,e_20798
d_23811,e_35486
d_9641,e_46556
d_3351,e_4527
d_14469,e_42513
d_1821,e_10889
d_12985,e_20882
d_9354,e_28877
d_2791,e_42014
d_605,e_2146
d_30190,e_20437
d_13536,e_45297
d_24839,e_13447
d_30250,e_6653
d_23975,e_39690
d_2781,e_32533
d_10383,e_30535
d_23008,e_23975
d_11062,e_35498
d_27315,e_23905
d_29685,e_9002
d_30827,e_43347
d_8136,e_29160
d_6494,e_27625
d_9327,e_11873
d_22320,e_6243
d_14660,e_33403
d_20936,e_15810
d_7792,e_30853
d_7043,e_39954
d_26079,e_5838
d_5664,e_7074
