c_21712,d_8004
c_6704,d_26987
c_27016,d_20473
c_6056,d_3287
c_425,d_23956
c_13215,d_20563
c_15370,d_3326
c_25247,d_5577
c_6369,d_13851
c_9371,d_20827
c_14961,d_7889
c_4112,d_25574
c_2867,d_11356
c_9505,d_9318
c_17865,d_1829
c_1940,d_7865
c_22314,d_26746
c_10841,d_19099
c_29047,d_24028
c_31185,d_12184
c_27701,d_22681
c_25608,d_7483
c_8228,d_757
c_20573,d_25640
c_5181,d_8579
c_19829,d_9362
c_1359,d_30168
c_7869,d_29030
c_30785,d_29811
c_26442,d_6822
c_19041,d_616
c_217,d_3635
c_15186,d_17934
c_9727,d_28114
c_11426,d_26063
c_11810,d_27843
c_22196,d_18588
c_11850,d_22181
c_6570,d_31157
c_24881,d_13351
c_27113,d_8965
c_20446,d_14334
c_28955,d_16604
c_23132,d_10075
c_7446,d_29294
c_5485,d_25568
c_13412,d_19464
c_5610,d_21403
c_17733,d_28617
c_2309,d_15269
c_14458,d_31384
c_10400,d_1391
c_17278,d_22441
c_9664,d_9278
c_22876,d_25869
c_29409,d_29444
c_6044,d_12695
c_2897,d_30565
c_20199,d_26925
c_13545,d_20412
c_27089,d_1508
c_18682,d_14284
c_15473,d_27947
c_24175,d_19971
c_6350,d_8418
c_15814,d_4350
c_7573,d_14573
c_20608,d_6864
c_3669,d_26478
c_24757,d_16530
c_3138,d_28451
c_4243,d_31324
c_3550,d_2888
c_9099,d_1932
c_7460,d_24285
c_12291,d_11112
c_11477,d_16231
c_24667,d_2157
c_8161,d_24118
c_3027,d_25264
c_5124,d_19032
c_24472,d_6505
c_21783,d_23011
c_20295,d_21931
c_6918,d_18467
c_24343,d_9146
c_12242,d_453
c_26935,d_16045
c_17877,d_205
c_13202,d_11911
c_17198,d_8966
c_11776,d_1256
c_12966,d_19477
c_10437,d_31375
c_4008,d_16249
c_10080,d_30520
c_30649,d_16115
c_22246,d_10103
c_14725,d_22898
c_13657,d_28685
c_26093,d_21165
c_20486,d_7362
c_26205,d_11790
c_5115,d_11771
c_7829,d_29902
c_29966,d_16510
c_31277,d_18738
c_26147,d_16998
c_29300,d_2552
c_3855,d_9373
c_17154,d_15390
c_28616,d_5860
c_11408,d_31350
c_5580,d_10379
c_7663,d_19219
c_6556,d_4499
c_488,d_7646
c_27207,d_6808
c_25433,d_4294
c_9948,d_8604
c_18156,d_18011
c_27713,d_27116
c_17255,d_20978
c_18994,d_14343
c_1171,d_17178
c_28246,d_10841
c_8527,d_30211
c_17113,d_14225
c_29122,d_9893
c_29469,d_16908
c_120,d_27882
c_752,d_10456
c_8992,d_14978
c_3028,d_18109
c_22372,d_10478
c_6920,d_10762
c_20832,d_25198
c_27626,d_7822
c_21005,d_1399
c_3315,d_17841
c_25360,d_15356
c_16248,d_19631
c_20533,d_15563
c_26533,d_15348
c_2162,d_8403
c_8494,d_26031
c_15158,d_3512
c_4652,d_11071
c_22781,d_26081
c_24357,d_20063
c_17089,d_26219
c_26563,d_29469
c_13094,d_28858
c_189,d_4141
c_25441,d_1276
c_25973,d_8854
c_2060,d_26482
c_28762,d_23274
c_5897,d_19283
c_22818,d_21555
c_118,d_27178
c_10564,d_16443
c_12781,d_15742
c_19544,d_605
c_19520,d_1727
c_18159,d_7430
c_10865,d_21146
c_8881,d_25509
c_13222,d_7724
c_20876,d_4700
c_17754,d_15607
c_11667,d_29643
c_6217,d_13781
c_24938,d_29811
c_30790,d_28524
c_31423,d_18261
c_21839,d_22769
c_27334,d_19192
c_8286,d_9805
c_24498,d_13068
c_14655,d_3111
c_18217,d_22330
c_19627,d_27847
c_27132,d_11714
c_20927,d_10558
c_13860,d_30070
c_19000,d_19642
c_11665,d_1181
c_18824,d_21957
c_21184,d_1236
c_965,d_4485
c_21923,d_21667
c_21019,d_13084
c_24130,d_4339
c_28383,d_31288
c_6180,d_26667
c_4606,d_12812
c_6628,d_29194
c_18137,d_18143
c_25714,d_29699
c_22540,d_13893
c_27504,d_11284
c_1462,d_20284
c_12806,d_5862
c_6416,d_8369
c_1063,d_11913
c_20484,d_5966
c_18566,d_5188
c_27307,d_13573
c_6299,d_2473
c_14682,d_25843
c_17038,d_17108
c_24799,d_27739
c_10743,d_21029
c_1200,d_6821
c_5448,d_28692
c_13027,d_24564
c_19982,d_20244
c_26081,d_9676
c_2733,d_27544
c_13902,d_23165
c_369,d_842
c_5943,d_186
c_7941,d_30992
c_4283,d_5906
c_6808,d_22974
c_16947,d_24429
c_16305,d_12657
c_11946,d_30446
c_3184,d_6732
c_13733,d_18418
c_8363,d_15637
c_6798,d_14788
c_5719,d_27702
c_6979,d_14947
c_20261,d_9935
c_676,d_21273
