f_457905,d_31334
f_526634,d_2819
f_451975,d_4039
f_573287,d_16205
f_449629,d_21142
f_285035,d_1228
f_273602,d_15931
f_211188,d_19974
f_536749,d_15689
f_277257,d_26271
f_510335,d_16051
f_233141,d_15829
f_347790,d_10661
f_63092,d_16433
f_629552,d_11497
f_598709,d_24971
f_348803,d_17825
f_309783,d_1797
f_103146,d_7169
f_187806,d_311
f_501682,d_21200
f_389634,d_8541
f_41732,d_2916
f_485593,d_13788
f_136555,d_30342
f_148097,d_2458
f_250334,d_20498
f_48608,d_28593
f_4975,d_5373
f_54584,d_20842
f_10268,d_6610
f_360383,d_6668
f_417282,d_18839
f_41599,d_18923
f_367223,d_27270
f_305110,d_2264
f_345789,d_2488
f_544127,d_1803
f_461341,d_13978
f_82278,d_20359
f_53382,d_19060
f_312565,d_10830
f_431195,d_22168
f_520033,d_4722
f_91952,d_5475
f_284716,d_22515
f_473086,d_6177
f_27243,d_25781
f_410642,d_7510
f_452224,d_20007
f_452637,d_23008
f_43462,d_9842
f_504533,d_22317
f_96958,d_22768
f_208819,d_18859
f_597655,d_1207
f_446500,d_6211
f_634143,d_23366
f_444823,d_29010
f_27650,d_12419
f_1060,d_13086
f_583178,d_15876
f_463118,d_18385
f_207300,d_20309
f_592078,d_29905
f_162718,d_1973
f_622076,d_3041
f_429671,d_29227
f_180351,d_9348
f_189953,d_5897
f_643062,d_25310
f_360383,d_29592
f_357567,d_28851
f_207459,d_879
f_288119,d_22897
f_181363,d_26235
f_231431,d_6501
f_435198,d_15672
f_119471,d_21298
f_390595,d_20481
f_451310,d_21301
f_34337,d_7187
f_534138,d_14896
f_82487,d_30269
f_363311,d_15703
f_164961,d_15054
f_559287,d_5120
f_144239,d_4009
f_94013,d_29924
f_381887,d_4471
f_558253,d_16035
f_34235,d_5178
f_258751,d_9588
f_364988,d_28132
f_234173,d_5957
f_207306,d_1214
f_493390,d_13659
f_17993,d_17739
f_58279,d_27913
f_595521,d_26248
f_354745,d_27957
f_330071,d_22238
f_84006,d_20469
f_114516,d_9687
f_222515,d_17392
f_377079,d_3455
f_604816,d_28571
f_32792,d_19718
f_187877,d_18850
f_465275,d_11179
f_196062,d_8735
f_403534,d_10539
f_423349,d_16507
f_256764,d_8175
f_295448,d_16042
f_491545,d_24438
f_276884,d_30414
f_238892,d_10824
f_443767,d_25724
f_618385,d_2882
f_231282,d_24875
f_436740,d_14800
f_380249,d_27236
f_15748,d_23379
f_406264,d_16003
f_257073,d_10134
f_464640,d_10785
f_620934,d_21696
f_343270,d_19860
f_38752,d_24816
f_321508,d_29447
f_32008,d_31090
f_140433,d_6527
f_506392,d_28592
f_460885,d_2928
f_53155,d_20461
f_240900,d_21693
f_51962,d_19099
f_230501,d_132
f_191060,d_13674
f_430100,d_14564
f_357168,d_13415
f_222473,d_10644
f_344649,d_11882
f_436319,d_24833
f_636079,d_30245
f_101054,d_27737
f_68248,d_638
f_302882,d_12237
f_318725,d_9797
f_299430,d_28391
f_252261,d_5973
f_370319,d_26333
f_179795,d_25160
f_424230,d_18273
f_360759,d_21891
f_22927,d_30423
f_192004,d_14567
f_434537,d_13648
f_358744,d_4322
f_290742,d_23667
f_303151,d_13999
f_452138,d_11643
f_559648,d_14465
f_502152,d_16828
f_7571,d_464
f_406693,d_12764
f_549684,d_13368
f_217081,d_12878
f_429426,d_28704
f_267065,d_12863
f_457351,d_23250
f_219167,d_7175
f_267619,d_21446
f_537401,d_1552
f_414368,d_15016
f_257494,d_21371
f_415523,d_266
f_283432,d_23251
f_626858,d_17167
f_256694,d_10632
f_481446,d_13261
f_57306,d_24071
f_331935,d_14297
f_552047,d_22820
f_454005,d_30125
f_413908,d_1354
f_77444,d_9959
f_116701,d_18850
f_18445,d_6376
f_419552,d_24709
f_413484,d_6410
f_436498,d_15197
f_36461,d_25571
f_170168,d_3286
f_143744,d_17999
f_370996,d_8644
f_180997,d_3720
f_38949,d_65
f_591062,d_29987
f_177682,d_331
f_237528,d_1226
f_363877,d_26764
f_238119,d_3063
f_325001,d_1194
f_555705,d_11601
f_282742,d_19934
f_67217,d_16654
f_322947,d_15874
f_183145,d_10202
f_80380,d_15057
f_210431,d_18779
f_568142,d_18795
f_268269,d_22291
f_334733,d_15709
f_248337,d_25454
f_243039,d_14583
f_239495,d_4206
f_162104,d_24193
f_394301,d_10623
f_224071,d_8663
f_505731,d_9672
f_483743,d_19793
f_456990,d_19837
f_332239,d_29490
f_402719,d_14943
f_461722,d_28937
f_469938,d_13427
f_421670,d_24962
f_54945,d_18369
f_41710,d_11932
f_83665,d_7437
f_520578,d_1319
f_548335,d_23764
f_565997,d_10618
f_251381,d_3370
f_97797,d_1709
f_118249,d_26512
f_633629,d_22023
f_620848,d_22581
f_383201,d_7284
f_59555,d_19837
f_360032,d_7513
f_270812,d_7762
f_539003,d_2073
f_399344,d_10276
f_617719,d_15955
f_27472,d_24376
f_624941,d_9174
f_248299,d_28622
f_111878,d_15998
f_475634,d_1748
f_182236,d_11808
f_2126,d_3942
f_424194,d_23013
f_245964,d_2919
f_22461,d_25663
f_547849,d_18309
f_502598,d_2283
f_134575,d_5009
f_100041,d_391
f_481644,d_17204
f_138558,d_18439
f_82522,d_25453
f_318599,d_27861
f_478394,d_11244
f_451442,d_2910
f_413048,d_31352
f_545730,d_4621
f_269515,d_3264
f_493035,d_8823
f_153594,d_9938
f_310718,d_24824
f_579114,d_31070
f_387374,d_14260
f_266418,d_2280
f_615692,d_1275
f_108685,d_9532
f_405565,d_18763
f_611153,d_16941
f_241028,d_3113
f_565157,d_10026
f_553120,d_13416
f_109567,d_11245
f_125518,d_2146
f_293073,d_11847
f_311860,d_19836
f_605025,d_2272
f_321379,d_30327
f_624961,d_1347
f_530631,d_23740
f_36229,d_18956
f_46142,d_7176
f_511401,d_10136
f_406536,d_6676
f_68179,d_17551
f_174056,d_23625
f_210806,d_3745
f_175929,d_25610
f_299185,d_26039
f_618734,d_19503
f_20593,d_4995
f_42445,d_26487
f_551370,d_20056
f_316730,d_893
f_316927,d_24972
f_547023,d_5605
f_550718,d_6938
f_107903,d_26600
f_541922,d_22362
f_398879,d_17618
f_393204,d_11225
f_339518,d_27494
f_639700,d_2932
f_63559,d_2791
f_496406,d_23189
f_608420,d_23826
f_163400,d_6460
f_77061,d_12816
f_221604,d_26742
f_215783,d_5037
f_207141,d_31002
f_505632,d_24129
f_363778,d_15357
f_640491,d_19207
f_420951,d_53
f_265708,d_13905
f_232350,d_15110
f_504255,d_7215
f_97052,d_13445
f_231635,d_17502
f_220068,d_30
f_55641,d_18225
f_72542,d_5904
f_91551,d_3815
f_638002,d_7715
f_247551,d_21759
f_335275,d_7442
f_344579,d_2258
f_582054,d_26045
f_104725,d_26676
f_28134,d_1186
f_525138,d_8431
f_583938,d_19522
f_449459,d_26708
f_472992,d_25077
f_494567,d_22987
f_573647,d_4172
f_7192,d_9768
f_324697,d_29587
f_291344,d_1608
f_513851,d_28825
f_176372,d_18981
f_476071,d_1006
f_42136,d_4464
f_217685,d_15688
f_327599,d_3466
f_117436,d_7742
f_409225,d_8178
f_480782,d_14805
f_149948,d_7271
f_121659,d_10960
f_139073,d_12981
f_579439,d_12577
f_134129,d_19703
f_68793,d_22456
f_376700,d_17568
f_397068,d_377
f_321147,d_27585
f_426151,d_28222
f_423153,d_3695
f_424293,d_14221
f_71622,d_28360
f_473628,d_26198
f_246492,d_27882
f_173878,d_28526
f_441506,d_24164
f_629300,d_15184
f_74095,d_7873
f_70682,d_8082
f_464139,d_28526
f_19086,d_16885
f_268072,d_18120
f_156049,d_20744
f_224925,d_926
f_411812,d_1493
f_130324,d_16583
f_302424,d_1005
f_198306,d_18166
f_594756,d_14434
f_500867,d_9907
f_356920,d_18757
f_579915,d_21192
f_198069,d_26398
f_363032,d_4153
f_351901,d_22944
f_124169,d_28991
f_63864,d_23688
f_431095,d_25886
f_424833,d_18720
f_26557,d_5040
f_69186,d_12103
f_208507,d_4286
f_638825,d_21121
f_474445,d_19207
f_312936,d_7065
f_448376,d_28204
f_533070,d_15237
f_442151,d_21206
f_406926,d_8336
f_362178,d_18543
f_326326,d_18597
f_436593,d_12733
f_553334,d_29552
f_128569,d_29382
f_602550,d_6123
f_204163,d_7424
f_40229,d_17006
f_337981,d_20947
f_557438,d_6256
f_572786,d_24907
f_451972,d_20259
f_637458,d_24045
f_110288,d_5881
f_587180,d_27655
f_565882,d_30551
f_581421,d_3378
f_109770,d_24081
f_20211,d_16785
f_594745,d_31007
f_445733,d_16326
f_343789,d_8156
f_576891,d_13449
f_547601,d_16188
f_224559,d_26164
f_388076,d_20836
f_259901,d_30483
f_134396,d_9963
f_73129,d_9403
f_104589,d_154
f_58910,d_17858
f_293719,d_21851
f_266440,d_26776
f_390626,d_20832
f_502249,d_557
f_177715,d_24873
f_608279,d_9683
f_261004,d_13857
f_558925,d_28025
f_84418,d_23844
f_220392,d_1096
f_401243,d_5010
f_613967,d_29105
f_117598,d_6863
f_641325,d_21928
f_78341,d_22441
f_109006,d_6884
f_267457,d_11652
f_359545,d_30629
f_313609,d_14271
f_591028,d_19139
f_129751,d_2665
f_240934,d_13992
f_437522,d_12574
f_300989,d_22177
f_532168,d_3458
f_510943,d_4542
f_642277,d_3852
f_198726,d_13635
f_252350,d_2435
f_398737,d_9078
f_33378,d_9247
f_203514,d_15160
f_578786,d_7087
f_456171,d_23289
f_433786,d_6182
f_306856,d_23200
f_335904,d_14794
f_281862,d_11028
f_295712,d_26128
f_610940,d_20498
f_609920,d_9368
f_478114,d_8352
f_618105,d_1906
f_222154,d_7474
f_424333,d_19434
f_260149,d_20400
f_445439,d_682
f_47825,d_26957
f_307083,d_10938
f_595503,d_27878
f_235051,d_8057
f_526475,d_7821
f_146136,d_22118
f_487075,d_11178
f_175191,d_8394
f_417760,d_18513
f_599469,d_29010
f_440255,d_10641
f_311570,d_17452
f_411670,d_31328
f_40689,d_14963
f_118268,d_3921
f_530009,d_8909
f_370749,d_16942
f_137417,d_19196
f_313473,d_25120
f_309334,d_14461
f_128770,d_9085
f_470667,d_17438
f_12072,d_13967
f_348128,d_12071
f_125205,d_16729
f_158407,d_29560
f_7401,d_29090
f_421178,d_19825
f_534304,d_1506
f_37257,d_6062
f_196151,d_4958
f_378297,d_25843
f_570502,d_24988
f_185856,d_30598
f_111485,d_5232
f_190222,d_26732
f_24058,d_24964
f_418262,d_16357
f_259279,d_14311
f_516242,d_16609
f_74135,d_16158
f_466499,d_20713
f_290525,d_11726
f_438647,d_24838
f_261850,d_20361
f_617986,d_23566
f_453723,d_2553
f_401600,d_28006
f_129244,d_9563
f_430542,d_29415
f_641893,d_8448
f_257811,d_20753
f_304118,d_15625
f_169503,d_14684
f_438755,d_7437
f_581451,d_30994
f_452936,d_21440
f_256964,d_14130
f_520161,d_24796
f_619054,d_10477
f_119248,d_9300
f_16880,d_8497
f_632601,d_19065
f_636738,d_1158
f_364138,d_24097
f_134996,d_27988
f_307647,d_24349
f_542580,d_3556
f_466854,d_27900
f_430396,d_7303
f_146615,d_780
f_447402,d_30817
f_572272,d_25517
f_614458,d_543
f_254755,d_17986
f_351715,d_21821
f_429535,d_1292
f_29317,d_15281
f_420951,d_2776
f_42774,d_11060
f_107800,d_27073
f_23614,d_7495
f_249236,d_25599
f_480870,d_29987
f_572232,d_10243
f_253121,d_8071
f_216635,d_17084
f_144475,d_23059
f_305048,d_29696
f_85886,d_10520
f_503701,d_10844
f_538333,d_21970
f_386347,d_17317
f_133968,d_7369
f_497370,d_8114
f_558762,d_10513
f_603171,d_18862
f_643305,d_19678
f_633128,d_16919
f_507617,d_9181
f_163473,d_3843
f_343313,d_7026
f_405499,d_11876
f_593021,d_6536
f_221880,d_26006
f_429682,d_29780
f_103962,d_21855
f_489151,d_22259
f_127847,d_19778
f_367389,d_25452
f_408302,d_15679
f_404319,d_3698
f_136737,d_31191
f_435120,d_2332
f_378904,d_4920
f_117633,d_28335
f_170076,d_28626
f_566723,d_16245
f_558675,d_26940
f_236415,d_20340
f_210884,d_20177
f_604299,d_4196
f_325472,d_7577
f_477971,d_27832
f_592576,d_29203
f_327615,d_24731
f_86321,d_8982
f_222024,d_16605
f_409016,d_28208
f_641805,d_29561
f_94403,d_1959
f_543710,d_30350
f_315504,d_502
f_150632,d_6891
f_605825,d_13898
f_608742,d_4319
f_567666,d_17758
f_502027,d_28525
f_517749,d_13509
f_568208,d_9460
f_260912,d_21609
f_457087,d_539
f_10755,d_31330
f_578819,d_21285
f_193019,d_773
f_631934,d_13146
f_147030,d_18451
f_400520,d_8253
f_234548,d_15603
f_620246,d_1479
f_583904,d_17736
f_204430,d_27911
f_559416,d_5985
f_143670,d_30342
f_139125,d_26452
f_83563,d_2827
f_524270,d_28227
f_6534,d_3787
f_452360,d_1029
f_105974,d_9115
f_9263,d_27295
f_527385,d_15955
f_472537,d_7172
f_268261,d_31320
f_483580,d_24561
f_20943,d_13578
f_12009,d_13788
f_340028,d_2632
f_62773,d_7215
f_113031,d_22616
f_233154,d_30805
f_92487,d_902
f_529862,d_19615
f_99196,d_3998
f_543392,d_13524
f_19714,d_2766
f_126954,d_22402
f_358998,d_17145
f_390297,d_12327
f_422097,d_16927
f_562632,d_29895
f_31708,d_17342
f_609330,d_15724
f_327108,d_14935
f_163847,d_7988
f_561691,d_13863
f_491652,d_15336
f_507705,d_15896
f_507041,d_12112
f_430771,d_13369
f_256493,d_3879
f_179264,d_18090
f_626388,d_24060
f_592225,d_13932
f_77446,d_14014
f_45695,d_2719
f_591656,d_17198
f_181798,d_18591
f_374453,d_21456
f_379566,d_18319
f_510902,d_9497
f_272670,d_11233
f_481316,d_12643
f_213070,d_15689
f_154904,d_28263
f_88872,d_25782
f_489652,d_13853
f_354949,d_1370
f_114750,d_4241
f_327340,d_24142
f_523923,d_9672
f_189000,d_16562
f_342243,d_13293
f_629551,d_7152
f_581641,d_27503
f_101613,d_28212
f_96831,d_21830
f_196420,d_26253
f_303866,d_17613
f_530350,d_16556
f_348649,d_21409
f_99951,d_12652
f_383582,d_10899
f_26971,d_19101
f_16295,d_9912
f_495993,d_3262
f_304591,d_11619
f_327830,d_15767
f_262514,d_4037
f_500892,d_19803
f_319243,d_29298
f_13520,d_21656
f_48483,d_19750
f_390514,d_23305
f_523475,d_27906
f_610844,d_22009
f_514188,d_23680
f_359323,d_16249
f_291061,d_6747
f_614138,d_24225
f_236372,d_8524
f_463231,d_7671
f_574618,d_3835
f_264375,d_19085
f_563346,d_30456
f_552034,d_4163
f_470468,d_5500
f_80409,d_20191
f_594103,d_21182
f_72867,d_13591
f_447388,d_31372
f_126918,d_5248
f_84518,d_7412
f_586029,d_16658
f_58799,d_259
f_587721,d_10927
f_50124,d_16328
f_588928,d_1665
f_562009,d_1316
f_483513,d_12578
f_317433,d_2059
f_497232,d_28413
f_613130,d_27561
f_190391,d_12421
f_206579,d_3294
f_370658,d_5537
f_436354,d_7826
f_245445,d_13691
f_349953,d_9848
f_33542,d_10209
f_344788,d_28375
f_200565,d_21822
f_190386,d_17671
f_259478,d_29599
f_540606,d_581
f_348322,d_1886
f_333524,d_3848
f_561758,d_19594
f_210056,d_14003
f_219399,d_12967
f_39256,d_20626
f_429570,d_22060
f_244553,d_9785
f_597199,d_8877
f_326209,d_3345
f_187144,d_2465
f_145634,d_19625
f_598264,d_22972
f_21388,d_12571
f_378488,d_2676
f_353729,d_22388
f_332234,d_24876
f_634918,d_26608
f_603200,d_21366
f_245828,d_343
f_526859,d_17128
f_562083,d_15017
f_571820,d_5961
f_600324,d_3159
f_20191,d_12559
f_225545,d_1275
f_392477,d_2362
f_600472,d_9318
f_544570,d_30631
f_532720,d_13497
f_215221,d_16474
f_182478,d_21432
f_172825,d_5355
f_583535,d_3734
f_358568,d_18720
f_537413,d_23475
f_553495,d_17613
f_442070,d_20761
f_66765,d_14047
f_303791,d_21313
f_113555,d_3667
f_37987,d_21078
f_405630,d_30676
f_638483,d_27148
f_336697,d_6822
f_259617,d_28895
f_181623,d_24134
f_561345,d_27499
f_637449,d_26689
f_641135,d_20041
f_18487,d_6165
f_392388,d_9279
f_42479,d_30435
f_641225,d_25810
f_16186,d_1758
f_36290,d_24076
f_620552,d_16457
f_364112,d_18521
f_80035,d_30994
f_442637,d_4452
f_213891,d_24899
f_544627,d_24935
f_373532,d_21599
f_257792,d_30533
f_124336,d_16977
f_367775,d_11229
f_233593,d_9471
f_515020,d_1078
f_529424,d_5037
f_453488,d_956
f_350286,d_19498
f_76223,d_12002
f_231590,d_22416
f_21789,d_4344
f_550438,d_23725
f_589358,d_17298
f_500671,d_28639
f_535473,d_2772
f_227600,d_23804
f_46608,d_18681
f_274964,d_2623
f_604469,d_14358
f_537640,d_25016
f_578715,d_18859
f_547257,d_5911
f_108384,d_23511
f_157769,d_12253
f_601682,d_4177
f_222299,d_12177
f_51130,d_13660
f_388182,d_18250
f_588823,d_11402
f_261184,d_4412
f_292126,d_9729
f_177584,d_13397
f_454016,d_23852
f_115368,d_252
f_206443,d_25660
f_392235,d_22993
f_460362,d_29038
f_302329,d_4321
f_533514,d_5089
f_417901,d_10024
f_609730,d_10930
f_313173,d_3783
f_566999,d_5905
f_495394,d_31
f_529720,d_28823
f_100527,d_21926
f_62051,d_24747
f_500137,d_14643
f_6512,d_5491
f_75206,d_19625
f_467232,d_9975
f_122285,d_15375
f_239766,d_11815
f_266945,d_27285
f_69836,d_14095
f_237790,d_2358
f_211993,d_12055
