b_285,f_18572
b_23,f_271635
b_957,f_173733
b_1206,f_196122
b_1072,f_241388
b_880,f_522019
b_1022,f_471339
b_645,f_130376
b_1073,f_40473
b_513,f_307236
b_1197,f_190864
b_1130,f_273424
b_210,f_491700
b_809,f_79945
b_1290,f_181018
b_894,f_205380
b_389,f_90349
b_301,f_122437
b_106,f_46665
b_752,f_212997
b_1055,f_572819
b_1000,f_481874
b_1558,f_301653
b_822,f_209825
b_1536,f_524837
b_702,f_362927
b_798,f_463542
b_1248,f_328248
b_660,f_407147
b_760,f_284244
b_318,f_537999
b_756,f_289021
b_537,f_506056
b_604,f_119286
b_998,f_76134
b_733,f_598271
b_469,f_83157
b_96,f_529713
b_156,f_393293
b_1167,f_106672
b_1240,f_205209
b_1053,f_304654
b_925,f_411986
b_150,f_256620
b_1392,f_453945
b_387,f_347762
b_433,f_587925
b_1274,f_151888
b_231,f_63441
b_1499,f_501130
b_155,f_159495
b_1079,f_153183
b_691,f_561921
b_1195,f_456681
b_816,f_363692
b_1261,f_527287
b_892,f_310509
b_558,f_274953
b_153,f_60530
b_1170,f_480393
b_142,f_468873
b_847,f_494857
b_1073,f_587627
b_461,f_276477
b_1283,f_301826
b_475,f_382598
b_1468,f_198865
b_659,f_631988
b_1,f_301881
b_521,f_43581
b_79,f_588878
b_476,f_422995
b_1480,f_19317
b_1514,f_305977
b_841,f_331196
b_889,f_208548
b_1269,f_529867
b_896,f_77743
b_418,f_223489
b_1160,f_497522
b_1407,f_417877
b_733,f_38190
b_1131,f_401289
b_1165,f_251612
b_1357,f_616936
b_555,f_192116
b_539,f_449504
b_630,f_455768
b_559,f_7110
b_388,f_85866
b_360,f_356707
b_115,f_40327
b_604,f_261004
b_1499,f_34737
b_1281,f_91229
b_670,f_510192
b_566,f_101106
b_1319,f_244353
b_614,f_226942
b_75,f_157900
b_742,f_91395
b_141,f_220971
b_294,f_552586
b_435,f_582846
b_79,f_155084
b_973,f_171792
b_1508,f_598664
b_840,f_625692
b_506,f_180235
b_1136,f_180629
b_1558,f_523203
b_382,f_105644
b_617,f_308251
b_702,f_12667
b_1454,f_182403
b_373,f_426365
b_1187,f_348967
b_1044,f_107617
b_712,f_115603
b_1120,f_167890
b_217,f_332316
b_953,f_110789
b_1431,f_196223
b_1062,f_153537
b_829,f_637369
b_201,f_91669
b_48,f_249825
b_1125,f_592702
b_856,f_636501
b_491,f_409727
b_1516,f_613528
b_0,f_357880
b_375,f_509002
b_256,f_410710
b_319,f_338234
b_1486,f_72377
b_302,f_120358
b_345,f_328531
b_527,f_568411
b_639,f_615932
b_369,f_194026
b_267,f_59753
b_761,f_257998
b_1335,f_110162
b_1217,f_146724
b_691,f_326036
b_1284,f_595026
b_962,f_358491
b_1394,f_324662
b_944,f_454387
b_1544,f_115515
b_602,f_611241
b_276,f_177481
b_785,f_310408
b_1458,f_145408
b_1135,f_238715
b_260,f_306670
b_532,f_519508
b_1270,f_48226
b_1302,f_383858
b_1197,f_562863
b_677,f_359119
b_1137,f_445746
b_344,f_288782
b_508,f_455177
b_1098,f_327946
b_1064,f_224215
b_742,f_421089
b_967,f_216843
b_910,f_597823
b_1397,f_189071
b_774,f_61703
b_960,f_486560
b_539,f_22580
b_520,f_611686
b_681,f_570264
b_1144,f_143011
b_784,f_328116
b_536,f_546459
b_1321,f_571552
b_246,f_546230
b_1207,f_85545
b_331,f_253185
b_879,f_306678
b_805,f_21751
b_19,f_396833
b_1078,f_563207
b_1026,f_593006
b_343,f_516256
b_179,f_324049
b_1366,f_11064
b_1313,f_642496
b_516,f_186197
b_922,f_71082
b_96,f_218198
b_583,f_541892
b_364,f_309210
b_1052,f_369200
b_1531,f_170302
b_1011,f_412558
b_352,f_332452
b_362,f_98653
b_607,f_41982
b_1061,f_145999
b_1548,f_62178
b_812,f_154887
b_24,f_588320
b_1135,f_470147
b_1300,f_611978
b_1484,f_212689
b_1349,f_367162
b_1021,f_536330
b_1276,f_14904
b_1049,f_343465
b_1094,f_457657
b_1246,f_176166
b_782,f_550371
b_1549,f_141007
b_1081,f_433703
b_1126,f_375919
b_301,f_432478
b_994,f_477480
b_974,f_208560
b_1162,f_158635
b_31,f_420025
b_1125,f_86710
b_1476,f_156400
b_1543,f_52441
b_1488,f_484182
b_76,f_273256
b_877,f_337696
b_80,f_639374
b_104,f_480508
b_509,f_109539
b_1352,f_516817
b_1355,f_309501
b_408,f_67132
b_1540,f_508648
b_1092,f_310087
b_489,f_299964
b_195,f_208882
b_1080,f_49263
b_1522,f_534380
b_260,f_41035
b_305,f_16257
b_1311,f_6476
b_1237,f_174944
b_1309,f_272397
b_200,f_34129
b_774,f_568
b_1257,f_98232
b_1154,f_180724
b_283,f_94681
b_1442,f_217098
b_1220,f_341556
b_785,f_174915
b_1076,f_446461
b_440,f_433258
b_57,f_261442
b_628,f_360394
b_907,f_119675
b_1237,f_444216
b_473,f_181665
b_1374,f_157523
b_863,f_325037
b_899,f_49436
b_242,f_33282
b_1173,f_79394
b_634,f_102934
b_402,f_296753
b_579,f_401892
b_814,f_390151
b_278,f_491455
b_1349,f_312488
b_1187,f_56993
b_266,f_517582
b_1301,f_101312
b_122,f_396437
b_1538,f_124615
b_508,f_533890
b_523,f_500288
b_268,f_315527
b_123,f_124891
b_588,f_635569
b_271,f_491732
b_1459,f_627641
b_821,f_350857
b_435,f_229556
b_111,f_37091
b_929,f_631962
b_155,f_572743
b_1053,f_348004
b_77,f_17255
b_1081,f_313737
b_1437,f_436904
b_934,f_171703
b_1063,f_148393
b_539,f_92303
b_1033,f_339696
b_792,f_108404
b_1055,f_424623
b_1098,f_93522
b_814,f_597411
b_821,f_74723
b_766,f_129360
b_1063,f_436115
b_897,f_635326
b_547,f_274199
b_1013,f_312473
b_21,f_262589
b_673,f_560157
b_660,f_553218
b_1456,f_635227
b_506,f_3508
