d_14100,e_28478
d_15656,e_3010
d_22683,e_23502
d_5362,e_37469
d_19109,e_39363
d_7930,e_41320
d_29675,e_31239
d_29905,e_11080
d_23734,e_1257
d_5701,e_34995
d_30521,e_556
d_12307,e_8366
d_10851,e_20234
d_13899,e_39078
d_3971,e_16599
d_5613,e_44673
d_1375,e_26136
d_9806,e_16836
d_11192,e_2148
d_30796,e_25728
d_23371,e_23421
d_30338,e_738
d_20593,e_8562
d_13340,e_5977
d_31318,e_24672
d_10749,e_21184
d_23044,e_43168
d_8115,e_7017
d_19886,e_21306
d_12239,e_26166
d_30362,e_18640
d_3322,e_4836
d_1810,e_21612
d_11838,e_11794
d_23977,e_36390
d_2252,e_30053
d_23723,e_13434
d_27287,e_5653
d_8913,e_3168
d_2272,e_42696
d_17131,e_23777
d_26046,e_25331
d_27809,e_27218
d_29060,e_27800
d_18277,e_5489
d_8572,e_20998
d_11351,e_9957
d_27926,e_7091
d_29047,e_38393
d_20702,e_35171
d_26142,e_32868
d_21913,e_34384
d_25160,e_13901
d_4911,e_37679
d_11403,e_8812
d_22322,e_33859
d_2459,e_20822
d_11953,e_13356
d_10864,e_32428
d_16981,e_45174
d_3196,e_9565
d_19122,e_19337
d_14967,e_29979
d_7771,e_11379
d_27237,e_36124
d_28337,e_17571
d_11592,e_12841
d_16655,e_8903
d_27489,e_16071
d_26751,e_6243
d_16386,e_15671
d_11524,e_20890
d_21995,e_5956
d_8673,e_37666
d_21390,e_9414
d_22403,e_17312
d_25629,e_31796
d_4232,e_14024
d_6711,e_28949
d_864,e_36399
d_29713,e_26422
d_19126,e_34965
d_17599,e_37416
d_19828,e_26630
d_30023,e_45153
d_23507,e_13384
d_1867,e_1148
d_5895,e_11037
d_23150,e_42038
d_30496,e_45757
d_233,e_43165
d_10525,e_13781
d_27651,e_23207
d_9953,e_17215
d_7027,e_17486
d_28124,e_32827
d_10484,e_27539
d_2386,e_11608
d_11763,e_13518
d_18561,e_1057
d_29996,e_10673
d_25883,e_20857
d_17510,e_44540
d_4583,e_19585
d_23024,e_7334
d_7840,e_6954
d_16964,e_40831
d_15275,e_26123
d_30824,e_17534
d_5257,e_34294
d_5340,e_23350
d_8784,e_42619
d_16046,e_26890
d_22704,e_18150
d_15620,e_1648
d_18553,e_28921
d_24740,e_45017
d_28678,e_31179
d_7460,e_39211
d_15861,e_41636
d_21066,e_44436
d_20655,e_23987
d_11757,e_8764
d_1191,e_32163
d_6601,e_13112
d_24747,e_14792
d_22670,e_38321
d_10205,e_14925
d_24608,e_34026
d_29353,e_37629
d_12237,e_36266
d_6900,e_10834
d_23127,e_2936
d_4091,e_17420
d_26532,e_16122
d_30411,e_33385
d_30948,e_34722
d_13817,e_33539
d_14726,e_36684
d_27548,e_3839
d_15534,e_1743
d_29050,e_46446
d_9767,e_8507
d_11423,e_26958
d_23171,e_719
d_28467,e_7089
d_3758,e_30573
d_27011,e_8792
d_17488,e_19190
d_30291,e_25018
d_10772,e_37820
d_29904,e_43000
d_15395,e_4037
d_8577,e_41505
d_19527,e_22552
d_2690,e_35199
d_25009,e_7526
d_30863,e_97
d_5697,e_46583
d_7142,e_7108
d_20265,e_240
d_27077,e_3511
d_17075,e_3870
d_11187,e_16811
d_18529,e_9003
d_25397,e_2326
d_2378,e_23040
d_27055,e_11544
d_13792,e_6150
d_14836,e_6851
d_27366,e_25998
d_14801,e_21417
d_24671,e_9021
d_10863,e_33302
d_24501,e_12879
d_11239,e_23971
d_11839,e_37856
d_12333,e_37294
d_1878,e_6456
d_11688,e_39928
d_7000,e_43887
d_12379,e_44824
d_380,e_32163
d_30293,e_35193
d_12781,e_23483
d_27346,e_8452
d_469,e_8480
d_3856,e_42944
d_5334,e_13521
d_12850,e_24307
d_22062,e_14548
d_7792,e_16423
d_20256,e_3745
d_4497,e_18366
d_8144,e_37419
d_12247,e_42861
d_29210,e_16355
d_25613,e_989
d_9679,e_41350
d_9343,e_25373
d_28496,e_3708
d_28868,e_40362
d_27523,e_5568
d_16290,e_13342
d_28215,e_45492
d_1435,e_2323
d_21173,e_13796
d_18109,e_33570
d_16450,e_959
d_9654,e_11901
d_21357,e_40975
d_12072,e_9212
d_10160,e_24088
d_22527,e_35730
d_27225,e_34352
d_30314,e_43699
d_7106,e_12019
d_260,e_23711
d_6581,e_20094
