a_7823,b_903
a_6193,b_697
a_6462,b_1054
a_6795,b_1172
a_6693,b_121
a_3198,b_834
a_6379,b_151
a_596,b_1122
a_6164,b_649
a_11461,b_309
a_4561,b_1550
a_7906,b_1291
a_7658,b_1483
a_9419,b_1552
a_10711,b_1476
a_9654,b_919
a_2847,b_1030
a_11426,b_1167
a_7394,b_628
a_3928,b_1525
a_710,b_877
a_9043,b_325
a_7697,b_95
a_2968,b_1385
a_3142,b_1197
a_12004,b_124
a_9752,b_559
a_11034,b_844
a_763,b_1190
a_12053,b_801
a_5901,b_264
a_10111,b_885
a_157,b_209
a_1948,b_195
a_5400,b_628
a_4023,b_155
a_1837,b_1533
a_9022,b_413
a_8165,b_702
a_7295,b_127
a_3601,b_1052
a_6714,b_461
a_9627,b_172
a_11585,b_591
a_8459,b_1368
a_3060,b_897
a_7407,b_283
a_11586,b_549
a_381,b_1039
a_67,b_991
a_6038,b_1178
a_3477,b_519
a_9504,b_1506
a_3384,b_851
a_8607,b_411
a_2447,b_329
a_10473,b_978
a_6331,b_1457
a_2406,b_1062
a_9617,b_1485
a_11571,b_1184
a_150,b_840
a_413,b_542
a_862,b_1023
a_9777,b_454
a_11819,b_1068
a_4547,b_1380
a_9597,b_1476
a_10524,b_170
a_2089,b_598
a_7523,b_962
a_594,b_471
a_2642,b_475
a_9722,b_1115
a_1411,b_108
a_11077,b_942
a_4901,b_841
a_7003,b_102
a_4199,b_930
a_9105,b_672
a_6475,b_1357
a_10259,b_720
a_7019,b_296
a_9840,b_444
a_8099,b_354
a_5380,b_572
a_7781,b_913
a_6838,b_366
a_6945,b_510
a_7624,b_150
a_10370,b_1455
a_1606,b_115
a_3746,b_1407
a_3832,b_984
a_8515,b_785
a_478,b_1309
a_2485,b_236
a_9829,b_421
a_6650,b_943
a_9845,b_985
a_3236,b_501
a_9800,b_1033
a_442,b_1535
a_10040,b_478
a_7794,b_249
a_9417,b_537
a_3178,b_1083
a_10895,b_1354
a_8947,b_1385
a_7564,b_494
a_3838,b_905
a_1667,b_897
a_1013,b_1495
a_11584,b_1189
a_7883,b_1421
a_908,b_1336
a_8348,b_94
a_3381,b_677
a_9924,b_997
a_5758,b_1216
a_3979,b_455
a_7248,b_1070
a_7789,b_1059
a_1343,b_692
a_10129,b_1180
a_6589,b_920
a_7060,b_448
a_4311,b_535
a_11829,b_262
a_54,b_1298
a_1551,b_360
a_5875,b_1359
a_8006,b_1330
a_4410,b_340
a_1974,b_965
a_1853,b_304
a_3817,b_415
a_5479,b_285
a_2153,b_1201
a_9889,b_105
a_10705,b_572
a_9764,b_1131
a_2638,b_1151
a_3267,b_253
a_3465,b_977
a_9324,b_918
a_1748,b_1114
a_9458,b_792
a_2421,b_814
a_6826,b_274
a_8737,b_888
a_9282,b_1097
a_4944,b_1171
a_10609,b_844
a_7095,b_641
a_10001,b_830
a_4015,b_165
a_11775,b_1305
a_10519,b_929
a_6184,b_918
a_7048,b_135
a_11004,b_1521
a_2449,b_1460
a_3214,b_664
a_3718,b_1405
a_10536,b_1444
a_9299,b_1370
a_6081,b_711
a_8483,b_868
a_1486,b_380
a_10837,b_1185
a_7693,b_1058
a_275,b_1338
a_4856,b_187
a_3347,b_101
a_5106,b_689
a_9993,b_1098
a_11917,b_171
a_772,b_1308
a_4971,b_1143
a_1824,b_387
a_10332,b_1105
a_164,b_418
a_5039,b_1085
a_10076,b_242
a_1214,b_364
a_12147,b_922
a_7736,b_279
a_8316,b_669
a_5506,b_156
a_590,b_732
a_11537,b_780
a_5407,b_880
a_7686,b_617
a_7366,b_748
a_9527,b_1467
a_4395,b_1346
a_6390,b_1107
a_8671,b_1139
a_6506,b_41
a_7505,b_1144
a_5918,b_424
a_7686,b_355
a_4588,b_636
a_3688,b_1267
a_5678,b_385
a_9083,b_41
a_11531,b_696
a_4864,b_1287
a_11884,b_558
a_7080,b_1420
a_321,b_918
a_6904,b_23
a_5241,b_898
a_9484,b_56
a_6819,b_70
a_9863,b_597
a_7237,b_26
a_11618,b_94
a_11409,b_396
a_10005,b_335
a_4496,b_1280
a_7132,b_396
a_9118,b_533
a_8069,b_357
a_2485,b_756
a_2889,b_620
a_10196,b_46
a_7563,b_1319
a_11337,b_727
a_9629,b_1548
a_2797,b_1204
a_1541,b_473
a_1360,b_400
a_4464,b_547
a_6026,b_610
a_7100,b_1038
a_4236,b_802
a_9456,b_1458
a_11030,b_39
a_10838,b_58
a_966,b_730
a_9644,b_147
a_8153,b_674
a_11383,b_414
a_1321,b_1096
a_5225,b_1392
a_4995,b_1074
a_2100,b_1322
a_8860,b_248
a_1825,b_830
a_86,b_1503
a_56,b_1144
a_7539,b_639
a_9830,b_1256
a_5066,b_913
a_853,b_986
a_264,b_1163
a_3969,b_1492
a_5052,b_623
a_6659,b_980
a_3610,b_558
a_3559,b_740
a_10210,b_746
a_1906,b_659
a_8134,b_871
a_6882,b_1246
a_8685,b_576
a_6708,b_976
a_1413,b_1535
a_10008,b_682
a_11888,b_998
a_1455,b_765
a_7047,b_265
a_8160,b_1140
a_144,b_81
a_6192,b_1521
a_2139,b_900
a_492,b_1297
a_1898,b_631
a_2179,b_632
a_6223,b_395
a_1395,b_928
a_5659,b_77
a_11287,b_109
a_8733,b_1135
a_2303,b_518
a_43,b_614
a_12154,b_30
a_2616,b_1408
a_4758,b_377
a_3772,b_1163
a_8772,b_628
a_9165,b_1256
a_11279,b_950
a_9140,b_1174
a_4531,b_765
a_8127,b_636
a_4356,b_768
a_3050,b_260
a_9880,b_10
a_11129,b_1188
a_2521,b_530
a_2883,b_823
a_911,b_958
a_8919,b_792
a_6584,b_839
a_7479,b_683
a_10159,b_999
a_9318,b_473
a_3926,b_1457
a_7688,b_667
a_1914,b_340
a_2473,b_1021
a_7123,b_1075
a_2946,b_140
a_7049,b_605
a_7996,b_38
a_2045,b_515
a_1368,b_434
a_4765,b_518
a_5921,b_1532
a_6293,b_514
a_3477,b_811
a_3899,b_450
a_2649,b_1108
a_3071,b_340
a_4385,b_1399
a_1955,b_1209
a_7335,b_268
a_5411,b_1488
a_10401,b_1295
a_11223,b_817
a_4036,b_384
a_6861,b_1008
a_8667,b_924
a_6846,b_1374
a_9607,b_142
a_3849,b_1449
a_9197,b_300
a_6010,b_1095
a_3348,b_858
a_10642,b_732
a_10643,b_865
a_4294,b_1212
a_7153,b_1070
