a_4998,b_415
a_4807,b_639
a_10434,b_42
a_9089,b_1228
a_2305,b_511
a_9148,b_1347
a_8190,b_1441
a_7697,b_791
a_11585,b_354
a_2403,b_92
a_3079,b_1519
a_7157,b_463
a_5746,b_485
a_4390,b_650
a_11553,b_126
a_9605,b_825
a_10222,b_217
a_1856,b_109
a_5047,b_147
a_11602,b_355
a_3712,b_1029
a_9950,b_585
a_5348,b_1463
a_2427,b_1411
a_6215,b_578
a_5175,b_297
a_7114,b_1041
a_8540,b_482
a_1917,b_875
a_11516,b_1268
a_11085,b_1025
a_11909,b_535
a_7536,b_1523
a_1389,b_1455
a_11163,b_136
a_4209,b_1425
a_2993,b_1345
a_10354,b_837
a_2677,b_813
a_5863,b_1378
a_691,b_496
a_5612,b_1551
a_11916,b_730
a_9371,b_385
a_4773,b_1461
a_11515,b_49
a_4404,b_585
a_5059,b_1326
a_12136,b_472
a_766,b_1459
a_9201,b_1515
a_7320,b_542
a_10784,b_57
a_11083,b_690
a_3159,b_889
a_1896,b_1492
a_3862,b_1024
a_1206,b_62
a_8213,b_9
a_460,b_1136
a_1133,b_682
a_8113,b_817
a_3436,b_1523
a_4262,b_1480
a_1484,b_1140
a_7593,b_524
a_3824,b_674
a_10422,b_399
a_4592,b_947
a_7060,b_1075
a_4032,b_820
a_2718,b_487
a_5809,b_399
a_4315,b_830
a_5774,b_143
a_421,b_295
a_1993,b_1397
a_7613,b_323
a_5487,b_1127
a_5559,b_1480
a_7035,b_45
a_2686,b_1547
a_5122,b_1272
a_9405,b_825
a_10219,b_1161
a_2423,b_951
a_9654,b_1376
a_1482,b_215
a_434,b_411
a_7202,b_533
a_4567,b_1158
a_2613,b_102
a_9127,b_762
a_5934,b_1079
a_2875,b_1180
a_4472,b_303
a_6968,b_174
a_4925,b_1521
a_2053,b_915
a_11478,b_901
a_7619,b_1390
a_1490,b_172
a_7969,b_539
a_5830,b_1310
a_3113,b_1506
a_3225,b_1305
a_11661,b_788
a_11114,b_153
a_4962,b_1001
a_5317,b_18
a_1746,b_13
a_10253,b_1065
a_6620,b_980
a_1380,b_543
a_2065,b_85
a_10678,b_1126
a_4325,b_662
a_10907,b_5
a_11204,b_1236
a_1388,b_80
a_9557,b_1538
a_10451,b_13
a_966,b_747
a_3210,b_510
a_7249,b_1468
a_9305,b_1168
a_8622,b_37
a_9181,b_1460
a_1320,b_153
a_10009,b_243
a_5803,b_862
a_10676,b_87
a_12179,b_1530
a_2662,b_1333
a_9695,b_1216
a_7082,b_713
a_6663,b_811
a_2730,b_65
a_11918,b_136
a_6458,b_831
a_4708,b_167
a_4371,b_329
a_10110,b_1051
a_9309,b_745
a_9387,b_673
a_1532,b_1539
a_2948,b_1051
a_9942,b_459
a_10990,b_538
a_3223,b_578
a_5530,b_976
a_6610,b_518
a_5379,b_748
a_5150,b_707
a_6682,b_672
a_3268,b_542
a_5363,b_32
a_10776,b_381
a_11563,b_863
a_6883,b_1427
a_8675,b_1177
a_9475,b_1032
a_11243,b_1101
a_10281,b_1360
a_8431,b_1184
a_10345,b_479
a_3461,b_1418
a_7748,b_156
a_4674,b_365
a_3050,b_1077
a_5389,b_1175
a_11483,b_1237
a_6104,b_797
a_5821,b_162
a_187,b_1315
a_11727,b_1284
a_9307,b_795
a_2416,b_1496
a_8314,b_65
a_7681,b_1350
a_10522,b_1189
a_792,b_1540
a_10682,b_1034
a_4112,b_473
a_9701,b_671
a_12024,b_1481
