d_19243,e_37368
d_10087,e_4052
d_11168,e_19587
d_6327,e_34437
d_27480,e_22565
d_6561,e_41610
d_9268,e_35984
d_30890,e_1545
d_3902,e_35325
d_2756,e_40847
d_2282,e_26312
d_8971,e_21356
d_27545,e_7159
d_28514,e_19067
d_7584,e_31100
d_8218,e_15855
d_25299,e_10122
d_3052,e_24203
d_15101,e_2348
d_22450,e_23388
d_22570,e_10415
d_12616,e_12212
d_15465,e_27231
d_14341,e_22316
d_23402,e_20105
d_23741,e_1868
d_30450,e_43927
d_20897,e_18345
d_19534,e_35885
d_27001,e_33702
d_23354,e_14151
d_19533,e_18174
d_5246,e_42031
d_24863,e_64
d_30448,e_34047
d_31117,e_35971
d_12261,e_22296
d_28129,e_27585
d_14967,e_39160
d_14111,e_16548
d_366,e_33272
d_4760,e_14372
d_8671,e_9074
d_28615,e_6520
d_15317,e_33664
d_24065,e_18335
d_11946,e_33353
d_29773,e_25871
d_24566,e_29734
d_2750,e_21752
d_30414,e_17121
d_161,e_35987
d_13602,e_30591
d_13805,e_15487
d_15575,e_23860
d_27423,e_33999
d_1909,e_23780
d_30060,e_4995
d_16125,e_28846
d_30933,e_35866
d_10714,e_31909
d_15953,e_19340
d_9071,e_25221
d_23429,e_26527
d_15173,e_9759
d_1604,e_25584
d_11539,e_41467
d_7197,e_30573
d_7994,e_46422
d_24835,e_6875
d_9981,e_17971
d_30565,e_18087
d_27625,e_20124
d_21574,e_14630
d_28687,e_31154
d_20228,e_39859
d_19696,e_7990
d_12928,e_31422
d_24993,e_44653
d_5664,e_2876
d_28209,e_2630
d_2469,e_19671
d_10562,e_44862
d_20852,e_29318
d_17973,e_5664
d_30411,e_21234
d_13198,e_15957
d_4930,e_43893
d_19416,e_10131
d_18910,e_9419
d_1519,e_16216
d_9546,e_21754
d_22828,e_25145
d_16721,e_827
d_15119,e_37764
d_9366,e_7231
d_27065,e_34386
d_23579,e_28635
d_12763,e_27911
d_28184,e_24729
d_22819,e_32332
d_26662,e_31741
d_22470,e_13769
d_7488,e_25846
d_16733,e_45743
d_5257,e_38310
d_23196,e_4803
d_20268,e_42071
d_21577,e_36089
d_22500,e_23376
d_20055,e_14280
d_16698,e_5008
d_17559,e_24366
d_12866,e_45424
d_9604,e_45029
d_27801,e_28055
d_15894,e_43472
d_5803,e_9192
d_5410,e_43178
d_22461,e_28625
d_15596,e_31655
d_12852,e_9488
d_14877,e_11884
d_22692,e_18013
d_2760,e_42879
d_14859,e_23781
d_29921,e_21700
d_27782,e_8002
d_15083,e_2704
d_16157,e_4666
d_22829,e_30425
d_20495,e_24234
d_9952,e_42954
d_26211,e_43453
d_10561,e_28583
d_12607,e_91
d_14012,e_1792
d_13247,e_5196
d_18627,e_38620
d_17197,e_27989
d_17393,e_45326
d_16184,e_37287
d_1527,e_45128
d_28245,e_4671
d_3775,e_14064
d_27169,e_42021
d_16816,e_34036
d_26511,e_26366
d_10789,e_34014
d_29518,e_2434
d_13866,e_33253
d_16149,e_17681
d_19397,e_15074
d_13267,e_5732
d_3124,e_15476
d_19110,e_38547
d_2714,e_34809
d_12440,e_33799
d_3024,e_24282
d_25920,e_14394
d_18848,e_26649
d_5747,e_16271
d_14895,e_39070
d_22824,e_36922
d_18560,e_20522
d_19528,e_35753
d_8735,e_30182
d_3028,e_20573
d_20975,e_8054
d_23559,e_6169
d_624,e_1597
d_27891,e_19615
d_8678,e_22496
d_10208,e_4318
d_17900,e_17925
d_2158,e_18531
d_1648,e_45536
d_13973,e_882
d_20346,e_26751
d_12835,e_36026
d_2697,e_4289
d_26934,e_3807
d_6292,e_13607
d_5257,e_7243
d_2159,e_26766
