d_23920,e_14087
d_22946,e_20551
d_15717,e_21814
d_30204,e_25202
d_28661,e_7558
d_3471,e_12445
d_9430,e_8649
d_26645,e_3916
d_4453,e_5881
d_31271,e_29715
d_22244,e_31596
d_8187,e_12361
d_9467,e_6403
d_31142,e_28215
d_6063,e_38107
d_10945,e_38980
d_29119,e_12640
d_13801,e_39213
d_21493,e_43588
d_4458,e_20010
d_17886,e_31434
d_6077,e_37737
d_1544,e_34503
d_10795,e_21108
d_19783,e_43133
d_7965,e_3516
d_2823,e_26170
d_26479,e_29710
d_16668,e_35969
d_30214,e_1647
d_24945,e_43491
d_2147,e_39029
d_9404,e_7780
d_12351,e_37577
d_1509,e_11486
d_15194,e_39838
d_14071,e_25287
d_18014,e_24096
d_19209,e_24575
d_16372,e_46279
d_23748,e_26657
d_10229,e_42989
d_6749,e_36482
d_15445,e_22801
d_10409,e_17807
d_8262,e_34359
d_2443,e_17146
d_24753,e_14402
d_28734,e_45498
d_2845,e_3706
d_16778,e_19948
d_13301,e_31937
d_3188,e_5047
d_14814,e_24328
d_30806,e_37730
d_19982,e_9560
d_2202,e_41249
d_23394,e_38867
d_1480,e_3272
d_2324,e_19147
d_17545,e_22855
d_30633,e_43415
d_19100,e_40306
d_20921,e_28520
d_16437,e_2423
d_25120,e_42056
d_8206,e_27597
d_7769,e_25619
d_11805,e_34537
d_16122,e_12440
d_5756,e_20610
d_13675,e_24680
d_14631,e_42390
d_26523,e_31327
d_30641,e_29633
d_228,e_17107
d_12259,e_29870
d_2417,e_12805
d_27905,e_19503
d_22634,e_13580
d_7537,e_191
d_27624,e_12981
d_18045,e_15692
d_8289,e_30302
d_12645,e_6421
d_10793,e_35964
d_17653,e_21333
d_23852,e_3394
d_14778,e_13043
d_12473,e_10718
d_29464,e_5050
d_8097,e_6179
d_8391,e_16571
d_18008,e_40825
d_9353,e_29526
d_4678,e_18919
d_22472,e_22856
d_27380,e_15091
d_7465,e_18773
d_5052,e_37338
d_19276,e_20784
d_2145,e_36147
d_5316,e_19811
d_14747,e_30693
d_18663,e_33305
d_28948,e_31569
d_28052,e_34957
d_13911,e_19673
d_28963,e_8754
d_23454,e_44537
d_6,e_43321
d_13843,e_46913
d_6024,e_3612
d_8397,e_13409
d_8161,e_22590
d_24085,e_20592
d_27006,e_24185
d_15085,e_35279
d_17259,e_5058
d_22138,e_36627
d_18034,e_41090
d_21935,e_18231
d_5932,e_8366
d_4741,e_38540
d_7137,e_41810
d_27699,e_16600
d_9502,e_41372
d_20997,e_24360
d_11423,e_46263
d_13107,e_23034
d_5802,e_33766
d_22884,e_14299
d_3436,e_26680
d_3250,e_8674
d_7626,e_29445
d_29529,e_32569
d_9087,e_17546
d_18151,e_47050
d_21206,e_20214
d_22949,e_1346
d_13471,e_23892
d_21891,e_38318
d_24400,e_4448
d_14826,e_44141
d_4092,e_36838
d_23400,e_23590
d_17625,e_44984
d_30628,e_28889
d_29321,e_34317
d_836,e_25285
d_7544,e_1191
d_27856,e_23829
d_22710,e_23158
d_29918,e_31029
d_17492,e_22885
d_28808,e_27477
d_17209,e_2912
d_11323,e_23289
d_11865,e_22636
d_12131,e_29693
d_23010,e_2821
d_5888,e_31247
d_13968,e_6163
d_14938,e_12300
d_16392,e_25469
d_28476,e_10407
d_15024,e_25521
d_14317,e_32246
d_27984,e_19438
d_24009,e_32959
d_7102,e_43398
d_8929,e_45650
d_12430,e_21813
d_13487,e_26978
d_8706,e_3965
d_4463,e_20012
d_30707,e_22834
d_16129,e_11353
d_25091,e_26386
d_3053,e_42664
d_23950,e_266
d_25972,e_25168
d_25587,e_41920
d_6879,e_35104
d_8648,e_4398
d_11346,e_16389
d_20424,e_28673
d_11748,e_12409
d_1322,e_39015
d_29327,e_23039
d_19704,e_14131
d_6004,e_9266
d_2652,e_20797
d_85,e_31490
d_29789,e_23511
d_6644,e_36295
d_13338,e_42064
d_21960,e_2156
d_19034,e_8461
d_13124,e_36607
d_4062,e_990
d_1228,e_12057
d_7136,e_3177
d_27736,e_5486
d_9061,e_2001
d_24375,e_27160
d_15335,e_14461
d_10489,e_39018
d_11950,e_817
d_3058,e_42337
d_29938,e_27364
d_4150,e_635
d_17352,e_679
d_3767,e_36453
d_28604,e_39999
d_9857,e_24175
d_29485,e_752
d_7584,e_2806
d_8372,e_32741
d_3085,e_37635
d_20374,e_36065
d_9162,e_18026
d_25289,e_4183
d_18576,e_29972
d_26307,e_44738
d_6850,e_33613
d_23868,e_8719
d_15256,e_36260
d_20285,e_36211
d_31163,e_9103
d_17089,e_24103
d_27275,e_23895
d_17140,e_25335
d_19319,e_24821
d_26614,e_27027
d_25011,e_42392
d_6732,e_2053
d_14694,e_10799
d_26733,e_4705
d_29352,e_7282
d_26341,e_14829
d_11413,e_37236
d_20153,e_40035
d_14315,e_19085
d_27078,e_16020
d_31076,e_15648
d_3031,e_12191
d_8638,e_30809
d_7726,e_4542
d_18003,e_13657
d_15873,e_29503
d_21187,e_14831
d_24377,e_2087
d_5477,e_24268
d_21567,e_38873
d_11408,e_693
d_29840,e_661
d_27375,e_17356
d_27766,e_35889
d_14491,e_25411
d_26616,e_40296
d_29168,e_13581
d_5268,e_30730
d_27898,e_3477
d_7712,e_46601
d_14341,e_45198
d_9864,e_34189
d_15974,e_3955
d_15339,e_17185
d_17578,e_40080
d_5673,e_25234
d_27501,e_28261
d_13029,e_36933
d_2055,e_24812
d_22517,e_3611
d_20543,e_31479
d_10925,e_12098
d_23717,e_34227
d_7819,e_17148
d_1689,e_19376
d_9773,e_46622
d_24553,e_20442
d_5664,e_15760
d_31047,e_46417
d_17608,e_33619
d_25471,e_21397
d_29757,e_22358
d_19910,e_3208
d_1006,e_4695
d_26249,e_36345
d_23828,e_3483
d_1949,e_44166
d_6687,e_4432
d_18304,e_41521
d_28416,e_22978
d_26883,e_43618
d_29705,e_26196
d_7420,e_6573
d_23039,e_32636
d_12236,e_12359
d_3889,e_15775
d_24460,e_455
d_20866,e_19828
d_3471,e_16544
d_15166,e_39326
d_1782,e_4264
d_16622,e_4481
d_14162,e_16070
d_26496,e_14180
d_8264,e_39906
d_20979,e_12486
d_10671,e_27760
d_2525,e_22656
d_17526,e_22787
d_11736,e_35492
d_23609,e_29909
d_12800,e_20607
d_15924,e_7527
d_28388,e_37594
d_5654,e_41186
d_14171,e_206
d_11174,e_30168
d_20920,e_20328
d_10245,e_3184
