b_1272,f_214944
b_1471,f_564480
b_950,f_540568
b_208,f_148379
b_876,f_644352
b_950,f_238848
b_1422,f_12597
b_199,f_326941
b_589,f_134596
b_240,f_581986
b_898,f_70316
b_164,f_626937
b_1210,f_43036
b_314,f_114722
b_296,f_524582
b_63,f_600376
b_753,f_251519
b_745,f_304210
b_1532,f_107513
b_1522,f_410235
b_765,f_55860
b_824,f_238604
b_410,f_218592
b_223,f_270013
b_79,f_127918
b_681,f_310529
b_752,f_226759
b_892,f_524656
b_559,f_445877
b_1271,f_452873
b_1397,f_108934
b_23,f_284381
b_752,f_253677
b_398,f_437668
b_490,f_589152
b_1045,f_210907
b_1241,f_509624
b_1157,f_364631
b_1002,f_95558
b_1356,f_609757
b_1112,f_452959
b_1303,f_36398
b_1140,f_157157
b_643,f_334202
b_852,f_19950
b_1406,f_155239
b_458,f_200560
b_1260,f_372064
b_759,f_71307
b_135,f_254969
b_1483,f_563914
b_537,f_166520
b_178,f_600990
b_1321,f_312137
b_295,f_405254
b_211,f_502368
b_744,f_461082
b_1083,f_173251
b_673,f_244397
b_695,f_252168
b_450,f_598834
b_1479,f_168051
b_1346,f_27039
b_1495,f_487031
b_1394,f_598911
b_346,f_629761
b_1241,f_380792
b_1475,f_66806
b_282,f_610002
b_270,f_121952
b_249,f_400743
b_1000,f_351329
b_734,f_644541
b_498,f_109326
b_1317,f_388021
b_620,f_288104
b_1218,f_377142
b_1047,f_458088
b_580,f_87663
b_1082,f_170404
b_1545,f_251490
b_1088,f_282582
b_1189,f_143358
b_422,f_559210
b_520,f_163156
b_777,f_385058
b_427,f_145704
b_341,f_573836
b_1246,f_582484
b_531,f_168801
b_654,f_312860
b_1174,f_140818
b_380,f_149974
b_1292,f_2752
b_1114,f_67409
b_996,f_483263
b_907,f_103786
b_244,f_301439
b_127,f_291089
b_530,f_404410
b_245,f_595270
b_816,f_637953
b_919,f_511148
b_1083,f_176994
b_1421,f_61721
b_279,f_600236
b_992,f_415631
b_1436,f_47223
b_1340,f_567105
b_1105,f_230837
b_823,f_304775
b_1121,f_197463
b_1554,f_9050
b_649,f_120529
b_678,f_182908
b_117,f_19625
b_908,f_230977
b_229,f_91538
b_1501,f_559574
b_1469,f_389296
b_1088,f_114859
b_576,f_309884
b_400,f_458960
b_481,f_480310
b_464,f_186502
b_375,f_40525
b_1285,f_414576
b_26,f_606335
b_1333,f_466602
b_1287,f_341839
b_86,f_555282
b_791,f_103822
b_1345,f_381740
b_812,f_454699
b_203,f_522046
b_1514,f_102793
b_72,f_124794
b_1057,f_474514
b_633,f_607535
b_698,f_143105
b_700,f_197918
b_1311,f_366809
b_909,f_637856
b_36,f_199031
b_223,f_102995
b_1278,f_597884
b_90,f_58395
b_828,f_479735
b_1153,f_377214
b_1296,f_526950
b_371,f_333821
b_1229,f_286311
b_705,f_399586
b_465,f_634132
b_1270,f_128391
b_1472,f_544958
b_842,f_392711
b_812,f_393116
b_1279,f_98785
b_869,f_564764
b_514,f_607033
b_446,f_228135
b_785,f_249218
b_382,f_367604
b_999,f_520458
b_145,f_189810
b_1050,f_405552
b_1512,f_365527
b_807,f_210625
b_335,f_177770
b_1353,f_247620
b_782,f_331552
b_713,f_130141
b_907,f_491324
b_983,f_144451
b_647,f_398768
b_835,f_611250
b_17,f_182767
b_892,f_129646
b_1474,f_464127
b_1041,f_161871
b_70,f_167079
b_150,f_348278
b_1262,f_193743
b_902,f_57899
b_951,f_251096
b_832,f_185636
b_45,f_142662
b_59,f_532600
b_554,f_383562
b_1495,f_1318
b_667,f_343300
b_122,f_362335
b_231,f_338632
b_1514,f_51621
b_132,f_433359
b_1537,f_439310
b_1403,f_164082
b_1050,f_186359
b_495,f_262781
b_408,f_38595
b_667,f_539750
b_959,f_144525
b_1246,f_379108
b_746,f_299022
b_160,f_385589
b_890,f_630614
b_811,f_352431
b_1482,f_129388
b_1188,f_470335
b_283,f_297253
b_466,f_7281
b_900,f_211609
b_264,f_338825
b_1253,f_166605
b_721,f_29584
b_884,f_460636
b_1293,f_425421
b_294,f_45093
b_1185,f_266384
b_322,f_95409
b_1134,f_176718
b_356,f_247521
b_1,f_373659
b_1020,f_282111
b_709,f_354672
b_624,f_109074
b_62,f_24921
b_774,f_553603
