c_9241,d_16880
c_1790,d_3831
c_1036,d_28825
c_6959,d_15000
c_29273,d_17755
c_23276,d_23512
c_6919,d_20052
c_2799,d_562
c_13618,d_1211
c_19577,d_10899
c_6572,d_1168
c_31262,d_15344
c_2716,d_8618
c_1077,d_18123
c_7314,d_21952
c_4255,d_22674
c_4709,d_1170
c_26638,d_12157
c_934,d_21372
c_3205,d_24624
c_28875,d_20000
c_7913,d_21284
c_21470,d_13399
c_6352,d_555
c_21943,d_8372
c_16165,d_23803
c_2890,d_160
c_928,d_29339
c_27748,d_25347
c_10818,d_9931
c_2359,d_4816
c_8339,d_17772
c_29467,d_27745
c_26324,d_12606
c_1446,d_17323
c_23724,d_2935
c_23259,d_26475
c_9641,d_20489
c_6488,d_23987
c_18603,d_28520
c_23438,d_25540
c_11788,d_13134
c_804,d_29490
c_388,d_21423
c_23443,d_11861
c_20385,d_1169
c_7167,d_23965
c_22133,d_3878
c_25005,d_9370
c_3177,d_8013
c_22600,d_15541
c_30539,d_10996
c_5254,d_19192
c_26414,d_22031
c_24259,d_31053
c_16297,d_25516
c_12065,d_31329
c_5792,d_23315
c_12637,d_18076
c_12820,d_6713
c_12274,d_11394
c_9288,d_19989
c_11020,d_19530
c_23053,d_20618
c_21157,d_25819
c_26837,d_18691
c_26237,d_2793
c_8425,d_28444
c_16414,d_5194
c_28608,d_31188
c_1829,d_27542
c_4249,d_1530
c_9572,d_24938
c_6608,d_14700
c_23934,d_7305
c_17381,d_24744
c_8149,d_12265
c_10144,d_21722
c_7345,d_9147
c_10177,d_9785
c_1384,d_2414
c_26481,d_27736
c_9361,d_26043
c_20079,d_31346
c_28661,d_17921
c_13826,d_4143
c_27468,d_2831
c_15998,d_9184
c_18236,d_26503
c_2934,d_16963
c_20169,d_12951
c_9077,d_13530
c_25393,d_24609
c_21654,d_17041
c_17788,d_15598
c_1737,d_23252
c_13771,d_316
c_10200,d_18345
c_17414,d_5193
c_434,d_23528
c_8808,d_30416
c_5190,d_8135
c_19514,d_2056
c_218,d_19041
c_3146,d_25414
c_25798,d_4417
c_5456,d_23363
c_26552,d_23021
c_13470,d_26211
c_17136,d_29133
c_7028,d_21562
c_14902,d_21022
c_22689,d_10581
c_12808,d_21866
c_129,d_3960
c_23293,d_8214
c_24962,d_21010
c_10027,d_15689
c_9165,d_24262
c_21139,d_27858
c_24200,d_28430
c_22360,d_7060
c_11026,d_3301
c_694,d_849
c_16400,d_9063
c_21704,d_2183
c_22437,d_31298
c_8353,d_22874
c_22117,d_9441
c_19012,d_3287
c_17596,d_24085
c_699,d_3937
c_11575,d_10368
c_8956,d_6506
c_5189,d_14542
c_18955,d_10464
c_4763,d_10244
c_30484,d_14298
c_30014,d_24884
c_5695,d_9575
c_29854,d_8689
c_7288,d_7818
c_15224,d_1200
c_3537,d_24728
c_4615,d_8859
c_4977,d_16424
c_4585,d_21142
c_15079,d_1643
c_15712,d_5285
c_11128,d_15093
c_15197,d_1385
c_23376,d_13319
c_20740,d_31357
c_2168,d_7171
c_24321,d_30596
c_12506,d_10583
c_2407,d_8473
c_20719,d_27393
c_14434,d_15424
c_9552,d_4396
c_7115,d_6455
c_12802,d_6613
c_18256,d_28666
c_28982,d_1256
c_5310,d_25246
c_27102,d_7307
c_28266,d_1207
c_21968,d_6540
c_14810,d_22689
c_12035,d_29601
c_25453,d_899
c_10084,d_10948
c_25438,d_2451
c_11594,d_23774
c_17833,d_27817
c_15139,d_5460
c_13995,d_23756
c_24992,d_4733
c_7175,d_14118
c_12842,d_29191
c_13625,d_11002
c_7503,d_19519
c_19985,d_20943
c_19609,d_18263
c_22451,d_19492
c_31309,d_30606
c_30797,d_28372
c_24343,d_2984
c_19920,d_2474
c_2479,d_18266
c_5166,d_22564
c_24143,d_2519
c_23565,d_24367
c_30923,d_4370
c_17641,d_12311
c_8705,d_17530
c_13287,d_25506
c_18960,d_15657
c_3665,d_5896
c_8950,d_8330
c_14198,d_23081
c_6444,d_13603
c_23843,d_17558
c_28160,d_671
c_26874,d_14453
c_27106,d_28314
c_7525,d_23141
c_11681,d_13454
c_15087,d_17130
c_28659,d_22056
c_28589,d_29127
c_26868,d_31002
c_22693,d_19646
c_29230,d_1202
c_673,d_24619
c_14108,d_4063
c_19723,d_79
c_8108,d_29779
c_26501,d_14759
c_11821,d_24571
c_29856,d_9010
c_25304,d_19953
c_3795,d_22595
c_4376,d_4482
c_23538,d_1929
c_25221,d_28971
c_6846,d_14354
c_12134,d_14787
c_28980,d_12465
c_30443,d_10644
c_207,d_11804
c_6594,d_14469
c_14358,d_17595
c_22278,d_14782
c_555,d_5860
c_19920,d_29219
c_21222,d_6083
c_14141,d_25507
c_20118,d_23434
c_25239,d_13751
c_4068,d_15645
c_13100,d_5556
c_25342,d_1796
c_18958,d_378
c_12266,d_4700
c_5104,d_24555
c_4163,d_13865
c_28728,d_24634
c_17570,d_19137
c_22095,d_605
c_21753,d_26856
c_14446,d_8250
c_25123,d_22640
c_19513,d_11780
c_6376,d_8759
c_12559,d_29344
c_8968,d_13872
c_7600,d_20097
c_16770,d_14222
c_9045,d_6465
c_30477,d_12004
c_8048,d_8081
c_6049,d_13946
c_16820,d_29597
c_31285,d_26629
c_3569,d_13677
c_21393,d_8674
c_1996,d_17841
c_18576,d_16574
c_22980,d_20220
c_5288,d_29583
c_21768,d_13186
c_26974,d_4347
c_23932,d_85
c_26623,d_7370
c_14448,d_25646
c_5509,d_28588
c_16244,d_7096
c_24899,d_21511
c_24396,d_418
c_18527,d_18150
c_4546,d_21048
c_6928,d_6355
c_30636,d_3593
c_1830,d_8118
c_2804,d_18971
c_9805,d_22775
c_1851,d_7640
c_8140,d_22170
c_24804,d_15384
c_3758,d_533
c_20634,d_3808
c_28947,d_24567
c_20765,d_16608
c_2299,d_8633
c_9951,d_22724
c_15630,d_24531
c_4271,d_8448
c_26872,d_14112
c_25959,d_21781
c_15340,d_21778
c_22763,d_29398
c_4305,d_14089
c_13114,d_793
c_19451,d_5506
c_24661,d_18356
c_2061,d_30020
c_7922,d_10255
c_29724,d_17382
c_6419,d_19128
c_30351,d_19276
c_30813,d_15799
c_22888,d_4730
c_25254,d_963
c_19402,d_22392
c_7587,d_19926
c_28709,d_19496
c_29892,d_23236
c_17955,d_21203
c_14008,d_3586
c_23302,d_17471
c_1884,d_6862
c_22457,d_12275
c_20537,d_30360
c_12357,d_4989
c_30008,d_24142
c_14091,d_4980
c_28638,d_8717
c_6308,d_24931
c_13745,d_28504
c_5974,d_4411
c_20964,d_7460
c_5656,d_16810
c_30365,d_12537
c_11004,d_16765
c_16431,d_22884
c_743,d_8584
c_29893,d_2997
c_203,d_9711
c_20305,d_17856
c_1928,d_7941
c_7921,d_23516
c_14803,d_27847
c_13847,d_15453
c_5721,d_16796
c_10117,d_10919
c_1569,d_31287
c_25133,d_3257
c_26088,d_16702
c_11305,d_28701
c_29481,d_12153
c_14777,d_8961
c_26681,d_6636
c_26326,d_5181
c_10940,d_15350
c_15720,d_31052
c_7380,d_25000
c_19761,d_9308
c_29415,d_15746
c_14648,d_22578
c_2238,d_7240
c_12712,d_6934
c_17539,d_8125
c_28931,d_26013
c_20225,d_12626
c_11145,d_4453
c_16130,d_23283
c_12446,d_839
c_971,d_29215
c_22354,d_3371
c_21514,d_16252
c_10944,d_9470
c_10119,d_20520
c_5325,d_16887
c_22315,d_29533
c_25796,d_14876
c_24026,d_31270
c_18318,d_8570
c_16778,d_6043
c_30932,d_3367
c_9747,d_19118
c_2985,d_8699
c_20122,d_16314
c_24967,d_23184
c_928,d_15987
c_13188,d_19543
c_2728,d_6076
c_18501,d_18208
c_29756,d_5554
c_4936,d_22559
c_2296,d_17806
c_9942,d_5083
c_20048,d_14999
c_24075,d_22457
c_1851,d_14930
c_3830,d_27325
c_28117,d_27349
c_22545,d_14425
c_12648,d_3805
