d_20075,e_28405
d_28986,e_28975
d_16696,e_4808
d_12986,e_2640
d_22840,e_35581
d_788,e_31248
d_16484,e_27687
d_7155,e_14420
d_9165,e_9262
d_3488,e_9751
d_28443,e_39573
d_30999,e_37714
d_19293,e_29069
d_11958,e_17697
d_4106,e_33932
d_20231,e_5147
d_18108,e_13227
d_24048,e_8870
d_14084,e_37073
d_29604,e_13393
d_20686,e_33774
d_26307,e_43793
d_3361,e_8845
d_28093,e_43821
d_5364,e_28269
d_13454,e_8927
d_12183,e_17290
d_21969,e_44262
d_10914,e_11933
d_18315,e_13113
d_28532,e_29648
d_22406,e_42193
d_5941,e_7916
d_13660,e_36504
d_24654,e_16632
d_19396,e_4025
d_11211,e_14456
d_28906,e_7844
d_20748,e_20386
d_1176,e_33338
d_27689,e_38591
d_29480,e_1330
d_24474,e_11805
d_12133,e_40901
d_7960,e_18017
d_5617,e_23826
d_22349,e_35752
d_6257,e_39154
d_12339,e_4690
d_24346,e_6357
d_24579,e_42916
d_13320,e_8178
d_30397,e_20972
d_12673,e_7864
d_3022,e_22984
d_29633,e_36042
d_7797,e_31170
d_21063,e_12452
d_28554,e_22972
d_12202,e_29841
d_410,e_173
d_11912,e_9833
d_10094,e_15181
d_6766,e_6293
d_16230,e_31605
d_14773,e_42675
d_15070,e_8391
d_26477,e_40620
d_3925,e_29387
d_13241,e_32638
d_23972,e_21944
d_12276,e_39399
d_9631,e_17447
d_25671,e_17078
d_4447,e_26062
d_11968,e_5909
d_31393,e_10720
d_28760,e_30433
d_16104,e_5513
d_6758,e_36941
d_20902,e_18401
d_3331,e_21017
d_25835,e_26112
d_21213,e_26714
d_18059,e_2710
d_19490,e_16207
d_11483,e_24341
d_7067,e_43966
d_24308,e_46943
d_29535,e_25864
d_8181,e_37821
d_4516,e_39830
d_25855,e_14870
d_9780,e_14307
d_5881,e_20699
d_22615,e_26364
d_22165,e_13381
d_7206,e_28023
d_1613,e_17844
d_21252,e_24492
d_10019,e_33009
d_5538,e_14605
d_20059,e_43226
d_2597,e_41669
d_8615,e_23371
d_10936,e_14338
d_29572,e_35811
d_19191,e_11057
d_9724,e_15285
d_28535,e_10345
d_27205,e_12292
d_17389,e_26226
d_12835,e_22422
d_9088,e_44857
d_21740,e_7418
d_24389,e_7590
d_26282,e_7325
d_26575,e_32875
d_14028,e_37380
d_7063,e_44070
d_8871,e_35154
d_15410,e_28014
d_8875,e_14400
d_14517,e_35352
d_20714,e_11615
d_1560,e_34282
d_19524,e_38805
d_30162,e_43434
d_24325,e_4537
d_5245,e_44949
d_10164,e_31284
d_22123,e_41585
d_29114,e_39777
d_24178,e_33492
d_2656,e_8437
d_4455,e_43871
d_19547,e_41942
d_14588,e_19991
d_12595,e_22700
d_26001,e_22366
d_27943,e_1617
d_21711,e_12546
d_2824,e_4908
d_11213,e_4552
d_26166,e_29054
d_21350,e_15425
d_24884,e_35459
d_14435,e_34827
d_15733,e_2509
d_6203,e_38055
d_11948,e_19330
d_28058,e_11671
d_2296,e_7335
