a_8056,b_128
a_1454,b_505
a_11001,b_220
a_1187,b_90
a_3260,b_1156
a_2111,b_808
a_3534,b_1400
a_6552,b_1049
a_2395,b_827
a_6791,b_1158
a_6137,b_919
a_1830,b_1329
a_10753,b_512
a_8390,b_1158
a_9170,b_1275
a_3437,b_776
a_542,b_735
a_3919,b_809
a_11450,b_318
a_7753,b_843
a_6371,b_399
a_1492,b_926
a_11330,b_565
a_3673,b_1484
a_12125,b_123
a_9385,b_129
a_4747,b_601
a_9748,b_113
a_8661,b_955
a_12109,b_199
a_2804,b_1359
a_5026,b_1517
a_139,b_484
a_7741,b_1386
a_12005,b_288
a_1446,b_541
a_8469,b_1118
a_3404,b_762
a_7923,b_1427
a_7103,b_474
a_8777,b_75
a_8391,b_79
a_5571,b_616
a_1381,b_549
a_661,b_197
a_3120,b_145
a_4013,b_495
a_10587,b_886
a_5626,b_1309
a_2294,b_197
a_2090,b_1545
a_9629,b_1251
a_5262,b_311
a_3864,b_1426
a_3477,b_1032
a_4338,b_231
a_7369,b_1463
a_9486,b_1037
a_8460,b_1414
a_4441,b_1271
a_4210,b_1214
a_11958,b_451
a_7868,b_543
a_320,b_833
a_4611,b_748
a_3933,b_546
a_11649,b_784
a_12107,b_176
a_8394,b_734
a_806,b_863
a_8374,b_603
a_418,b_997
a_12071,b_1448
a_5353,b_1114
a_6517,b_1144
a_4957,b_729
a_8373,b_16
a_3450,b_1166
a_7878,b_519
a_5102,b_1316
a_1339,b_1554
a_7638,b_845
a_159,b_926
a_5386,b_294
a_3468,b_1420
a_3737,b_186
a_8068,b_249
a_11826,b_139
a_6639,b_1407
a_4290,b_1323
a_5943,b_493
a_7888,b_1408
a_10073,b_733
a_3816,b_78
a_10122,b_1441
a_11455,b_1036
a_7292,b_502
a_11899,b_864
a_3363,b_826
a_10874,b_1207
a_5555,b_433
a_11989,b_92
a_3681,b_452
a_9302,b_973
a_2615,b_1058
a_663,b_1457
a_11760,b_880
a_8941,b_678
a_9430,b_816
a_267,b_139
a_2929,b_752
a_11486,b_336
a_539,b_632
